台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"7,393","+1,897",37,19,1/132.0,1/199.8,1/389.1
1002,"7,842",+359,27,32,1/132.9,1/290.4,1/245.1
1003,"8,177","+3,824",42,32,1/110.5,1/194.7,1/255.5
1004,"6,655","+1,665",29,23,1/128.0,1/229.5,1/289.3
1005,"7,857","+1,724",36,23,1/133.2,1/218.2,1/341.6
1006,"7,625","+3,235",39,27,1/115.5,1/195.5,1/282.4
1007,"8,306","-1,721",23,25,1/173.0,1/361.1,1/332.2
1008,"4,663",-321,19,8,1/172.7,1/245.4,1/582.9
1009,"6,551",+712,26,18,1/148.9,1/252.0,1/363.9
1010,"8,159",-747,25,28,1/153.9,1/326.4,1/291.4
1011,"9,411",+959,35,33,1/138.4,1/268.9,1/285.2
1012,"7,635","+1,347",30,31,1/125.2,1/254.5,1/246.3
1013,"8,351","+1,015",32,32,1/130.5,1/261.0,1/261.0
1014,"8,744","+1,147",31,33,1/136.6,1/282.1,1/265.0
1015,"4,380","-1,735",9,12,1/208.6,1/486.7,1/365.0
1016,"7,428","+2,812",31,35,1/112.5,1/239.6,1/212.2
1017,"9,361","+1,650",33,48,1/115.6,1/283.7,1/195.0
1018,"6,611","-1,465",18,21,1/169.5,1/367.3,1/314.8
1019,"7,598","+1,112",32,25,1/133.3,1/237.4,1/303.9
1020,"5,849","+3,282",33,20,1/110.4,1/177.2,1/292.4
1021,"8,872","+7,129",56,36,1/96.4,1/158.4,1/246.4
1022,"7,666","+1,524",27,38,1/117.9,1/283.9,1/201.7
1023,"8,368","+1,676",31,38,1/121.3,1/269.9,1/220.2
1024,"6,108","+3,956",36,21,1/107.2,1/169.7,1/290.9
1025,"6,813","+2,709",32,26,1/117.5,1/212.9,1/262.0
1026,"9,455","+3,071",39,45,1/112.6,1/242.4,1/210.1
1027,"6,032",+512,27,13,1/150.8,1/223.4,1/464.0
1028,"5,853",-947,16,18,1/172.1,1/365.8,1/325.2
1029,"9,144",-6,32,29,1/149.9,1/285.8,1/315.3
1030,"6,311",-379,22,15,1/170.6,1/286.9,1/420.7
1031,"7,225",-432,27,17,1/164.2,1/267.6,1/425.0
1032,"6,654",-174,24,19,1/154.7,1/277.2,1/350.2
1033,"5,076","-1,324",11,13,1/211.5,1/461.5,1/390.5
1034,"6,387","+2,832",36,17,1/120.5,1/177.4,1/375.7
1035,"7,925",+665,32,25,1/139.0,1/247.7,1/317.0
1036,"4,554","-1,112",13,9,1/207.0,1/350.3,1/506.0
1037,"5,764",+135,26,8,1/169.5,1/221.7,1/720.5
1038,"4,758",+62,21,9,1/158.6,1/226.6,1/528.7
1039,"5,900",-879,19,15,1/173.5,1/310.5,1/393.3
1040,"5,384",+182,19,16,1/153.8,1/283.4,1/336.5
1041,"7,923",+112,30,23,1/149.5,1/264.1,1/344.5
1042,"6,865",-191,27,19,1/149.2,1/254.3,1/361.3
1043,"6,288",-274,22,19,1/153.4,1/285.8,1/330.9
1044,"7,867","+2,074",39,21,1/131.1,1/201.7,1/374.6
1045,"6,331",-526,23,17,1/158.3,1/275.3,1/372.4
1046,"6,404",-679,25,11,1/177.9,1/256.2,1/582.2
1047,"8,032",+909,33,28,1/131.7,1/243.4,1/286.9
1048,"4,722",-638,17,11,1/168.6,1/277.8,1/429.3
1049,"5,820",-912,21,11,1/181.9,1/277.1,1/529.1
1050,"6,893",+124,27,16,1/160.3,1/255.3,1/430.8
1069,"5,167",-532,17,17,1/152.0,1/303.9,1/303.9
1070,"7,160","-1,618",19,25,1/162.7,1/376.8,1/286.4
1071,"6,937",-721,23,19,1/165.2,1/301.6,1/365.1
1072,"4,870","-1,112",14,12,1/187.3,1/347.9,1/405.8
1073,"6,429","-1,171",20,14,1/189.1,1/321.4,1/459.2
1074,"5,556","-1,218",15,15,1/185.2,1/370.4,1/370.4
1075,"6,694",-150,24,18,1/159.4,1/278.9,1/371.9
1076,"6,442",-221,25,17,1/153.4,1/257.7,1/378.9
1077,"7,210","+1,594",35,16,1/141.4,1/206.0,1/450.6
1078,"4,569",-794,15,11,1/175.7,1/304.6,1/415.4
1079,"7,742",-209,27,21,1/161.3,1/286.7,1/368.7
1080,"4,765",+100,21,7,1/170.2,1/226.9,1/680.7
1081,"6,027","-1,429",18,15,1/182.6,1/334.8,1/401.8
1082,"6,531",-103,25,20,1/145.1,1/261.2,1/326.6
1083,"5,585","-1,053",17,15,1/174.5,1/328.5,1/372.3
1084,"8,975","+2,374",41,26,1/134.0,1/218.9,1/345.2
1085,"5,367",-994,16,15,1/173.1,1/335.4,1/357.8
1086,"8,033",+724,31,22,1/151.6,1/259.1,1/365.1
1087,"4,132","-1,924",8,9,1/243.1,1/516.5,1/459.1
1088,"5,080","-2,374",9,10,1/267.4,1/564.4,1/508.0
1089,"5,344",-135,19,9,1/190.9,1/281.3,1/593.8
1090,"5,188","-2,232",11,10,1/247.0,1/471.6,1/518.8
1091,"5,565","-1,076",16,18,1/163.7,1/347.8,1/309.2
1092,"7,741",+876,33,19,1/148.9,1/234.6,1/407.4
1093,"5,134",+585,19,21,1/128.3,1/270.2,1/244.5
1094,"6,582",+571,29,14,1/153.1,1/227.0,1/470.1
1095,"5,078",+76,20,14,1/149.4,1/253.9,1/362.7
1096,"5,073",-794,17,11,1/181.2,1/298.4,1/461.2
1097,"7,048",-338,24,22,1/153.2,1/293.7,1/320.4
1098,"7,100","-1,441",22,18,1/177.5,1/322.7,1/394.4
1099,"5,204",-644,21,7,1/185.9,1/247.8,1/743.4
