台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"8,095",-194,24,29,1/152.7,1/337.3,1/279.1
1002,"3,715","-1,571",9,6,1/247.7,1/412.8,1/619.2
1003,"7,774",+921,34,23,1/136.4,1/228.6,1/338.0
1004,"7,492","+1,006",35,18,1/141.4,1/214.1,1/416.2
1005,"5,209",-256,21,13,1/153.2,1/248.0,1/400.7
1006,"8,051","+1,076",32,31,1/127.8,1/251.6,1/259.7
1007,"9,077","+4,691",50,27,1/117.9,1/181.5,1/336.2
1008,"7,180","+1,335",29,22,1/140.8,1/247.6,1/326.4
1009,"7,006",-982,22,17,1/179.6,1/318.5,1/412.1
1010,"8,676",-159,27,34,1/142.2,1/321.3,1/255.2
1011,"5,984","-1,135",17,15,1/187.0,1/352.0,1/398.9
1012,"7,393","+2,885",36,32,1/108.7,1/205.4,1/231.0
1013,"4,761",-679,19,7,1/183.1,1/250.6,1/680.1
1014,"9,156","+3,494",41,41,1/111.7,1/223.3,1/223.3
1015,"8,696","+3,165",45,26,1/122.5,1/193.2,1/334.5
1016,"3,830","-1,265",11,7,1/212.8,1/348.2,1/547.1
1017,"7,909",+982,34,21,1/143.8,1/232.6,1/376.6
1018,"4,524","-1,147",13,11,1/188.5,1/348.0,1/411.3
1019,"7,843",+735,32,24,1/140.1,1/245.1,1/326.8
1020,"7,661","+1,335",36,17,1/144.5,1/212.8,1/450.6
1021,"5,490",-403,19,13,1/171.6,1/288.9,1/422.3
1022,"7,016","-2,109",19,17,1/194.9,1/369.3,1/412.7
1023,"4,766","-1,194",12,13,1/190.6,1/397.2,1/366.6
1024,"8,595","+2,003",38,33,1/121.1,1/226.2,1/260.5
1025,"8,696","+2,532",35,39,1/117.5,1/248.5,1/223.0
1026,"7,860","+2,409",36,24,1/131.0,1/218.3,1/327.5
1027,"7,939","+2,356",38,22,1/132.3,1/208.9,1/360.9
1028,"8,729","-1,209",24,29,1/164.7,1/363.7,1/301.0
1029,"7,752",+41,33,15,1/161.5,1/234.9,1/516.8
1030,"8,264","+1,629",31,34,1/127.1,1/266.6,1/243.1
1031,"4,809",-168,17,12,1/165.8,1/282.9,1/400.8
1032,"6,874",-374,25,18,1/159.9,1/275.0,1/381.9
1033,"7,257","-2,250",16,23,1/186.1,1/453.6,1/315.5
1034,"5,527",-135,22,10,1/172.7,1/251.2,1/552.7
1035,"6,691",+418,27,18,1/148.7,1/247.8,1/371.7
1036,"8,297","+4,309",43,37,1/103.7,1/193.0,1/224.2
1037,"6,297",-979,20,13,1/190.8,1/314.9,1/484.4
1038,"7,696",-309,23,33,1/137.4,1/334.6,1/233.2
1039,"6,896",-618,22,24,1/149.9,1/313.5,1/287.3
1040,"7,558","+3,400",38,33,1/106.5,1/198.9,1/229.0
1041,"6,249",-629,22,15,1/168.9,1/284.0,1/416.6
1042,"8,001",+238,26,28,1/148.2,1/307.7,1/285.8
1043,"8,087",-465,27,28,1/147.0,1/299.5,1/288.8
1044,"7,184","-1,100",23,23,1/156.2,1/312.3,1/312.3
1045,"9,390","+5,015",46,45,1/103.2,1/204.1,1/208.7
1046,"6,354",+97,24,14,1/167.2,1/264.8,1/453.9
1047,"8,439",+385,35,21,1/150.7,1/241.1,1/401.9
1048,"8,589","+1,935",38,32,1/122.7,1/226.0,1/268.4
1049,"8,118","+3,259",38,36,1/109.7,1/213.6,1/225.5
1050,"6,352","-1,915",16,19,1/181.5,1/397.0,1/334.3
1069,"6,321",+156,27,14,1/154.2,1/234.1,1/451.5
1070,"8,332","+3,188",38,37,1/111.1,1/219.3,1/225.2
1071,"7,169",-394,23,23,1/155.8,1/311.7,1/311.7
1072,"7,400",+403,30,18,1/154.2,1/246.7,1/411.1
1073,"8,897",-371,30,32,1/143.5,1/296.6,1/278.0
1074,"5,946","-1,241",17,15,1/185.8,1/349.8,1/396.4
1075,"7,895","+2,797",39,30,1/114.4,1/202.4,1/263.2
1076,"8,449",-335,32,23,1/153.6,1/264.0,1/367.3
1077,"6,291","-1,088",21,15,1/174.8,1/299.6,1/419.4
1078,"8,795","+2,482",37,37,1/118.9,1/237.7,1/237.7
1079,"8,266","+4,368",40,42,1/100.8,1/206.7,1/196.8
1080,"7,973",+724,32,27,1/135.1,1/249.2,1/295.3
1081,"5,878","-1,253",20,13,1/178.1,1/293.9,1/452.2
1082,"6,237","-1,265",21,12,1/189.0,1/297.0,1/519.8
1083,"7,421","-1,029",24,21,1/164.9,1/309.2,1/353.4
1084,"6,127","-1,488",20,11,1/197.6,1/306.4,1/557.0
1085,"6,644",-806,20,19,1/170.4,1/332.2,1/349.7
1086,"5,846",+688,25,17,1/139.2,1/233.8,1/343.9
1087,"8,127","+4,574",44,32,1/106.9,1/184.7,1/254.0
1088,"6,140","-1,029",21,14,1/175.4,1/292.4,1/438.6
1089,"7,656",+876,34,21,1/139.2,1/225.2,1/364.6
1090,"8,032",+362,29,25,1/148.7,1/277.0,1/321.3
1091,"8,766","+2,568",38,40,1/112.4,1/230.7,1/219.2
1092,"7,943",+841,32,26,1/136.9,1/248.2,1/305.5
1093,"7,688",+829,30,24,1/142.4,1/256.3,1/320.3
1094,"3,134","-1,041",9,6,1/208.9,1/348.2,1/522.3
1095,"5,495",-521,19,9,1/196.2,1/289.2,1/610.6
1096,"8,201","+1,147",32,31,1/130.2,1/256.3,1/264.5
1097,"7,567","+3,603",34,45,1/95.8,1/222.6,1/168.2
1098,"5,509","-1,676",15,13,1/196.8,1/367.3,1/423.8
1099,"8,537",+900,35,27,1/137.7,1/243.9,1/316.2
