台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,1715,2,2,0,255,1/857.5,1/857.5,0.0,428.8,288
1002,7712,35,23,0,2782,1/220.3,1/335.3,0.0,133.0,227
1003,5337,22,10,0,1241,1/242.6,1/533.7,0.0,166.8,253
1004,1050,0,2,0,123,1/0.0,1/525.0,0.0,525.0,352
1005,6413,29,18,0,2574,1/221.1,1/356.3,0.0,136.4,129
1006,2834,6,7,0,452,1/472.3,1/404.9,0.0,218.0,283
1007,6164,25,24,0,2112,1/246.6,1/256.8,0.0,125.8,0
1008,3275,10,8,0,897,1/327.5,1/409.4,0.0,181.9,398
1009,4110,14,9,0,800,1/293.6,1/456.7,0.0,178.7,248
1010,4358,18,2,0,996,1/242.1,1/2179.0,0.0,217.9,531
1011,6834,25,18,0,1149,1/273.4,1/379.7,0.0,158.9,130
1012,2233,4,6,0,495,1/558.3,1/372.2,0.0,223.3,122
1013,2507,6,4,0,690,1/417.8,1/626.8,0.0,250.7,344
1014,1641,0,4,0,110,1/0.0,1/410.3,0.0,410.3,114
1015,7132,32,27,0,2754,1/222.9,1/264.1,0.0,120.9,290
1016,6869,34,17,0,1838,1/202.0,1/404.1,0.0,134.7,147
1017,4176,17,11,0,1507,1/245.6,1/379.6,0.0,149.1,322
1018,4493,11,12,0,641,1/408.5,1/374.4,0.0,195.3,231
1019,4388,14,13,0,1067,1/313.4,1/337.5,0.0,162.5,206
1020,3815,15,6,0,1215,1/254.3,1/635.8,0.0,181.7,377
1021,4712,16,15,0,882,1/294.5,1/314.1,0.0,152.0,546
1022,5836,25,17,0,1786,1/233.4,1/343.3,0.0,139.0,128
1023,702,1,0,0,242,1/702.0,1/0.0,0.0,702.0,40
1024,6249,20,18,0,890,1/312.5,1/347.2,0.0,164.4,120
1025,2217,7,4,0,449,1/316.7,1/554.3,0.0,201.5,0
1026,5406,28,24,0,3441,1/193.1,1/225.3,0.0,104.0,236
1027,3902,11,8,0,519,1/354.7,1/487.8,0.0,205.4,164
1028,2570,6,3,0,338,1/428.3,1/856.7,0.0,285.6,31
1029,3719,11,9,0,554,1/338.1,1/413.2,0.0,186.0,587
1030,5206,14,11,0,726,1/371.9,1/473.3,0.0,208.2,443
1031,2786,9,8,0,872,1/309.6,1/348.3,0.0,163.9,65
1032,7225,28,18,0,1146,1/258.0,1/401.4,0.0,157.1,702
1033,4953,14,16,0,919,1/353.8,1/309.6,0.0,165.1,564
1034,8493,31,30,0,1559,1/274.0,1/283.1,0.0,139.2,445
1035,4433,16,11,0,842,1/277.1,1/403.0,0.0,164.2,177
1036,6671,29,18,0,1813,1/230.0,1/370.6,0.0,141.9,198
1037,1937,6,2,0,507,1/322.8,1/968.5,0.0,242.1,133
1038,2262,5,6,0,286,1/452.4,1/377.0,0.0,205.6,533
1039,3088,15,6,0,2041,1/205.9,1/514.7,0.0,147.0,0
1040,6571,28,17,0,1954,1/234.7,1/386.5,0.0,146.0,763
1041,3720,4,12,0,421,1/930.0,1/310.0,0.0,232.5,163
1042,6683,22,21,0,884,1/303.8,1/318.2,0.0,155.4,158
1043,5149,19,12,0,1368,1/271.0,1/429.1,0.0,166.1,34
1044,4294,11,14,0,1113,1/390.4,1/306.7,0.0,171.8,402
1045,5383,19,12,0,1381,1/283.3,1/448.6,0.0,173.6,348
1046,3330,11,9,0,694,1/302.7,1/370.0,0.0,166.5,197
1047,6944,27,17,0,1071,1/257.2,1/408.5,0.0,157.8,273
1048,4464,15,11,0,1156,1/297.6,1/405.8,0.0,171.7,192
1049,3406,11,5,0,637,1/309.6,1/681.2,0.0,212.9,314
1050,3208,8,8,0,574,1/401.0,1/401.0,0.0,200.5,353
1069,5398,15,15,0,798,1/359.9,1/359.9,0.0,179.9,227
1070,5542,21,17,0,1476,1/263.9,1/326.0,0.0,145.8,278
1071,5246,16,17,0,1084,1/327.9,1/308.6,0.0,159.0,353
1072,6029,20,14,0,1007,1/301.5,1/430.6,0.0,177.3,116
1073,1315,4,1,0,431,1/328.8,1/1315.0,0.0,263.0,123
1074,7302,34,27,0,2931,1/214.8,1/270.4,0.0,119.7,165
1075,2152,12,4,0,1366,1/179.3,1/538.0,0.0,134.5,150
1076,7267,25,22,0,1190,1/290.7,1/330.3,0.0,154.6,382
1077,5572,16,11,0,654,1/348.3,1/506.5,0.0,206.4,134
1078,8487,31,28,0,1810,1/273.8,1/303.1,0.0,143.8,328
1079,1228,2,1,0,318,1/614.0,1/1228.0,0.0,409.3,0
1080,6725,18,26,0,585,1/373.6,1/258.7,0.0,152.8,97
1081,8174,25,40,0,1412,1/327.0,1/204.4,0.0,125.8,165
