機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,319,"1,995",-243,6,6,0,1/166.2,1/332.5,1/332.5,1/0.0
アイムジャグラーEX-TP,320,"4,113",+364,17,12,0,1/141.8,1/241.9,1/342.8,1/0.0
アイムジャグラーEX-TP,321,"1,549",-638,4,2,0,1/258.2,1/387.2,1/774.5,1/0.0
アイムジャグラーEX-TP,322,"2,339","-1,197",4,7,0,1/212.6,1/584.8,1/334.1,1/0.0
アイムジャグラーEX-TP,323,"4,073",+804,18,12,0,1/135.8,1/226.3,1/339.4,1/0.0
アイムジャグラーEX-TP,324,657,-711,1,0,0,1/657.0,1/657.0,1/0.0,1/0.0
アイムジャグラーEX-TP,325,"3,776",+563,16,10,0,1/145.2,1/236.0,1/377.6,1/0.0
スマスロ北斗の拳,342,"3,571","-1,061",30,8,0,1/94.0,1/119.0,1/446.4,1/0.0
スマスロ北斗の拳,343,"1,719","-1,117",10,3,0,1/132.2,1/171.9,1/573.0,1/0.0
スマスロ北斗の拳,344,"3,898",-724,40,9,0,1/79.6,1/97.5,1/433.1,1/0.0
スマスロ北斗の拳,345,"2,511","+1,572",39,8,0,1/53.4,1/64.4,1/313.9,1/0.0
スマスロ北斗の拳,346,"2,943",-663,26,5,0,1/94.9,1/113.2,1/588.6,1/0.0
スマスロ北斗の拳,347,"1,911","-1,382",9,4,0,1/147.0,1/212.3,1/477.8,1/0.0
スマスロ北斗の拳,348,"3,872","-2,848",20,7,0,1/143.4,1/193.6,1/553.1,1/0.0
マイジャグラーV,313,"3,658",-891,13,5,0,1/203.2,1/281.4,1/731.6,1/0.0
マイジャグラーV,314,"2,764","-1,256",6,6,0,1/230.3,1/460.7,1/460.7,1/0.0
マイジャグラーV,315,"1,583","-1,038",2,3,0,1/316.6,1/791.5,1/527.7,1/0.0
マイジャグラーV,316,"5,072","-1,969",12,13,0,1/202.9,1/422.7,1/390.2,1/0.0
マイジャグラーV,317,"1,148",-526,3,0,0,1/382.7,1/382.7,1/0.0,1/0.0
マイジャグラーV,318,"5,315",+294,22,14,0,1/147.6,1/241.6,1/379.6,1/0.0
甲鉄城のカバネリ,398,721,-287,0,2,5,1/103.0,1/0.0,1/360.5,1/144.2
甲鉄城のカバネリ,399,11,-15,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,400,"1,355","-1,456",0,5,4,1/150.6,1/0.0,1/271.0,1/338.8
甲鉄城のカバネリ,401,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,402,662,-512,0,1,4,1/132.4,1/0.0,1/662.0,1/165.5
ゴッドイーター リザレクション,370,"3,322","-2,047",0,6,25,1/107.2,1/0.0,1/553.7,1/132.9
ゴッドイーター リザレクション,371,"2,516","-1,853",0,6,22,1/89.9,1/0.0,1/419.3,1/114.4
ゴッドイーター リザレクション,372,"3,666","-2,940",0,9,27,1/101.8,1/0.0,1/407.3,1/135.8
ゴッドイーター リザレクション,373,"2,993","-2,560",0,9,26,1/85.5,1/0.0,1/332.6,1/115.1
ハッピージャグラーVIII,330,"3,166",+131,11,11,0,1/143.9,1/287.8,1/287.8,1/0.0
ハッピージャグラーVIII,331,"1,094","-1,082",1,1,0,1/547.0,1/1094.0,1/1094.0,1/0.0
ハッピージャグラーVIII,332,"1,966",-550,6,4,0,1/196.6,1/327.7,1/491.5,1/0.0
ハッピージャグラーVIII,333,"3,686",-424,13,13,0,1/141.8,1/283.5,1/283.5,1/0.0
ハナハナホウオウ～天翔～,424,439,-485,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,143,-46,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,18,-46,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,"1,554",+133,5,4,0,1/172.7,1/310.8,1/388.5,1/0.0
ゴーゴージャグラー3,336,"5,341",-612,18,17,0,1/152.6,1/296.7,1/314.2,1/0.0
ゴーゴージャグラー3,337,"3,240",+175,13,13,0,1/124.6,1/249.2,1/249.2,1/0.0
ゴーゴージャグラー3,338,"2,644",+476,14,7,0,1/125.9,1/188.9,1/377.7,1/0.0
ゴールデンカムイ,403,"1,556","-1,879",0,3,0,1/518.7,1/0.0,1/518.7,1/0.0
ゴールデンカムイ,404,423,-423,0,1,0,1/423.0,1/0.0,1/423.0,1/0.0
ゴールデンカムイ,405,767,-319,0,2,6,1/95.9,1/0.0,1/383.5,1/127.8
ファンキージャグラー2,339,"1,439",-531,5,1,0,1/239.8,1/287.8,1/1439.0,1/0.0
ファンキージャグラー2,340,"4,205",-561,14,11,0,1/168.2,1/300.4,1/382.3,1/0.0
ファンキージャグラー2,341,"3,285",+692,16,6,0,1/149.3,1/205.3,1/547.5,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,367,192,-211,1,0,0,1/192.0,1/192.0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,368,"2,879","-2,796",8,0,4,1/239.9,1/359.9,1/0.0,1/719.8
戦国乙女4 戦乱に閃く炯眼の軍師,369,243,-377,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,326,235,+543,4,2,0,1/39.2,1/58.8,1/117.5,1/0.0
沖ドキ!GOLD,327,108,+259,2,0,0,1/54.0,1/54.0,1/0.0,1/0.0
沖ドキ!GOLD,328,"2,252","-1,972",6,3,0,1/250.2,1/375.3,1/750.7,1/0.0
からくりサーカス,363,147,+124,0,1,3,1/36.8,1/0.0,1/147.0,1/49.0
からくりサーカス,364,"1,315",-25,0,3,18,1/62.6,1/0.0,1/438.3,1/73.1
ジャグラーガールズ,334,"3,147",+399,13,11,0,1/131.1,1/242.1,1/286.1,1/0.0
ジャグラーガールズ,335,"1,231",-932,1,3,0,1/307.8,1/1231.0,1/410.3,1/0.0
スマスロキングパルサー,356,711,+544,5,1,0,1/118.5,1/142.2,1/711.0,1/0.0
スマスロキングパルサー,357,331,+215,2,1,0,1/110.3,1/165.5,1/331.0,1/0.0
スマスロ真・北斗無双,349,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ真・北斗無双,350,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ニューゲッターマウス,415,"1,869",-901,5,8,0,1/143.8,1/373.8,1/233.6,1/0.0
ニューゲッターマウス,416,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ファミスタ回胴版!!,420,22,-48,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ファミスタ回胴版!!,421,"1,499",+176,6,4,0,1/149.9,1/249.8,1/374.8,1/0.0
モンキーターンV,365,"2,633","+1,293",0,12,41,1/49.7,1/0.0,1/219.4,1/64.2
