台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"4,061",-121,16,13,1/140.0,1/253.8,1/312.4
1101,"5,234",+735,24,17,1/127.7,1/218.1,1/307.9
1102,"2,315",-391,7,8,1/154.3,1/330.7,1/289.4
1103,786,-638,1,1,1/393.0,1/786.0,1/786.0
1104,"2,297","-1,300",6,3,1/255.2,1/382.8,1/765.7
1105,"2,925",+362,11,13,1/121.9,1/265.9,1/225.0
1106,"1,746",-238,6,4,1/174.6,1/291.0,1/436.5
1107,"1,492",-215,5,3,1/186.5,1/298.4,1/497.3
1108,"4,013",+868,20,14,1/118.0,1/200.7,1/286.6
1109,"1,431",+50,6,4,1/143.1,1/238.5,1/357.8
1110,"1,593",-650,5,2,1/227.6,1/318.6,1/796.5
1111,"1,233",-121,5,3,1/154.1,1/246.6,1/411.0
1112,"3,626",-921,12,8,1/181.3,1/302.2,1/453.2
1113,"3,345","-1,606",5,13,1/185.8,1/669.0,1/257.3
1123,"1,096",-991,1,1,1/548.0,1/1096.0,1/1096.0
1124,"2,437",-321,7,8,1/162.5,1/348.1,1/304.6
1125,"2,643",+691,13,7,1/132.2,1/203.3,1/377.6
1126,"3,096",-215,12,9,1/147.4,1/258.0,1/344.0
1127,"6,351",-832,22,23,1/141.1,1/288.7,1/276.1
1128,977,+185,5,2,1/139.6,1/195.4,1/488.5
1129,"1,522",-626,4,4,1/190.2,1/380.5,1/380.5
