機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,318",15,2,0,1/77.5,1/87.9,1/659.0,1/0.0
スマスロ北斗の拳,343,"1,817",10,4,0,1/129.8,1/181.7,1/454.2,1/0.0
スマスロ北斗の拳,344,"3,960",52,11,0,1/62.9,1/76.2,1/360.0,1/0.0
スマスロ北斗の拳,345,375,2,1,0,1/125.0,1/187.5,1/375.0,1/0.0
スマスロ北斗の拳,346,848,18,2,0,1/42.4,1/47.1,1/424.0,1/0.0
スマスロ北斗の拳,347,"1,023",14,3,0,1/60.2,1/73.1,1/341.0,1/0.0
スマスロ北斗の拳,348,"2,651",23,8,0,1/85.5,1/115.3,1/331.4,1/0.0
スマスロ北斗の拳,349,"1,939",13,5,0,1/107.7,1/149.2,1/387.8,1/0.0
アイムジャグラーEX-TP,319,"3,510",11,7,0,1/195.0,1/319.1,1/501.4,1/0.0
アイムジャグラーEX-TP,320,"2,642",7,8,0,1/176.1,1/377.4,1/330.2,1/0.0
アイムジャグラーEX-TP,321,"1,724",5,1,0,1/287.3,1/344.8,1/1724.0,1/0.0
アイムジャグラーEX-TP,322,"2,776",10,3,0,1/213.5,1/277.6,1/925.3,1/0.0
アイムジャグラーEX-TP,323,"1,864",8,1,0,1/207.1,1/233.0,1/1864.0,1/0.0
アイムジャグラーEX-TP,324,"1,439",4,0,0,1/359.8,1/359.8,1/0.0,1/0.0
アイムジャグラーEX-TP,325,"5,032",21,7,0,1/179.7,1/239.6,1/718.9,1/0.0
マイジャグラーV,313,"5,192",16,7,0,1/225.7,1/324.5,1/741.7,1/0.0
マイジャグラーV,314,"4,559",12,15,0,1/168.9,1/379.9,1/303.9,1/0.0
マイジャグラーV,315,"3,644",13,13,0,1/140.2,1/280.3,1/280.3,1/0.0
マイジャグラーV,316,"3,810",8,14,0,1/173.2,1/476.2,1/272.1,1/0.0
マイジャグラーV,317,"4,561",10,13,0,1/198.3,1/456.1,1/350.8,1/0.0
マイジャグラーV,318,"3,466",7,10,0,1/203.9,1/495.1,1/346.6,1/0.0
ハッピージャグラーVIII,326,"5,521",22,18,0,1/138.0,1/251.0,1/306.7,1/0.0
ハッピージャグラーVIII,327,"1,871",6,3,0,1/207.9,1/311.8,1/623.7,1/0.0
ハッピージャグラーVIII,328,"1,555",7,2,0,1/172.8,1/222.1,1/777.5,1/0.0
ハッピージャグラーVIII,329,"3,589",13,11,0,1/149.5,1/276.1,1/326.3,1/0.0
ハッピージャグラーVIII,330,"3,446",15,13,0,1/123.1,1/229.7,1/265.1,1/0.0
ゴーゴージャグラー3,335,"3,052",14,9,0,1/132.7,1/218.0,1/339.1,1/0.0
ゴーゴージャグラー3,336,"3,522",14,8,0,1/160.1,1/251.6,1/440.2,1/0.0
ゴーゴージャグラー3,337,"2,740",13,10,0,1/119.1,1/210.8,1/274.0,1/0.0
ゴーゴージャグラー3,338,"3,335",12,7,0,1/175.5,1/277.9,1/476.4,1/0.0
ハナハナホウオウ～天翔～,424,567,2,1,0,1/189.0,1/283.5,1/567.0,1/0.0
ハナハナホウオウ～天翔～,425,263,1,0,0,1/263.0,1/263.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,162,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,45,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,925,0,2,6,1/115.6,1/0.0,1/462.5,1/154.2
ゴッドイーター リザレクション,372,"3,147",0,4,14,1/174.8,1/0.0,1/786.8,1/224.8
ゴッドイーター リザレクション,373,927,0,1,3,1/231.8,1/0.0,1/927.0,1/309.0
ファンキージャグラー2,339,"2,042",7,6,0,1/157.1,1/291.7,1/340.3,1/0.0
ファンキージャグラー2,340,"2,196",11,7,0,1/122.0,1/199.6,1/313.7,1/0.0
ファンキージャグラー2,341,"4,126",20,6,0,1/158.7,1/206.3,1/687.7,1/0.0
押忍！番長4,374,870,0,1,4,1/174.0,1/0.0,1/870.0,1/217.5
押忍！番長4,375,349,0,1,4,1/69.8,1/0.0,1/349.0,1/87.2
押忍！番長4,376,"1,697",0,2,12,1/121.2,1/0.0,1/848.5,1/141.4
炎炎ノ消防隊,398,"1,151",0,2,6,1/143.9,1/0.0,1/575.5,1/191.8
炎炎ノ消防隊,399,"1,449",0,4,9,1/111.5,1/0.0,1/362.2,1/161.0
炎炎ノ消防隊,400,411,0,1,0,1/411.0,1/0.0,1/411.0,1/0.0
D4DJ Pachi‐Slot Mix,356,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,119,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,362,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,363,"1,110",0,6,76,1/13.5,1/0.0,1/185.0,1/14.6
ありふれた職業で世界最強,366,"1,615",0,6,4,1/161.5,1/0.0,1/269.2,1/403.8
ありふれた職業で世界最強,367,898,0,1,6,1/128.3,1/0.0,1/898.0,1/149.7
サンダーVライトニング,422,434,1,1,0,1/217.0,1/434.0,1/434.0,1/0.0
サンダーVライトニング,423,524,1,1,0,1/262.0,1/524.0,1/524.0,1/0.0
ジャグラーガールズ,333,"1,344",2,2,0,1/336.0,1/672.0,1/672.0,1/0.0
ジャグラーガールズ,334,"4,390",20,15,0,1/125.4,1/219.5,1/292.7,1/0.0
スマスロ炎炎ノ消防隊,350,"1,083",0,4,1,1/216.6,1/0.0,1/270.8,1/1083.0
スマスロ炎炎ノ消防隊,351,"1,218",0,2,0,1/609.0,1/0.0,1/609.0,1/0.0
ダンベル何キロ持てる？,403,"2,915",0,14,34,1/60.7,1/0.0,1/208.2,1/85.7
ダンベル何キロ持てる？,404,"2,981",0,9,19,1/106.5,1/0.0,1/331.2,1/156.9
バンドリ！,401,"1,772",0,5,6,1/161.1,1/0.0,1/354.4,1/295.3
バンドリ！,402,"1,656",0,2,5,1/236.6,1/0.0,1/828.0,1/331.2
ミスタージャグラー,331,"6,080",24,21,0,1/135.1,1/253.3,1/289.5,1/0.0
ミスタージャグラー,332,"2,727",9,8,0,1/160.4,1/303.0,1/340.9,1/0.0
モンキーターンV,369,733,0,1,3,1/183.2,1/0.0,1/733.0,1/244.3
モンキーターンV,370,"2,859",0,5,11,1/178.7,1/0.0,1/571.8,1/259.9
戦国乙女4 戦乱に閃く炯眼の軍師,364,"1,300",9,0,4,1/100.0,1/144.4,1/0.0,1/325.0
戦国乙女4 戦乱に閃く炯眼の軍師,365,"1,138",1,0,0,1/1138.0,1/1138.0,1/0.0,1/0.0
戦姫絶唱シンフォギア 正義の歌,352,"2,340",0,5,40,1/52.0,1/0.0,1/468.0,1/58.5
戦姫絶唱シンフォギア 正義の歌,353,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍!番長ZERO,390,658,0,1,3,1/164.5,1/0.0,1/658.0,1/219.3
押忍!番長ZERO,391,219,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,428,"1,837",7,4,0,1/167.0,1/262.4,1/459.2,1/0.0
沖ドキ!GOLD,429,236,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,396,"5,661",0,12,36,1/117.9,1/0.0,1/471.8,1/157.2
甲鉄城のカバネリ,397,"1,608",0,6,4,1/160.8,1/0.0,1/268.0,1/402.0
革命機ヴァルヴレイヴ,354,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,355,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
とある魔術の禁書目録,358,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ真・北斗無双,359,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゲゲゲの鬼太郎 覚醒,360,211,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
頭文字D 2nd,361,"1,641",0,3,14,1/96.5,1/0.0,1/547.0,1/117.2
モンスターハンターライズ,368,"3,031",0,7,18,1/121.2,1/0.0,1/433.0,1/168.4
バイオハザード5,377,"3,980",0,9,16,1/159.2,1/0.0,1/442.2,1/248.8
東京喰種,378,"7,304",0,18,41,1/123.8,1/0.0,1/405.8,1/178.1
スーパーブラックジャック,379,"3,590",0,7,19,1/138.1,1/0.0,1/512.9,1/188.9
からくりサーカス,380,"4,276",0,8,32,1/106.9,1/0.0,1/534.5,1/133.6
L サラリーマン金太郎,381,"1,884",0,1,9,1/188.4,1/0.0,1/1884.0,1/209.3
コードギアス 反逆のルルーシュ/復活のルルーシュ,382,"5,975",0,7,92,1/60.4,1/0.0,1/853.6,1/64.9
うる星やつら,383,987,0,4,3,1/141.0,1/0.0,1/246.8,1/329.0
シン・エヴァンゲリオン,384,596,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
聖戦士ダンバイン,385,"7,867",0,14,134,1/53.2,1/0.0,1/561.9,1/58.7
ゴジラ対エヴァンゲリオン,386,524,1,0,0,1/524.0,1/524.0,1/0.0,1/0.0
マジカルハロウィン8,387,"1,324",7,0,7,1/94.6,1/189.1,1/0.0,1/189.1
麻雀格闘倶楽部 覚醒,388,"1,760",0,5,4,1/195.6,1/0.0,1/352.0,1/440.0
L南国育ち,389,895,3,4,0,1/127.9,1/298.3,1/223.8,1/0.0
アオハル♪操 A‐LIVE,392,819,0,1,0,1/819.0,1/0.0,1/819.0,1/0.0
ダンジョンに出会いを求めるのは間違っているだろうか2,393,"2,103",7,16,0,1/91.4,1/300.4,1/131.4,1/0.0
バイオハザード7 レジデント イービル,394,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
新鬼武者2,395,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ToLOVEるダークネス,405,"2,409",16,0,6,1/109.5,1/150.6,1/0.0,1/401.5
ニューパルサーSPⅢ,414,25,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
