台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"4,019",-432,13,14,1/148.9,1/309.2,1/287.1
1101,566,-356,1,1,1/283.0,1/566.0,1/566.0
1102,"3,306","-1,253",7,10,1/194.5,1/472.3,1/330.6
1103,"1,088",+115,6,1,1/155.4,1/181.3,1/1088.0
1104,"3,462",-53,15,7,1/157.4,1/230.8,1/494.6
1105,"3,020","+1,241",15,12,1/111.9,1/201.3,1/251.7
1106,479,-344,1,0,1/479.0,1/479.0,1/0.0
1107,"4,117",-112,16,12,1/147.0,1/257.3,1/343.1
1108,311,-232,1,0,1/311.0,1/311.0,1/0.0
1109,"2,370",-21,10,6,1/148.1,1/237.0,1/395.0
1110,"1,182",-326,4,2,1/197.0,1/295.5,1/591.0
1111,"2,897",-397,11,7,1/160.9,1/263.4,1/413.9
1112,"1,826",-144,6,6,1/152.2,1/304.3,1/304.3
1113,"4,334",+815,23,7,1/144.5,1/188.4,1/619.1
1123,"5,401","+2,868",35,12,1/114.9,1/154.3,1/450.1
1124,745,+521,6,1,1/106.4,1/124.2,1/745.0
1125,"1,043",-62,4,3,1/149.0,1/260.8,1/347.7
1126,"4,280",+956,22,13,1/122.3,1/194.5,1/329.2
1127,"2,589",-315,10,7,1/152.3,1/258.9,1/369.9
1128,"2,669",-815,7,9,1/166.8,1/381.3,1/296.6
1129,"1,941","-1,053",3,7,1/194.1,1/647.0,1/277.3
