機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"7,340","-1,462",64,22,0,1/85.3,1/114.7,1/333.6,1/0.0
スマスロ北斗の拳,343,"2,333","+4,388",64,7,0,1/32.9,1/36.5,1/333.3,1/0.0
スマスロ北斗の拳,344,"2,796","-1,017",23,8,0,1/90.2,1/121.6,1/349.5,1/0.0
スマスロ北斗の拳,345,"4,957",-961,46,14,0,1/82.6,1/107.8,1/354.1,1/0.0
スマスロ北斗の拳,346,"4,344",+320,44,11,0,1/79.0,1/98.7,1/394.9,1/0.0
スマスロ北斗の拳,347,"1,845","-1,823",5,2,0,1/263.6,1/369.0,1/922.5,1/0.0
スマスロ北斗の拳,348,"2,458",+90,25,7,0,1/76.8,1/98.3,1/351.1,1/0.0
スマスロ北斗の拳,349,"2,175",-452,21,5,0,1/83.7,1/103.6,1/435.0,1/0.0
アイムジャグラーEX-TP,319,"2,689",+62,11,8,0,1/141.5,1/244.5,1/336.1,1/0.0
アイムジャグラーEX-TP,320,"4,033",+690,18,9,0,1/149.4,1/224.1,1/448.1,1/0.0
アイムジャグラーEX-TP,321,582,-296,2,0,0,1/291.0,1/291.0,1/0.0,1/0.0
アイムジャグラーEX-TP,322,"1,493",-479,4,3,0,1/213.3,1/373.2,1/497.7,1/0.0
アイムジャグラーEX-TP,323,501,-14,2,1,0,1/167.0,1/250.5,1/501.0,1/0.0
アイムジャグラーEX-TP,324,"2,764",-198,10,8,0,1/153.6,1/276.4,1/345.5,1/0.0
アイムジャグラーEX-TP,325,"1,498",-273,6,0,0,1/249.7,1/249.7,1/0.0,1/0.0
マイジャグラーV,313,"3,121","-1,512",6,7,0,1/240.1,1/520.2,1/445.9,1/0.0
マイジャグラーV,314,"2,756",+722,13,7,0,1/137.8,1/212.0,1/393.7,1/0.0
マイジャグラーV,315,"3,496",+180,15,12,0,1/129.5,1/233.1,1/291.3,1/0.0
マイジャグラーV,316,"5,185","+1,016",24,15,0,1/132.9,1/216.0,1/345.7,1/0.0
マイジャグラーV,317,"1,168",-803,1,2,0,1/389.3,1/1168.0,1/584.0,1/0.0
マイジャグラーV,318,"1,723",-563,5,4,0,1/191.4,1/344.6,1/430.8,1/0.0
ハッピージャグラーVIII,330,"1,294","-1,023",0,6,0,1/215.7,1/0.0,1/215.7,1/0.0
ハッピージャグラーVIII,331,856,-91,4,1,0,1/171.2,1/214.0,1/856.0,1/0.0
ハッピージャグラーVIII,332,"2,862",+286,10,12,0,1/130.1,1/286.2,1/238.5,1/0.0
ハッピージャグラーVIII,333,"3,059","-1,125",8,6,0,1/218.5,1/382.4,1/509.8,1/0.0
