機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"6,331","-1,884",51,16,0,1/94.5,1/124.1,1/395.7,1/0.0
スマスロ北斗の拳,343,"6,287","+4,849",95,26,0,1/52.0,1/66.2,1/241.8,1/0.0
スマスロ北斗の拳,344,"7,498","-1,326",66,25,0,1/82.4,1/113.6,1/299.9,1/0.0
スマスロ北斗の拳,345,"4,944","+3,186",81,22,0,1/48.0,1/61.0,1/224.7,1/0.0
スマスロ北斗の拳,346,"2,939","-1,151",28,6,0,1/86.4,1/105.0,1/489.8,1/0.0
スマスロ北斗の拳,347,"2,874",-547,27,6,0,1/87.1,1/106.4,1/479.0,1/0.0
スマスロ北斗の拳,348,"3,111","+14,233",136,5,0,1/22.1,1/22.9,1/622.2,1/0.0
スマスロ北斗の拳,349,"2,463",+128,29,7,0,1/68.4,1/84.9,1/351.9,1/0.0
アイムジャグラーEX-TP,319,"5,641",+390,27,11,0,1/148.4,1/208.9,1/512.8,1/0.0
アイムジャグラーEX-TP,320,"2,963","-1,151",7,6,0,1/227.9,1/423.3,1/493.8,1/0.0
アイムジャグラーEX-TP,321,795,-401,1,1,0,1/397.5,1/795.0,1/795.0,1/0.0
アイムジャグラーEX-TP,322,"6,941","+3,884",36,31,0,1/103.6,1/192.8,1/223.9,1/0.0
アイムジャグラーEX-TP,323,"2,648",+390,11,8,0,1/139.4,1/240.7,1/331.0,1/0.0
アイムジャグラーEX-TP,324,"3,865",+436,15,12,0,1/143.1,1/257.7,1/322.1,1/0.0
アイムジャグラーEX-TP,325,"4,163",+41,17,6,0,1/181.0,1/244.9,1/693.8,1/0.0
マイジャグラーV,313,"7,549",+756,32,19,0,1/148.0,1/235.9,1/397.3,1/0.0
マイジャグラーV,314,877,-762,1,1,0,1/438.5,1/877.0,1/877.0,1/0.0
マイジャグラーV,315,"6,270",-983,18,22,0,1/156.8,1/348.3,1/285.0,1/0.0
マイジャグラーV,316,"1,435",-541,4,0,0,1/358.8,1/358.8,1/0.0,1/0.0
マイジャグラーV,317,"6,500",-552,24,17,0,1/158.5,1/270.8,1/382.4,1/0.0
マイジャグラーV,318,"4,467",-750,14,16,0,1/148.9,1/319.1,1/279.2,1/0.0
ハッピージャグラーVIII,326,"2,589","-1,640",5,3,0,1/323.6,1/517.8,1/863.0,1/0.0
ハッピージャグラーVIII,327,"2,058",-634,7,3,0,1/205.8,1/294.0,1/686.0,1/0.0
ハッピージャグラーVIII,328,"4,656",+494,21,8,0,1/160.6,1/221.7,1/582.0,1/0.0
ハッピージャグラーVIII,329,881,-541,1,1,0,1/440.5,1/881.0,1/881.0,1/0.0
ハッピージャグラーVIII,330,"3,498",-762,11,6,0,1/205.8,1/318.0,1/583.0,1/0.0
ゴーゴージャグラー3,335,"5,400","-3,140",8,19,0,1/200.0,1/675.0,1/284.2,1/0.0
ゴーゴージャグラー3,336,"2,267","-1,291",5,6,0,1/206.1,1/453.4,1/377.8,1/0.0
ゴーゴージャグラー3,337,"6,903","+1,407",29,32,0,1/113.2,1/238.0,1/215.7,1/0.0
ゴーゴージャグラー3,338,"2,709",+215,12,7,0,1/142.6,1/225.8,1/387.0,1/0.0
ハナハナホウオウ～天翔～,424,"1,031",+401,5,2,0,1/147.3,1/206.2,1/515.5,1/0.0
ハナハナホウオウ～天翔～,425,238,-273,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,529,-41,2,0,0,1/264.5,1/264.5,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,116,-180,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"1,465",+645,0,2,14,1/91.6,1/0.0,1/732.5,1/104.6
ゴッドイーター リザレクション,372,"5,441","+10,256",0,6,83,1/61.1,1/0.0,1/906.8,1/65.6
ゴッドイーター リザレクション,373,"1,635",-145,0,3,13,1/102.2,1/0.0,1/545.0,1/125.8
ファンキージャグラー2,339,"4,063",+872,20,13,0,1/123.1,1/203.2,1/312.5,1/0.0
ファンキージャグラー2,340,"2,493",-878,7,6,0,1/191.8,1/356.1,1/415.5,1/0.0
ファンキージャグラー2,341,"5,660","+1,709",29,18,0,1/120.4,1/195.2,1/314.4,1/0.0
押忍！番長4,374,"1,602",-494,0,4,8,1/133.5,1/0.0,1/400.5,1/200.2
押忍！番長4,375,"1,486",-988,0,1,5,1/247.7,1/0.0,1/1486.0,1/297.2
押忍！番長4,376,644,+703,0,1,6,1/92.0,1/0.0,1/644.0,1/107.3
炎炎ノ消防隊,398,570,-273,0,3,2,1/114.0,1/0.0,1/190.0,1/285.0
炎炎ノ消防隊,399,222,-262,0,1,0,1/222.0,1/0.0,1/222.0,1/0.0
炎炎ノ消防隊,400,641,-87,0,3,3,1/106.8,1/0.0,1/213.7,1/213.7
D4DJ Pachi‐Slot Mix,356,159,-227,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,588,-76,4,0,5,1/65.3,1/147.0,1/0.0,1/117.6
L南国育ち,358,"1,075",-593,3,5,0,1/134.4,1/358.3,1/215.0,1/0.0
L南国育ち,359,375,-134,0,5,0,1/75.0,1/0.0,1/75.0,1/0.0
Re:ゼロから始める異世界生活 season2,362,"2,870",-919,0,0,23,1/124.8,1/0.0,1/0.0,1/124.8
Re:ゼロから始める異世界生活 season2,363,564,-366,0,0,3,1/188.0,1/0.0,1/0.0,1/188.0
ありふれた職業で世界最強,366,"4,738","-3,651",0,17,14,1/152.8,1/0.0,1/278.7,1/338.4
ありふれた職業で世界最強,367,"3,856","-1,616",0,10,13,1/167.7,1/0.0,1/385.6,1/296.6
サンダーVライトニング,422,"1,157",+459,5,5,0,1/115.7,1/231.4,1/231.4,1/0.0
サンダーVライトニング,423,304,-203,1,0,0,1/304.0,1/304.0,1/0.0,1/0.0
ジャグラーガールズ,333,"3,635",-645,14,4,0,1/201.9,1/259.6,1/908.8,1/0.0
ジャグラーガールズ,334,663,-890,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ダンベル何キロ持てる？,403,"1,745","+1,384",0,8,43,1/34.2,1/0.0,1/218.1,1/40.6
ダンベル何キロ持てる？,404,"3,494","-1,326",0,12,38,1/69.9,1/0.0,1/291.2,1/91.9
バンドリ！,401,"1,207",+733,0,1,4,1/241.4,1/0.0,1/1207.0,1/301.8
バンドリ！,402,"1,446",-552,0,6,9,1/96.4,1/0.0,1/241.0,1/160.7
ミスタージャグラー,331,"3,536",-692,10,12,0,1/160.7,1/353.6,1/294.7,1/0.0
ミスタージャグラー,332,"6,518","+1,686",30,25,0,1/118.5,1/217.3,1/260.7,1/0.0
モンキーターンV,369,"2,094","-1,058",0,4,12,1/130.9,1/0.0,1/523.5,1/174.5
モンキーターンV,370,"4,484","+2,581",0,7,29,1/124.6,1/0.0,1/640.6,1/154.6
戦国乙女4 戦乱に閃く炯眼の軍師,364,"3,439","+1,047",19,0,14,1/104.2,1/181.0,1/0.0,1/245.6
