機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,444,"3,009",8,5,1/231.5,1/376.1,1/601.8
マイジャグラーV,445,"1,216",4,4,1/152.0,1/304.0,1/304.0
マイジャグラーV,446,"6,294",31,18,1/128.4,1/203.0,1/349.7
マイジャグラーV,447,"3,698",11,12,1/160.8,1/336.2,1/308.2
マイジャグラーV,448,853,0,1,1/853.0,1/0.0,1/853.0
マイジャグラーV,449,"3,065",9,9,1/170.3,1/340.6,1/340.6
マイジャグラーV,450,"3,179",11,9,1/158.9,1/289.0,1/353.2
マイジャグラーV,451,"5,490",21,18,1/140.8,1/261.4,1/305.0
マイジャグラーV,452,"6,410",20,24,1/145.7,1/320.5,1/267.1
マイジャグラーV,453,"1,198",4,3,1/171.1,1/299.5,1/399.3
マイジャグラーV,454,"2,399",10,3,1/184.5,1/239.9,1/799.7
マイジャグラーV,455,611,0,1,1/611.0,1/0.0,1/611.0
マイジャグラーV,456,"2,468",6,9,1/164.5,1/411.3,1/274.2
マイジャグラーV,465,"5,890",34,20,1/109.1,1/173.2,1/294.5
マイジャグラーV,466,435,3,0,1/145.0,1/145.0,1/0.0
マイジャグラーV,467,"4,604",17,14,1/148.5,1/270.8,1/328.9
マイジャグラーV,468,909,4,1,1/181.8,1/227.2,1/909.0
マイジャグラーV,469,"2,369",10,2,1/197.4,1/236.9,1/1184.5
マイジャグラーV,470,"1,059",1,1,1/529.5,1/1059.0,1/1059.0
マイジャグラーV,471,"1,945",4,8,1/162.1,1/486.2,1/243.1
マイジャグラーV,472,"3,815",12,12,1/159.0,1/317.9,1/317.9
マイジャグラーV,473,778,0,3,1/259.3,1/0.0,1/259.3
マイジャグラーV,474,"5,511",21,18,1/141.3,1/262.4,1/306.2
マイジャグラーV,475,767,1,2,1/255.7,1/767.0,1/383.5
マイジャグラーV,476,"4,472",18,10,1/159.7,1/248.4,1/447.2
マイジャグラーV,477,"5,129",16,10,1/197.3,1/320.6,1/512.9
アイムジャグラーEX-TP,457,"1,221",7,1,1/152.6,1/174.4,1/1221.0
アイムジャグラーEX-TP,458,"1,207",1,3,1/301.8,1/1207.0,1/402.3
アイムジャグラーEX-TP,459,"1,771",10,6,1/110.7,1/177.1,1/295.2
アイムジャグラーEX-TP,460,"2,917",9,5,1/208.4,1/324.1,1/583.4
アイムジャグラーEX-TP,461,976,7,0,1/139.4,1/139.4,1/0.0
アイムジャグラーEX-TP,462,784,7,1,1/98.0,1/112.0,1/784.0
アイムジャグラーEX-TP,463,"3,501",16,10,1/134.7,1/218.8,1/350.1
アイムジャグラーEX-TP,464,134,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,478,"1,667",3,4,1/238.1,1/555.7,1/416.8
アイムジャグラーEX-TP,479,"5,363",16,16,1/167.6,1/335.2,1/335.2
アイムジャグラーEX-TP,480,344,1,1,1/172.0,1/344.0,1/344.0
アイムジャグラーEX-TP,481,"4,415",20,15,1/126.1,1/220.8,1/294.3
アイムジャグラーEX-TP,482,503,1,2,1/167.7,1/503.0,1/251.5
アイムジャグラーEX-TP,483,"1,239",4,1,1/247.8,1/309.8,1/1239.0
アイムジャグラーEX-TP,484,381,0,1,1/381.0,1/0.0,1/381.0
アイムジャグラーEX-TP,485,"5,988",15,18,1/181.5,1/399.2,1/332.7
アイムジャグラーEX-TP,486,"3,732",25,9,1/109.8,1/149.3,1/414.7
アイムジャグラーEX-TP,487,158,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,488,178,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,489,"4,035",19,11,1/134.5,1/212.4,1/366.8
アイムジャグラーEX-TP,490,"1,035",3,2,1/207.0,1/345.0,1/517.5
アイムジャグラーEX-TP,491,920,2,2,1/230.0,1/460.0,1/460.0
アイムジャグラーEX-TP,492,"3,252",12,9,1/154.9,1/271.0,1/361.3
アイムジャグラーEX-TP,493,507,1,2,1/169.0,1/507.0,1/253.5
アイムジャグラーEX-TP,494,"2,774",14,1,1/184.9,1/198.1,1/2774.0
ゴーゴージャグラー3,540,"3,115",7,7,1/222.5,1/445.0,1/445.0
ゴーゴージャグラー3,541,767,3,1,1/191.8,1/255.7,1/767.0
ゴーゴージャグラー3,542,935,1,2,1/311.7,1/935.0,1/467.5
ゴーゴージャグラー3,543,"2,938",13,7,1/146.9,1/226.0,1/419.7
ゴーゴージャグラー3,544,310,0,0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,545,982,5,2,1/140.3,1/196.4,1/491.0
ゴーゴージャグラー3,546,"5,261",21,19,1/131.5,1/250.5,1/276.9
ゴーゴージャグラー3,547,528,3,1,1/132.0,1/176.0,1/528.0
ゴーゴージャグラー3,548,667,3,0,1/222.3,1/222.3,1/0.0
ゴーゴージャグラー3,549,"3,192",10,9,1/168.0,1/319.2,1/354.7
ゴーゴージャグラー3,550,735,1,1,1/367.5,1/735.0,1/735.0
ゴーゴージャグラー3,551,"1,052",1,4,1/210.4,1/1052.0,1/263.0
ゴーゴージャグラー3,552,"5,239",23,11,1/154.1,1/227.8,1/476.3
ゴーゴージャグラー3,553,927,3,3,1/154.5,1/309.0,1/309.0
スマスロ北斗の拳,648,"1,955",16,5,1/93.1,1/122.2,1/391.0
スマスロ北斗の拳,649,"3,146",18,5,1/136.8,1/174.8,1/629.2
スマスロ北斗の拳,650,620,4,1,1/124.0,1/155.0,1/620.0
スマスロ北斗の拳,651,"3,052",26,10,1/84.8,1/117.4,1/305.2
スマスロ北斗の拳,652,"1,267",9,4,1/97.5,1/140.8,1/316.8
スマスロ北斗の拳,653,"2,436",12,5,1/143.3,1/203.0,1/487.2
スマスロ北斗の拳,654,"3,592",29,12,1/87.6,1/123.9,1/299.3
スマスロ北斗の拳,655,984,5,3,1/123.0,1/196.8,1/328.0
スマスロ北斗の拳,656,"3,390",17,10,1/125.6,1/199.4,1/339.0
スマスロ北斗の拳,657,"1,614",18,5,1/70.2,1/89.7,1/322.8
スマスロ北斗の拳,658,990,12,2,1/70.7,1/82.5,1/495.0
スマスロ北斗の拳,659,"3,807",97,8,1/36.3,1/39.2,1/475.9
スマスロ北斗の拳,660,569,3,1,1/142.2,1/189.7,1/569.0
スマスロ北斗の拳,661,"1,744",34,4,1/45.9,1/51.3,1/436.0
沖ドキ!GOLD‐30,526,"1,706",28,5,1/51.7,1/60.9,1/341.2
沖ドキ!GOLD‐30,527,274,4,1,1/54.8,1/68.5,1/274.0
沖ドキ!GOLD‐30,528,"1,950",14,6,1/97.5,1/139.3,1/325.0
沖ドキ!GOLD‐30,529,"1,300",12,4,1/81.2,1/108.3,1/325.0
沖ドキ!GOLD‐30,530,491,5,3,1/61.4,1/98.2,1/163.7
沖ドキ!GOLD‐30,531,"1,007",6,1,1/143.9,1/167.8,1/1007.0
沖ドキ!GOLD‐30,532,"4,005",13,12,1/160.2,1/308.1,1/333.8
沖ドキ!GOLD‐30,533,"1,648",16,5,1/78.5,1/103.0,1/329.6
沖ドキ!GOLD‐30,534,"1,031",16,8,1/43.0,1/64.4,1/128.9
沖ドキ!GOLD‐30,535,"1,535",2,2,1/383.8,1/767.5,1/767.5
沖ドキ!GOLD‐30,536,"2,560",7,11,1/142.2,1/365.7,1/232.7
沖ドキ!GOLD‐30,537,"1,764",4,7,1/160.4,1/441.0,1/252.0
沖ドキ!GOLD‐30,538,"2,797",13,11,1/116.5,1/215.2,1/254.3
沖ドキ!GOLD‐30,539,"1,164",2,5,1/166.3,1/582.0,1/232.8
からくりサーカス,741,88,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,742,"1,351",9,3,1/112.6,1/150.1,1/450.3
からくりサーカス,743,"2,253",4,4,1/281.6,1/563.2,1/563.2
からくりサーカス,744,103,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,745,154,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,746,"1,410",19,6,1/56.4,1/74.2,1/235.0
からくりサーカス,747,296,9,2,1/26.9,1/32.9,1/148.0
からくりサーカス,748,178,2,1,1/59.3,1/89.0,1/178.0
からくりサーカス,749,"3,069",38,7,1/68.2,1/80.8,1/438.4
からくりサーカス,750,163,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,751,"1,139",3,2,1/227.8,1/379.7,1/569.5
モンキーターンV,685,"3,255",15,8,1/141.5,1/217.0,1/406.9
モンキーターンV,686,"2,076",17,7,1/86.5,1/122.1,1/296.6
モンキーターンV,687,"5,112",62,18,1/63.9,1/82.5,1/284.0
モンキーターンV,688,"4,159",47,15,1/67.1,1/88.5,1/277.3
モンキーターンV,689,"1,778",4,3,1/254.0,1/444.5,1/592.7
モンキーターンV,690,"1,298",3,2,1/259.6,1/432.7,1/649.0
モンキーターンV,691,"3,506",16,9,1/140.2,1/219.1,1/389.6
モンキーターンV,692,"3,484",69,19,1/39.6,1/50.5,1/183.4
モンキーターンV,693,"2,513",19,6,1/100.5,1/132.3,1/418.8
甲鉄城のカバネリ,592,947,8,4,1/78.9,1/118.4,1/236.8
甲鉄城のカバネリ,593,"2,109",24,9,1/63.9,1/87.9,1/234.3
甲鉄城のカバネリ,594,538,3,1,1/134.5,1/179.3,1/538.0
甲鉄城のカバネリ,595,103,3,1,1/25.8,1/34.3,1/103.0
甲鉄城のカバネリ,596,948,5,4,1/105.3,1/189.6,1/237.0
甲鉄城のカバネリ,597,"1,870",28,9,1/50.5,1/66.8,1/207.8
甲鉄城のカバネリ,598,984,7,6,1/75.7,1/140.6,1/164.0
甲鉄城のカバネリ,599,817,3,4,1/116.7,1/272.3,1/204.2
甲鉄城のカバネリ,600,"1,231",14,6,1/61.5,1/87.9,1/205.2
Re:ゼロから始める異世界生活 season2,626,"2,933",24,0,1/122.2,1/122.2,1/0.0
Re:ゼロから始める異世界生活 season2,627,"1,170",21,1,1/53.2,1/55.7,1/1170.0
Re:ゼロから始める異世界生活 season2,628,"3,055",87,4,1/33.6,1/35.1,1/763.8
Re:ゼロから始める異世界生活 season2,629,"3,507",41,0,1/85.5,1/85.5,1/0.0
Re:ゼロから始める異世界生活 season2,630,703,38,2,1/17.6,1/18.5,1/351.5
Re:ゼロから始める異世界生活 season2,631,"1,926",14,0,1/137.6,1/137.6,1/0.0
Re:ゼロから始める異世界生活 season2,632,430,10,0,1/43.0,1/43.0,1/0.0
Re:ゼロから始める異世界生活 season2,633,"4,495",84,5,1/50.5,1/53.5,1/899.0
戦国乙女4 戦乱に閃く炯眼の軍師,779,726,2,1,1/242.0,1/363.0,1/726.0
戦国乙女4 戦乱に閃く炯眼の軍師,780,"1,060",3,2,1/212.0,1/353.3,1/530.0
戦国乙女4 戦乱に閃く炯眼の軍師,781,864,3,3,1/144.0,1/288.0,1/288.0
戦国乙女4 戦乱に閃く炯眼の軍師,782,"3,475",12,7,1/182.9,1/289.6,1/496.4
戦国乙女4 戦乱に閃く炯眼の軍師,783,0,0,0,1/0.0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,784,"4,461",22,20,1/106.2,1/202.8,1/223.1
戦国乙女4 戦乱に閃く炯眼の軍師,785,0,0,0,1/0.0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,786,986,5,3,1/123.2,1/197.2,1/328.7
革命機ヴァルヴレイヴ,720,"2,313",0,2,1/1156.5,1/0.0,1/1156.5
革命機ヴァルヴレイヴ,721,967,2,1,1/322.3,1/483.5,1/967.0
革命機ヴァルヴレイヴ,722,"1,264",0,2,1/632.0,1/0.0,1/632.0
革命機ヴァルヴレイヴ,723,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,724,"2,604",3,2,1/520.8,1/868.0,1/1302.0
革命機ヴァルヴレイヴ,725,279,1,0,1/279.0,1/279.0,1/0.0
革命機ヴァルヴレイヴ,726,610,4,0,1/152.5,1/152.5,1/0.0
革命機ヴァルヴレイヴ,727,0,0,0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,662,"3,030",34,8,1/72.1,1/89.1,1/378.8
ゴッドイーター リザレクション,663,"2,281",10,5,1/152.1,1/228.1,1/456.2
ゴッドイーター リザレクション,664,"4,033",53,11,1/63.0,1/76.1,1/366.6
ゴッドイーター リザレクション,665,"2,004",61,12,1/27.5,1/32.9,1/167.0
ゴッドイーター リザレクション,666,"3,781",33,10,1/87.9,1/114.6,1/378.1
ゴッドイーター リザレクション,667,"2,175",17,5,1/98.9,1/127.9,1/435.0
ゴッドイーター リザレクション,668,"3,517",71,12,1/42.4,1/49.5,1/293.1
ファンキージャグラー2,500,983,8,2,1/98.3,1/122.9,1/491.5
ファンキージャグラー2,501,"2,230",11,3,1/159.3,1/202.7,1/743.3
ファンキージャグラー2,502,299,0,1,1/299.0,1/0.0,1/299.0
ファンキージャグラー2,503,"4,279",16,14,1/142.6,1/267.4,1/305.6
ファンキージャグラー2,504,"3,410",17,9,1/131.2,1/200.6,1/378.9
ファンキージャグラー2,505,"2,156",7,7,1/154.0,1/308.0,1/308.0
ファンキージャグラー2,506,"2,589",9,6,1/172.6,1/287.7,1/431.5
ToLOVEるダークネス,798,"1,269",4,3,1/181.3,1/317.2,1/423.0
ToLOVEるダークネス,799,"2,791",9,7,1/174.4,1/310.1,1/398.7
ToLOVEるダークネス,800,823,4,3,1/117.6,1/205.8,1/274.3
ToLOVEるダークネス,801,722,4,2,1/120.3,1/180.5,1/361.0
ToLOVEるダークネス,802,"3,604",19,12,1/116.3,1/189.7,1/300.3
ToLOVEるダークネス,803,"4,441",18,11,1/153.1,1/246.7,1/403.7
押忍！番長4,642,"1,431",22,4,1/55.0,1/65.0,1/357.8
押忍！番長4,643,350,1,0,1/350.0,1/350.0,1/0.0
押忍！番長4,644,821,6,2,1/102.6,1/136.8,1/410.5
押忍！番長4,645,145,1,0,1/145.0,1/145.0,1/0.0
押忍！番長4,646,812,23,4,1/30.1,1/35.3,1/203.0
押忍！番長4,647,"1,590",14,2,1/99.4,1/113.6,1/795.0
ジャグラーガールズ,507,"1,683",7,4,1/153.0,1/240.4,1/420.8
ジャグラーガールズ,508,921,2,3,1/184.2,1/460.5,1/307.0
ジャグラーガールズ,509,891,4,1,1/178.2,1/222.8,1/891.0
ジャグラーガールズ,510,"3,721",17,6,1/161.8,1/218.9,1/620.2
ジャグラーガールズ,511,"4,179",9,19,1/149.2,1/464.3,1/219.9
ハッピージャグラーVIII,495,"2,362",8,6,1/168.7,1/295.2,1/393.7
ハッピージャグラーVIII,496,"1,108",3,2,1/221.6,1/369.3,1/554.0
ハッピージャグラーVIII,497,563,2,1,1/187.7,1/281.5,1/563.0
ハッピージャグラーVIII,498,"4,533",28,12,1/113.3,1/161.9,1/377.8
ハッピージャグラーVIII,499,372,0,1,1/372.0,1/0.0,1/372.0
モンスターハンターライズ,694,"5,705",64,16,1/71.3,1/89.1,1/356.6
モンスターハンターライズ,695,"5,644",43,14,1/99.0,1/131.3,1/403.1
モンスターハンターライズ,696,"4,322",84,24,1/40.0,1/51.5,1/180.1
モンスターハンターライズ,697,"5,802",58,25,1/69.9,1/100.0,1/232.1
モンスターハンターライズ,698,"6,004",57,22,1/76.0,1/105.3,1/272.9
戦姫絶唱シンフォギア 正義の歌,617,166,4,2,1/27.7,1/41.5,1/83.0
戦姫絶唱シンフォギア 正義の歌,618,648,3,2,1/129.6,1/216.0,1/324.0
戦姫絶唱シンフォギア 正義の歌,619,"1,395",15,4,1/73.4,1/93.0,1/348.8
戦姫絶唱シンフォギア 正義の歌,620,154,0,0,1/0.0,1/0.0,1/0.0
戦姫絶唱シンフォギア 正義の歌,621,435,4,1,1/87.0,1/108.8,1/435.0
ガールズ&パンツァー 最終章,791,806,19,9,1/28.8,1/42.4,1/89.6
ガールズ&パンツァー 最終章,792,0,0,0,1/0.0,1/0.0,1/0.0
ガールズ&パンツァー 最終章,793,0,0,0,1/0.0,1/0.0,1/0.0
ガールズ&パンツァー 最終章,794,"2,027",22,20,1/48.3,1/92.1,1/101.3
ゴジラ対エヴァンゲリオン,728,"2,363",21,15,1/65.6,1/112.5,1/157.5
ゴジラ対エヴァンゲリオン,729,0,0,0,1/0.0,1/0.0,1/0.0
ゴジラ対エヴァンゲリオン,730,451,0,0,1/0.0,1/0.0,1/0.0
ゴジラ対エヴァンゲリオン,731,871,4,2,1/145.2,1/217.8,1/435.5
スマスロ炎炎ノ消防隊,604,377,0,2,1/188.5,1/0.0,1/188.5
スマスロ炎炎ノ消防隊,605,"1,482",4,7,1/134.7,1/370.5,1/211.7
スマスロ炎炎ノ消防隊,606,"2,671",21,5,1/102.7,1/127.2,1/534.2
スマスロ炎炎ノ消防隊,607,"1,360",9,5,1/97.1,1/151.1,1/272.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,732,0,0,0,1/0.0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,733,56,0,0,1/0.0,1/0.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,734,25,1,0,1/25.0,1/25.0,1/0.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,735,0,0,0,1/0.0,1/0.0,1/0.0
バンドリ！,787,725,6,2,1/90.6,1/120.8,1/362.5
バンドリ！,788,"3,390",20,12,1/105.9,1/169.5,1/282.5
バンドリ！,789,"1,681",7,6,1/129.3,1/240.1,1/280.2
バンドリ！,790,"3,835",22,9,1/123.7,1/174.3,1/426.1
痛いのは嫌なので防御力に極振りしたいと思います。,622,"1,393",5,5,1/139.3,1/278.6,1/278.6
痛いのは嫌なので防御力に極振りしたいと思います。,623,"1,736",5,4,1/192.9,1/347.2,1/434.0
痛いのは嫌なので防御力に極振りしたいと思います。,624,"1,564",7,7,1/111.7,1/223.4,1/223.4
痛いのは嫌なので防御力に極振りしたいと思います。,625,"1,718",5,10,1/114.5,1/343.6,1/171.8
聖闘士星矢 海皇覚醒 CUSTOM EDITION,638,0,0,0,1/0.0,1/0.0,1/0.0
聖闘士星矢 海皇覚醒 CUSTOM EDITION,639,384,5,1,1/64.0,1/76.8,1/384.0
聖闘士星矢 海皇覚醒 CUSTOM EDITION,640,58,0,0,1/0.0,1/0.0,1/0.0
聖闘士星矢 海皇覚醒 CUSTOM EDITION,641,0,0,0,1/0.0,1/0.0,1/0.0
頭文字D 2nd,699,"1,961",10,2,1/163.4,1/196.1,1/980.5
頭文字D 2nd,700,467,5,1,1/77.8,1/93.4,1/467.0
頭文字D 2nd,701,"1,662",8,3,1/151.1,1/207.8,1/554.0
頭文字D 2nd,702,"2,825",33,4,1/76.4,1/85.6,1/706.2
鬼武者3,634,61,0,0,1/0.0,1/0.0,1/0.0
鬼武者3,635,0,0,0,1/0.0,1/0.0,1/0.0
鬼武者3,636,61,0,0,1/0.0,1/0.0,1/0.0
鬼武者3,637,0,0,0,1/0.0,1/0.0,1/0.0
L南国育ち,575,0,0,0,1/0.0,1/0.0,1/0.0
L南国育ち,576,0,0,0,1/0.0,1/0.0,1/0.0
L南国育ち,577,321,1,0,1/321.0,1/321.0,1/0.0
かぐや様は告らせたい,601,"6,425",29,9,1/169.1,1/221.6,1/713.9
かぐや様は告らせたい,602,"5,443",37,11,1/113.4,1/147.1,1/494.8
かぐや様は告らせたい,603,"4,142",21,5,1/159.3,1/197.2,1/828.4
キングハナハナ-30,581,"1,194",6,1,1/170.6,1/199.0,1/1194.0
キングハナハナ-30,582,422,0,1,1/422.0,1/0.0,1/422.0
キングハナハナ-30,583,695,1,1,1/347.5,1/695.0,1/695.0
グランベルム,563,682,2,0,1/341.0,1/341.0,1/0.0
グランベルム,564,738,1,0,1/738.0,1/738.0,1/0.0
グランベルム,565,0,0,0,1/0.0,1/0.0,1/0.0
ゲゲゲの鬼太郎 覚醒,682,860,20,2,1/39.1,1/43.0,1/430.0
ゲゲゲの鬼太郎 覚醒,683,"1,854",22,3,1/74.2,1/84.3,1/618.0
ゲゲゲの鬼太郎 覚醒,684,730,3,2,1/146.0,1/243.3,1/365.0
ゴールデンカムイ,671,0,0,0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,672,329,0,0,1/0.0,1/0.0,1/0.0
