機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"2,365",23,7,0,1/78.8,1/102.8,1/337.9,1/0.0
スマスロ北斗の拳,343,775,5,2,0,1/110.7,1/155.0,1/387.5,1/0.0
スマスロ北斗の拳,344,"1,585",7,4,0,1/144.1,1/226.4,1/396.2,1/0.0
スマスロ北斗の拳,345,"2,056",6,3,0,1/228.4,1/342.7,1/685.3,1/0.0
スマスロ北斗の拳,346,103,2,1,0,1/34.3,1/51.5,1/103.0,1/0.0
スマスロ北斗の拳,347,994,5,1,0,1/165.7,1/198.8,1/994.0,1/0.0
スマスロ北斗の拳,348,763,9,1,0,1/76.3,1/84.8,1/763.0,1/0.0
スマスロ北斗の拳,349,"2,115",30,4,0,1/62.2,1/70.5,1/528.8,1/0.0
アイムジャグラーEX-TP,319,"3,606",15,10,0,1/144.2,1/240.4,1/360.6,1/0.0
アイムジャグラーEX-TP,320,"1,609",6,2,0,1/201.1,1/268.2,1/804.5,1/0.0
アイムジャグラーEX-TP,321,"2,472",8,5,0,1/190.2,1/309.0,1/494.4,1/0.0
アイムジャグラーEX-TP,322,"6,889",24,19,0,1/160.2,1/287.0,1/362.6,1/0.0
アイムジャグラーEX-TP,323,704,3,1,0,1/176.0,1/234.7,1/704.0,1/0.0
アイムジャグラーEX-TP,324,"7,103",28,17,0,1/157.8,1/253.7,1/417.8,1/0.0
アイムジャグラーEX-TP,325,"3,785",12,6,0,1/210.3,1/315.4,1/630.8,1/0.0
マイジャグラーV,313,"4,173",12,8,0,1/208.7,1/347.8,1/521.6,1/0.0
マイジャグラーV,314,"2,460",7,6,0,1/189.2,1/351.4,1/410.0,1/0.0
マイジャグラーV,315,"1,427",4,2,0,1/237.8,1/356.8,1/713.5,1/0.0
マイジャグラーV,316,"5,555",25,12,0,1/150.1,1/222.2,1/462.9,1/0.0
マイジャグラーV,317,"1,032",3,0,0,1/344.0,1/344.0,1/0.0,1/0.0
マイジャグラーV,318,"4,405",13,11,0,1/183.5,1/338.8,1/400.5,1/0.0
ハッピージャグラーVIII,326,"2,944",11,4,0,1/196.3,1/267.6,1/736.0,1/0.0
ハッピージャグラーVIII,327,"2,168",3,5,0,1/271.0,1/722.7,1/433.6,1/0.0
ハッピージャグラーVIII,328,"1,212",5,1,0,1/202.0,1/242.4,1/1212.0,1/0.0
ハッピージャグラーVIII,329,"2,784",11,7,0,1/154.7,1/253.1,1/397.7,1/0.0
ハッピージャグラーVIII,330,"2,310",6,4,0,1/231.0,1/385.0,1/577.5,1/0.0
ゴーゴージャグラー3,335,"2,082",9,2,0,1/189.3,1/231.3,1/1041.0,1/0.0
ゴーゴージャグラー3,336,"1,179",6,2,0,1/147.4,1/196.5,1/589.5,1/0.0
ゴーゴージャグラー3,337,"6,406",22,26,0,1/133.5,1/291.2,1/246.4,1/0.0
ゴーゴージャグラー3,338,"1,610",5,2,0,1/230.0,1/322.0,1/805.0,1/0.0
ハナハナホウオウ～天翔～,424,936,1,2,0,1/312.0,1/936.0,1/468.0,1/0.0
ハナハナホウオウ～天翔～,425,932,3,0,0,1/310.7,1/310.7,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,"1,353",2,3,0,1/270.6,1/676.5,1/451.0,1/0.0
ハナハナホウオウ～天翔～,427,474,3,0,0,1/158.0,1/158.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"3,422",0,6,18,1/142.6,1/0.0,1/570.3,1/190.1
ゴッドイーター リザレクション,372,744,0,1,3,1/186.0,1/0.0,1/744.0,1/248.0
ゴッドイーター リザレクション,373,"3,292",0,7,27,1/96.8,1/0.0,1/470.3,1/121.9
ファンキージャグラー2,339,"1,309",3,3,0,1/218.2,1/436.3,1/436.3,1/0.0
ファンキージャグラー2,340,"1,800",9,5,0,1/128.6,1/200.0,1/360.0,1/0.0
ファンキージャグラー2,341,"5,500",26,14,0,1/137.5,1/211.5,1/392.9,1/0.0
押忍！番長4,374,"1,427",0,1,6,1/203.9,1/0.0,1/1427.0,1/237.8
押忍！番長4,375,385,0,0,1,1/385.0,1/0.0,1/0.0,1/385.0
押忍！番長4,376,556,0,1,2,1/185.3,1/0.0,1/556.0,1/278.0
炎炎ノ消防隊,398,"1,209",0,3,3,1/201.5,1/0.0,1/403.0,1/403.0
炎炎ノ消防隊,399,874,0,1,10,1/79.5,1/0.0,1/874.0,1/87.4
炎炎ノ消防隊,400,"2,381",0,3,25,1/85.0,1/0.0,1/793.7,1/95.2
D4DJ Pachi‐Slot Mix,356,538,2,0,4,1/89.7,1/269.0,1/0.0,1/134.5
D4DJ Pachi‐Slot Mix,357,814,6,0,6,1/67.8,1/135.7,1/0.0,1/135.7
Re:ゼロから始める異世界生活 season2,362,"1,239",0,0,6,1/206.5,1/0.0,1/0.0,1/206.5
Re:ゼロから始める異世界生活 season2,363,643,0,0,2,1/321.5,1/0.0,1/0.0,1/321.5
ありふれた職業で世界最強,366,"3,176",0,2,18,1/158.8,1/0.0,1/1588.0,1/176.4
ありふれた職業で世界最強,367,"2,658",0,10,5,1/177.2,1/0.0,1/265.8,1/531.6
サンダーVライトニング,422,92,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
サンダーVライトニング,423,149,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ジャグラーガールズ,333,"1,568",9,6,0,1/104.5,1/174.2,1/261.3,1/0.0
ジャグラーガールズ,334,"1,814",6,3,0,1/201.6,1/302.3,1/604.7,1/0.0
スマスロ炎炎ノ消防隊,350,747,0,1,5,1/124.5,1/0.0,1/747.0,1/149.4
スマスロ炎炎ノ消防隊,351,927,0,1,8,1/103.0,1/0.0,1/927.0,1/115.9
ダンベル何キロ持てる？,403,889,0,2,7,1/98.8,1/0.0,1/444.5,1/127.0
ダンベル何キロ持てる？,404,"4,462",0,18,44,1/72.0,1/0.0,1/247.9,1/101.4
バンドリ！,401,869,0,2,4,1/144.8,1/0.0,1/434.5,1/217.2
バンドリ！,402,"2,553",0,7,8,1/170.2,1/0.0,1/364.7,1/319.1
ミスタージャグラー,331,"3,560",9,10,0,1/187.4,1/395.6,1/356.0,1/0.0
ミスタージャグラー,332,"2,047",9,5,0,1/146.2,1/227.4,1/409.4,1/0.0
モンキーターンV,369,"3,708",0,7,26,1/112.4,1/0.0,1/529.7,1/142.6
モンキーターンV,370,"3,661",0,8,21,1/126.2,1/0.0,1/457.6,1/174.3
