台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"7,631",-335,26,23,1/155.7,1/293.5,1/331.8
1002,"7,340",-238,25,25,1/146.8,1/293.6,1/293.6
1003,"8,100",+429,31,29,1/135.0,1/261.3,1/279.3
1004,"7,372",+403,29,20,1/150.4,1/254.2,1/368.6
1005,"3,158",-332,12,6,1/175.4,1/263.2,1/526.3
1006,"5,788",+403,25,15,1/144.7,1/231.5,1/385.9
1007,"7,592","+1,818",33,23,1/135.6,1/230.1,1/330.1
1008,"3,949",-932,10,12,1/179.5,1/394.9,1/329.1
1009,"4,802",-550,17,13,1/160.1,1/282.5,1/369.4
1010,"7,686","+1,629",33,25,1/132.5,1/232.9,1/307.4
1011,"7,148","+1,826",36,20,1/127.6,1/198.6,1/357.4
1012,"7,751","+1,382",31,22,1/146.2,1/250.0,1/352.3
1013,"3,499",-774,13,4,1/205.8,1/269.2,1/874.8
1014,"8,867","+2,003",38,29,1/132.3,1/233.3,1/305.8
1015,"6,638",-909,23,18,1/161.9,1/288.6,1/368.8
1016,"3,854",-521,14,9,1/167.6,1/275.3,1/428.2
1017,"8,019","+1,950",35,29,1/125.3,1/229.1,1/276.5
1018,"7,249",+629,30,22,1/139.4,1/241.6,1/329.5
1019,"4,801",-932,15,13,1/171.5,1/320.1,1/369.3
1020,"7,068",+688,27,27,1/130.9,1/261.8,1/261.8
1021,"8,744","+1,950",37,31,1/128.6,1/236.3,1/282.1
1022,"3,271",-350,14,4,1/181.7,1/233.6,1/817.8
1023,"2,978",-732,10,4,1/212.7,1/297.8,1/744.5
1024,"6,724",-88,22,24,1/146.2,1/305.6,1/280.2
1025,"3,081","-1,559",6,6,1/256.8,1/513.5,1/513.5
1026,"8,503","+1,900",35,31,1/128.8,1/242.9,1/274.3
1027,"8,728","-1,488",28,28,1/155.9,1/311.7,1/311.7
1028,"4,194",-735,15,9,1/174.8,1/279.6,1/466.0
1029,"7,356","+1,053",31,24,1/133.7,1/237.3,1/306.5
1030,"7,719",+312,29,30,1/130.8,1/266.2,1/257.3
1031,"4,252",-985,14,5,1/223.8,1/303.7,1/850.4
1032,"7,118",-241,27,13,1/177.9,1/263.6,1/547.5
1033,"7,176",+582,30,17,1/152.7,1/239.2,1/422.1
1034,"2,024","-1,147",5,1,1/337.3,1/404.8,1/2024.0
1035,"7,587","+1,441",29,34,1/120.4,1/261.6,1/223.1
1036,"2,556",-879,7,5,1/213.0,1/365.1,1/511.2
1037,"7,738","+5,806",45,44,1/86.9,1/172.0,1/175.9
1038,"4,695","-1,429",13,10,1/204.1,1/361.2,1/469.5
1039,"6,518","+1,029",26,22,1/135.8,1/250.7,1/296.3
1040,"5,160",-856,19,9,1/184.3,1/271.6,1/573.3
1041,"6,802",+815,28,20,1/141.7,1/242.9,1/340.1
1042,"7,712","+3,706",45,23,1/113.4,1/171.4,1/335.3
1043,"6,760","+2,126",33,19,1/130.0,1/204.8,1/355.8
1044,"7,185","+2,021",34,26,1/119.8,1/211.3,1/276.3
1045,"8,246",-100,30,24,1/152.7,1/274.9,1/343.6
1046,"8,394",-656,31,20,1/164.6,1/270.8,1/419.7
1047,"6,709",-579,24,16,1/167.7,1/279.5,1/419.3
1048,"6,256",-285,24,12,1/173.8,1/260.7,1/521.3
1049,"5,604",-947,19,13,1/175.1,1/294.9,1/431.1
1050,"5,286",-438,22,7,1/182.3,1/240.3,1/755.1
1069,"8,624","+3,776",42,36,1/110.6,1/205.3,1/239.6
1070,"4,993",-982,11,17,1/178.3,1/453.9,1/293.7
1071,"6,135",-144,23,17,1/153.4,1/266.7,1/360.9
1072,"8,467",+735,30,32,1/136.6,1/282.2,1/264.6
1073,"8,295",-441,28,27,1/150.8,1/296.2,1/307.2
1074,"3,086","-1,559",8,3,1/280.5,1/385.8,1/1028.7
1075,"9,076","+3,282",36,47,1/109.3,1/252.1,1/193.1
1076,"3,905","-1,512",10,7,1/229.7,1/390.5,1/557.9
1077,"6,538",-238,23,22,1/145.3,1/284.3,1/297.2
1078,"7,570",+668,31,24,1/137.6,1/244.2,1/315.4
1079,"7,349","+2,179",35,25,1/122.5,1/210.0,1/294.0
1080,"8,126","+1,465",33,33,1/123.1,1/246.2,1/246.2
1081,"6,747",-26,28,15,1/156.9,1/241.0,1/449.8
1082,"3,800",-209,16,5,1/181.0,1/237.5,1/760.0
1083,"3,902","-1,076",10,10,1/195.1,1/390.2,1/390.2
1084,"7,861",+806,29,28,1/137.9,1/271.1,1/280.8
1085,"9,348","+3,188",43,36,1/118.3,1/217.4,1/259.7
1086,"5,509","-1,300",18,7,1/220.4,1/306.1,1/787.0
1087,"6,793","+1,738",33,16,1/138.6,1/205.8,1/424.6
1088,"5,463",-197,20,11,1/176.2,1/273.1,1/496.6
1089,"7,278",+785,29,28,1/127.7,1/251.0,1/259.9
1090,"7,959","-1,218",26,20,1/173.0,1/306.1,1/397.9
1091,"5,736","-1,653",15,12,1/212.4,1/382.4,1/478.0
1092,"6,681","+1,524",31,19,1/133.6,1/215.5,1/351.6
1093,"6,298",-85,23,22,1/140.0,1/273.8,1/286.3
1094,"6,226",+603,24,19,1/144.8,1/259.4,1/327.7
1095,"8,151","+1,124",35,22,1/143.0,1/232.9,1/370.5
1096,"5,013",-585,17,11,1/179.0,1/294.9,1/455.7
1097,"4,620","-1,653",11,12,1/200.9,1/420.0,1/385.0
1098,"4,216",+362,17,13,1/140.5,1/248.0,1/324.3
1099,"8,104","+1,218",30,34,1/126.6,1/270.1,1/238.4
