機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"3,950",23,10,0,1/119.7,1/171.7,1/395.0,1/0.0
スマスロ北斗の拳,343,"3,750",20,7,0,1/138.9,1/187.5,1/535.7,1/0.0
スマスロ北斗の拳,344,"4,808",63,19,0,1/58.6,1/76.3,1/253.1,1/0.0
スマスロ北斗の拳,345,"3,943",44,10,0,1/73.0,1/89.6,1/394.3,1/0.0
スマスロ北斗の拳,346,"3,010",48,7,0,1/54.7,1/62.7,1/430.0,1/0.0
スマスロ北斗の拳,347,"6,393",65,19,0,1/76.1,1/98.4,1/336.5,1/0.0
スマスロ北斗の拳,348,"1,475",11,2,0,1/113.5,1/134.1,1/737.5,1/0.0
スマスロ北斗の拳,349,"2,394",12,3,0,1/159.6,1/199.5,1/798.0,1/0.0
アイムジャグラーEX-TP,319,"1,801",2,4,0,1/300.2,1/900.5,1/450.2,1/0.0
アイムジャグラーEX-TP,320,"2,179",5,5,0,1/217.9,1/435.8,1/435.8,1/0.0
アイムジャグラーEX-TP,321,"1,518",3,3,0,1/253.0,1/506.0,1/506.0,1/0.0
アイムジャグラーEX-TP,322,"1,887",6,5,0,1/171.5,1/314.5,1/377.4,1/0.0
アイムジャグラーEX-TP,323,"5,079",18,14,0,1/158.7,1/282.2,1/362.8,1/0.0
アイムジャグラーEX-TP,324,"2,982",9,8,0,1/175.4,1/331.3,1/372.8,1/0.0
アイムジャグラーEX-TP,325,"3,460",12,10,0,1/157.3,1/288.3,1/346.0,1/0.0
マイジャグラーV,313,"3,536",7,10,0,1/208.0,1/505.1,1/353.6,1/0.0
マイジャグラーV,314,"2,323",8,4,0,1/193.6,1/290.4,1/580.8,1/0.0
マイジャグラーV,315,"1,907",4,1,0,1/381.4,1/476.8,1/1907.0,1/0.0
マイジャグラーV,316,710,0,1,0,1/710.0,1/0.0,1/710.0,1/0.0
マイジャグラーV,317,"4,820",18,11,0,1/166.2,1/267.8,1/438.2,1/0.0
マイジャグラーV,318,"1,205",5,0,0,1/241.0,1/241.0,1/0.0,1/0.0
ハッピージャグラーVIII,326,"2,962",11,3,0,1/211.6,1/269.3,1/987.3,1/0.0
ハッピージャグラーVIII,327,"1,770",3,5,0,1/221.2,1/590.0,1/354.0,1/0.0
ハッピージャグラーVIII,328,"1,025",9,0,0,1/113.9,1/113.9,1/0.0,1/0.0
ハッピージャグラーVIII,329,614,0,1,0,1/614.0,1/0.0,1/614.0,1/0.0
ハッピージャグラーVIII,330,"2,367",7,8,0,1/157.8,1/338.1,1/295.9,1/0.0
ゴーゴージャグラー3,335,"3,186",14,7,0,1/151.7,1/227.6,1/455.1,1/0.0
ゴーゴージャグラー3,336,"1,150",4,0,0,1/287.5,1/287.5,1/0.0,1/0.0
ゴーゴージャグラー3,337,"6,045",30,13,0,1/140.6,1/201.5,1/465.0,1/0.0
ゴーゴージャグラー3,338,"1,420",5,5,0,1/142.0,1/284.0,1/284.0,1/0.0
ハナハナホウオウ～天翔～,424,"1,886",8,7,0,1/125.7,1/235.8,1/269.4,1/0.0
ハナハナホウオウ～天翔～,425,326,0,1,0,1/326.0,1/0.0,1/326.0,1/0.0
ハナハナホウオウ～天翔～,426,475,0,1,0,1/475.0,1/0.0,1/475.0,1/0.0
ハナハナホウオウ～天翔～,427,425,2,0,0,1/212.5,1/212.5,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"2,913",0,10,20,1/97.1,1/0.0,1/291.3,1/145.7
ゴッドイーター リザレクション,372,"3,341",0,6,40,1/72.6,1/0.0,1/556.8,1/83.5
ゴッドイーター リザレクション,373,"5,757",0,8,45,1/108.6,1/0.0,1/719.6,1/127.9
ファンキージャグラー2,339,"4,396",14,14,0,1/157.0,1/314.0,1/314.0,1/0.0
ファンキージャグラー2,340,"1,630",5,1,0,1/271.7,1/326.0,1/1630.0,1/0.0
ファンキージャグラー2,341,"1,743",2,3,0,1/348.6,1/871.5,1/581.0,1/0.0
押忍！番長4,374,"4,819",0,7,29,1/133.9,1/0.0,1/688.4,1/166.2
押忍！番長4,375,"1,581",0,2,6,1/197.6,1/0.0,1/790.5,1/263.5
押忍！番長4,376,708,0,0,1,1/708.0,1/0.0,1/0.0,1/708.0
炎炎ノ消防隊,398,274,0,1,0,1/274.0,1/0.0,1/274.0,1/0.0
炎炎ノ消防隊,399,531,0,2,1,1/177.0,1/0.0,1/265.5,1/531.0
炎炎ノ消防隊,400,406,0,2,0,1/203.0,1/0.0,1/203.0,1/0.0
D4DJ Pachi‐Slot Mix,356,162,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,357,1,0,3,1/89.2,1/357.0,1/0.0,1/119.0
Re:ゼロから始める異世界生活 season2,362,"2,407",0,0,5,1/481.4,1/0.0,1/0.0,1/481.4
Re:ゼロから始める異世界生活 season2,363,402,0,0,2,1/201.0,1/0.0,1/0.0,1/201.0
ありふれた職業で世界最強,366,"1,583",0,4,4,1/197.9,1/0.0,1/395.8,1/395.8
ありふれた職業で世界最強,367,"2,335",0,4,9,1/179.6,1/0.0,1/583.8,1/259.4
サンダーVライトニング,422,"7,486",32,22,0,1/138.6,1/233.9,1/340.3,1/0.0
サンダーVライトニング,423,592,1,2,0,1/197.3,1/592.0,1/296.0,1/0.0
ジャグラーガールズ,333,"4,972",20,12,0,1/155.4,1/248.6,1/414.3,1/0.0
ジャグラーガールズ,334,"1,065",3,0,0,1/355.0,1/355.0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,350,632,0,2,0,1/316.0,1/0.0,1/316.0,1/0.0
スマスロ炎炎ノ消防隊,351,"3,287",0,12,14,1/126.4,1/0.0,1/273.9,1/234.8
ダンベル何キロ持てる？,403,"1,439",0,3,13,1/89.9,1/0.0,1/479.7,1/110.7
ダンベル何キロ持てる？,404,922,0,4,13,1/54.2,1/0.0,1/230.5,1/70.9
バンドリ！,401,165,0,1,1,1/82.5,1/0.0,1/165.0,1/165.0
バンドリ！,402,"1,579",0,1,12,1/121.5,1/0.0,1/1579.0,1/131.6
ミスタージャグラー,331,"2,616",13,5,0,1/145.3,1/201.2,1/523.2,1/0.0
ミスタージャグラー,332,"1,232",6,1,0,1/176.0,1/205.3,1/1232.0,1/0.0
モンキーターンV,369,"4,089",0,8,13,1/194.7,1/0.0,1/511.1,1/314.5
モンキーターンV,370,"4,447",0,8,23,1/143.5,1/0.0,1/555.9,1/193.3
戦国乙女4 戦乱に閃く炯眼の軍師,364,"7,233",31,0,40,1/101.9,1/233.3,1/0.0,1/180.8
戦国乙女4 戦乱に閃く炯眼の軍師,365,"2,484",12,0,7,1/130.7,1/207.0,1/0.0,1/354.9
戦姫絶唱シンフォギア 正義の歌,352,"1,655",0,2,24,1/63.7,1/0.0,1/827.5,1/69.0
戦姫絶唱シンフォギア 正義の歌,353,910,0,2,6,1/113.8,1/0.0,1/455.0,1/151.7
押忍!番長ZERO,390,"4,283",0,6,29,1/122.4,1/0.0,1/713.8,1/147.7
押忍!番長ZERO,391,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,428,"2,571",5,6,0,1/233.7,1/514.2,1/428.5,1/0.0
沖ドキ!GOLD,429,148,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,396,"2,960",0,7,14,1/141.0,1/0.0,1/422.9,1/211.4
甲鉄城のカバネリ,397,"2,042",0,5,16,1/97.2,1/0.0,1/408.4,1/127.6
革命機ヴァルヴレイヴ,354,"1,948",7,1,8,1/121.8,1/278.3,1/1948.0,1/243.5
