機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,70,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,343,79,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,344,485,1,1,0,1/242.5,1/485.0,1/485.0,1/0.0
スマスロ北斗の拳,345,502,34,1,0,1/14.3,1/14.8,1/502.0,1/0.0
スマスロ北斗の拳,346,735,2,1,0,1/245.0,1/367.5,1/735.0,1/0.0
スマスロ北斗の拳,347,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,348,906,19,1,0,1/45.3,1/47.7,1/906.0,1/0.0
スマスロ北斗の拳,349,"1,642",16,3,0,1/86.4,1/102.6,1/547.3,1/0.0
アイムジャグラーEX-TP,319,691,4,0,0,1/172.8,1/172.8,1/0.0,1/0.0
アイムジャグラーEX-TP,320,"5,506",19,10,0,1/189.9,1/289.8,1/550.6,1/0.0
アイムジャグラーEX-TP,321,"1,776",5,5,0,1/177.6,1/355.2,1/355.2,1/0.0
アイムジャグラーEX-TP,322,"1,874",3,2,0,1/374.8,1/624.7,1/937.0,1/0.0
アイムジャグラーEX-TP,323,"3,677",11,7,0,1/204.3,1/334.3,1/525.3,1/0.0
アイムジャグラーEX-TP,324,"2,480",14,3,0,1/145.9,1/177.1,1/826.7,1/0.0
アイムジャグラーEX-TP,325,"3,834",11,7,0,1/213.0,1/348.5,1/547.7,1/0.0
マイジャグラーV,313,"1,230",2,2,0,1/307.5,1/615.0,1/615.0,1/0.0
マイジャグラーV,314,"4,731",16,13,0,1/163.1,1/295.7,1/363.9,1/0.0
マイジャグラーV,315,849,2,0,0,1/424.5,1/424.5,1/0.0,1/0.0
マイジャグラーV,316,"3,140",15,10,0,1/125.6,1/209.3,1/314.0,1/0.0
マイジャグラーV,317,"3,381",10,8,0,1/187.8,1/338.1,1/422.6,1/0.0
マイジャグラーV,318,"1,415",6,2,0,1/176.9,1/235.8,1/707.5,1/0.0
ハッピージャグラーVIII,326,"1,481",5,4,0,1/164.6,1/296.2,1/370.2,1/0.0
ハッピージャグラーVIII,327,568,1,0,0,1/568.0,1/568.0,1/0.0,1/0.0
ハッピージャグラーVIII,328,667,0,2,0,1/333.5,1/0.0,1/333.5,1/0.0
ハッピージャグラーVIII,329,828,2,1,0,1/276.0,1/414.0,1/828.0,1/0.0
ハッピージャグラーVIII,330,"1,592",6,5,0,1/144.7,1/265.3,1/318.4,1/0.0
ゴーゴージャグラー3,335,"3,026",10,9,0,1/159.3,1/302.6,1/336.2,1/0.0
ゴーゴージャグラー3,336,"4,909",27,22,0,1/100.2,1/181.8,1/223.1,1/0.0
ゴーゴージャグラー3,337,981,9,5,0,1/70.1,1/109.0,1/196.2,1/0.0
ゴーゴージャグラー3,338,"3,153",9,8,0,1/185.5,1/350.3,1/394.1,1/0.0
ハナハナホウオウ～天翔～,424,137,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,56,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,86,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,954,3,1,0,1/238.5,1/318.0,1/954.0,1/0.0
ゴッドイーター リザレクション,371,"3,520",0,9,34,1/81.9,1/0.0,1/391.1,1/103.5
ゴッドイーター リザレクション,372,"1,141",0,2,7,1/126.8,1/0.0,1/570.5,1/163.0
ゴッドイーター リザレクション,373,669,0,1,2,1/223.0,1/0.0,1/669.0,1/334.5
ファンキージャグラー2,339,"2,868",7,7,0,1/204.9,1/409.7,1/409.7,1/0.0
ファンキージャグラー2,340,777,2,0,0,1/388.5,1/388.5,1/0.0,1/0.0
ファンキージャグラー2,341,"2,770",12,4,0,1/173.1,1/230.8,1/692.5,1/0.0
押忍！番長4,374,639,0,0,2,1/319.5,1/0.0,1/0.0,1/319.5
押忍！番長4,375,13,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍！番長4,376,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,398,135,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
