機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,444,"4,706",16,12,1/168.1,1/294.1,1/392.2
マイジャグラーV,445,"2,735",13,8,1/130.2,1/210.4,1/341.9
マイジャグラーV,446,"4,362",22,6,1/155.8,1/198.3,1/727.0
マイジャグラーV,447,482,1,0,1/482.0,1/482.0,1/0.0
マイジャグラーV,448,"6,248",31,16,1/132.9,1/201.5,1/390.5
マイジャグラーV,449,"4,808",20,14,1/141.4,1/240.4,1/343.4
マイジャグラーV,450,"1,541",4,3,1/220.1,1/385.2,1/513.7
マイジャグラーV,451,"3,335",13,6,1/175.5,1/256.5,1/555.8
マイジャグラーV,452,"6,400",21,19,1/160.0,1/304.8,1/336.8
マイジャグラーV,453,"2,739",7,8,1/182.6,1/391.3,1/342.4
マイジャグラーV,454,"1,610",2,2,1/402.5,1/805.0,1/805.0
マイジャグラーV,455,"4,770",25,13,1/125.5,1/190.8,1/366.9
マイジャグラーV,456,"1,730",6,2,1/216.2,1/288.3,1/865.0
マイジャグラーV,465,"1,982",8,4,1/165.2,1/247.8,1/495.5
マイジャグラーV,466,"4,151",13,8,1/197.7,1/319.3,1/518.9
マイジャグラーV,467,"3,393",14,5,1/178.6,1/242.4,1/678.6
マイジャグラーV,468,"1,854",6,6,1/154.5,1/309.0,1/309.0
マイジャグラーV,469,"1,550",8,2,1/155.0,1/193.8,1/775.0
マイジャグラーV,470,"7,189",29,18,1/153.0,1/247.9,1/399.4
マイジャグラーV,471,813,2,1,1/271.0,1/406.5,1/813.0
マイジャグラーV,472,"3,319",10,8,1/184.4,1/331.9,1/414.9
マイジャグラーV,473,"3,027",7,6,1/232.8,1/432.4,1/504.5
マイジャグラーV,474,"1,898",6,3,1/210.9,1/316.3,1/632.7
マイジャグラーV,475,"2,264",5,9,1/161.7,1/452.8,1/251.6
マイジャグラーV,476,944,2,1,1/314.7,1/472.0,1/944.0
マイジャグラーV,477,"6,998",36,15,1/137.2,1/194.4,1/466.5
