機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
アイムジャグラーEX-TP,461,"3,985",16,8,1/166.0,1/249.1,1/498.1
アイムジャグラーEX-TP,462,"3,297",15,8,1/143.3,1/219.8,1/412.1
アイムジャグラーEX-TP,463,689,0,1,1/689.0,1/0.0,1/689.0
アイムジャグラーEX-TP,464,"3,472",11,10,1/165.3,1/315.6,1/347.2
アイムジャグラーEX-TP,478,"2,133",8,3,1/193.9,1/266.6,1/711.0
アイムジャグラーEX-TP,479,"2,065",7,4,1/187.7,1/295.0,1/516.2
アイムジャグラーEX-TP,480,"1,952",9,1,1/195.2,1/216.9,1/1952.0
アイムジャグラーEX-TP,481,"1,243",1,1,1/621.5,1/1243.0,1/1243.0
アイムジャグラーEX-TP,482,659,2,1,1/219.7,1/329.5,1/659.0
アイムジャグラーEX-TP,483,"3,072",11,6,1/180.7,1/279.3,1/512.0
アイムジャグラーEX-TP,484,"4,811",25,9,1/141.5,1/192.4,1/534.6
アイムジャグラーEX-TP,485,"2,414",6,8,1/172.4,1/402.3,1/301.8
アイムジャグラーEX-TP,486,"2,235",9,5,1/159.6,1/248.3,1/447.0
アイムジャグラーEX-TP,487,"1,987",3,3,1/331.2,1/662.3,1/662.3
アイムジャグラーEX-TP,488,"2,068",6,5,1/188.0,1/344.7,1/413.6
アイムジャグラーEX-TP,489,"2,519",6,4,1/251.9,1/419.8,1/629.8
アイムジャグラーEX-TP,500,"3,648",11,9,1/182.4,1/331.6,1/405.3
アイムジャグラーEX-TP,501,"1,585",4,2,1/264.2,1/396.2,1/792.5
アイムジャグラーEX-TP,502,"3,930",14,5,1/206.8,1/280.7,1/786.0
アイムジャグラーEX-TP,503,"1,362",5,2,1/194.6,1/272.4,1/681.0
アイムジャグラーEX-TP,504,"1,365",4,1,1/273.0,1/341.2,1/1365.0
アイムジャグラーEX-TP,505,"1,484",5,2,1/212.0,1/296.8,1/742.0
アイムジャグラーEX-TP,506,"1,877",7,4,1/170.6,1/268.1,1/469.2
アイムジャグラーEX-TP,507,"2,509",11,4,1/167.3,1/228.1,1/627.2
アイムジャグラーEX-TP,508,"3,720",12,6,1/206.7,1/310.0,1/620.0
アイムジャグラーEX-TP,509,"3,068",11,11,1/139.5,1/278.9,1/278.9
アイムジャグラーEX-TP,510,"2,074",7,4,1/188.5,1/296.3,1/518.5
アイムジャグラーEX-TP,511,"3,582",17,6,1/155.7,1/210.7,1/597.0
マイジャグラーV,444,"4,980",15,13,1/177.9,1/332.0,1/383.1
マイジャグラーV,445,"4,807",20,16,1/133.5,1/240.3,1/300.4
マイジャグラーV,446,"4,251",17,10,1/157.4,1/250.1,1/425.1
マイジャグラーV,447,"2,579",9,5,1/184.2,1/286.6,1/515.8
マイジャグラーV,448,"4,194",17,7,1/174.8,1/246.7,1/599.1
マイジャグラーV,449,"2,112",7,5,1/176.0,1/301.7,1/422.4
マイジャグラーV,450,"5,640",25,16,1/137.6,1/225.6,1/352.5
マイジャグラーV,451,"2,509",13,2,1/167.3,1/193.0,1/1254.5
マイジャグラーV,452,"4,661",19,13,1/145.7,1/245.3,1/358.5
マイジャグラーV,453,"4,836",15,11,1/186.0,1/322.4,1/439.6
マイジャグラーV,454,"1,464",6,1,1/209.1,1/244.0,1/1464.0
マイジャグラーV,455,"3,100",9,5,1/221.4,1/344.4,1/620.0
マイジャグラーV,456,"2,007",9,2,1/182.5,1/223.0,1/1003.5
マイジャグラーV,465,"2,343",6,8,1/167.4,1/390.5,1/292.9
マイジャグラーV,466,"4,199",25,9,1/123.5,1/168.0,1/466.6
マイジャグラーV,467,"1,800",3,3,1/300.0,1/600.0,1/600.0
マイジャグラーV,468,"4,954",27,10,1/133.9,1/183.5,1/495.4
マイジャグラーV,469,"3,713",16,12,1/132.6,1/232.1,1/309.4
マイジャグラーV,470,"3,792",13,8,1/180.6,1/291.7,1/474.0
マイジャグラーV,471,"6,099",29,12,1/148.8,1/210.3,1/508.2
マイジャグラーV,472,"2,454",13,3,1/153.4,1/188.8,1/818.0
マイジャグラーV,473,"4,750",19,16,1/135.7,1/250.0,1/296.9
マイジャグラーV,474,"6,129",24,16,1/153.2,1/255.4,1/383.1
マイジャグラーV,475,"1,258",5,2,1/179.7,1/251.6,1/629.0
マイジャグラーV,476,"1,969",5,1,1/328.2,1/393.8,1/1969.0
マイジャグラーV,477,"4,213",22,7,1/145.3,1/191.5,1/601.9
ゴーゴージャグラー3,543,"1,320",8,0,1/165.0,1/165.0,1/0.0
ゴーゴージャグラー3,544,"2,949",12,7,1/155.2,1/245.8,1/421.3
ゴーゴージャグラー3,545,"2,998",15,8,1/130.3,1/199.9,1/374.8
ゴーゴージャグラー3,546,"2,157",7,4,1/196.1,1/308.1,1/539.2
ゴーゴージャグラー3,547,961,1,2,1/320.3,1/961.0,1/480.5
ゴーゴージャグラー3,548,926,3,2,1/185.2,1/308.7,1/463.0
ゴーゴージャグラー3,549,"4,687",20,16,1/130.2,1/234.3,1/292.9
ゴーゴージャグラー3,550,"2,136",7,8,1/142.4,1/305.1,1/267.0
ゴーゴージャグラー3,551,"2,944",15,16,1/95.0,1/196.3,1/184.0
