機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"3,695",22,6,0,1/132.0,1/168.0,1/615.8,1/0.0
スマスロ北斗の拳,343,942,8,3,0,1/85.6,1/117.8,1/314.0,1/0.0
スマスロ北斗の拳,344,"1,157",13,2,0,1/77.1,1/89.0,1/578.5,1/0.0
スマスロ北斗の拳,345,"3,069",49,7,0,1/54.8,1/62.6,1/438.4,1/0.0
スマスロ北斗の拳,346,"1,040",5,2,0,1/148.6,1/208.0,1/520.0,1/0.0
スマスロ北斗の拳,347,"1,177",16,2,0,1/65.4,1/73.6,1/588.5,1/0.0
スマスロ北斗の拳,348,"4,192",19,8,0,1/155.3,1/220.6,1/524.0,1/0.0
スマスロ北斗の拳,349,"1,219",23,1,0,1/50.8,1/53.0,1/1219.0,1/0.0
アイムジャグラーEX-TP,319,"5,145",21,16,0,1/139.1,1/245.0,1/321.6,1/0.0
アイムジャグラーEX-TP,320,"6,357",30,19,0,1/129.7,1/211.9,1/334.6,1/0.0
アイムジャグラーEX-TP,321,"3,740",19,12,0,1/120.6,1/196.8,1/311.7,1/0.0
アイムジャグラーEX-TP,322,"5,221",25,25,0,1/104.4,1/208.8,1/208.8,1/0.0
アイムジャグラーEX-TP,323,"1,293",3,2,0,1/258.6,1/431.0,1/646.5,1/0.0
アイムジャグラーEX-TP,324,"5,746",30,13,0,1/133.6,1/191.5,1/442.0,1/0.0
アイムジャグラーEX-TP,325,"2,601",8,8,0,1/162.6,1/325.1,1/325.1,1/0.0
マイジャグラーV,313,"3,623",15,8,0,1/157.5,1/241.5,1/452.9,1/0.0
マイジャグラーV,314,"6,180",25,10,0,1/176.6,1/247.2,1/618.0,1/0.0
マイジャグラーV,315,"1,489",2,4,0,1/248.2,1/744.5,1/372.2,1/0.0
マイジャグラーV,316,"7,546",24,25,0,1/154.0,1/314.4,1/301.8,1/0.0
マイジャグラーV,317,"4,457",20,8,0,1/159.2,1/222.8,1/557.1,1/0.0
マイジャグラーV,318,"2,774",10,7,0,1/163.2,1/277.4,1/396.3,1/0.0
ハッピージャグラーVIII,326,"4,432",14,12,0,1/170.5,1/316.6,1/369.3,1/0.0
ハッピージャグラーVIII,327,"2,727",11,6,0,1/160.4,1/247.9,1/454.5,1/0.0
ハッピージャグラーVIII,328,"6,690",22,34,0,1/119.5,1/304.1,1/196.8,1/0.0
ハッピージャグラーVIII,329,969,3,2,0,1/193.8,1/323.0,1/484.5,1/0.0
ハッピージャグラーVIII,330,"1,585",4,7,0,1/144.1,1/396.2,1/226.4,1/0.0
ゴーゴージャグラー3,335,"2,498",11,5,0,1/156.1,1/227.1,1/499.6,1/0.0
ゴーゴージャグラー3,336,"3,237",7,9,0,1/202.3,1/462.4,1/359.7,1/0.0
ゴーゴージャグラー3,337,740,2,1,0,1/246.7,1/370.0,1/740.0,1/0.0
ゴーゴージャグラー3,338,"5,430",26,15,0,1/132.4,1/208.8,1/362.0,1/0.0
ハナハナホウオウ～天翔～,424,161,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,933,5,2,0,1/133.3,1/186.6,1/466.5,1/0.0
ハナハナホウオウ～天翔～,426,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,403,1,1,0,1/201.5,1/403.0,1/403.0,1/0.0
ゴッドイーター リザレクション,371,"3,364",0,4,17,1/160.2,1/0.0,1/841.0,1/197.9
ゴッドイーター リザレクション,372,"5,918",0,11,47,1/102.0,1/0.0,1/538.0,1/125.9
ゴッドイーター リザレクション,373,"7,419",0,15,59,1/100.3,1/0.0,1/494.6,1/125.7
ファンキージャグラー2,339,"3,144",10,8,0,1/174.7,1/314.4,1/393.0,1/0.0
ファンキージャグラー2,340,"5,260",22,13,0,1/150.3,1/239.1,1/404.6,1/0.0
