機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,632,3,2,0,1/126.4,1/210.7,1/316.0,1/0.0
スマスロ北斗の拳,343,545,6,1,0,1/77.9,1/90.8,1/545.0,1/0.0
スマスロ北斗の拳,344,"1,014",13,3,0,1/63.4,1/78.0,1/338.0,1/0.0
スマスロ北斗の拳,345,750,2,1,0,1/250.0,1/375.0,1/750.0,1/0.0
スマスロ北斗の拳,346,"1,271",19,2,0,1/60.5,1/66.9,1/635.5,1/0.0
スマスロ北斗の拳,347,"1,725",16,7,0,1/75.0,1/107.8,1/246.4,1/0.0
スマスロ北斗の拳,348,"1,860",21,5,0,1/71.5,1/88.6,1/372.0,1/0.0
スマスロ北斗の拳,349,"2,871",11,5,0,1/179.4,1/261.0,1/574.2,1/0.0
アイムジャグラーEX-TP,319,"1,007",3,0,0,1/335.7,1/335.7,1/0.0,1/0.0
アイムジャグラーEX-TP,320,"3,018",8,5,0,1/232.2,1/377.2,1/603.6,1/0.0
アイムジャグラーEX-TP,321,"3,300",10,9,0,1/173.7,1/330.0,1/366.7,1/0.0
アイムジャグラーEX-TP,322,"3,027",15,3,0,1/168.2,1/201.8,1/1009.0,1/0.0
アイムジャグラーEX-TP,323,"2,252",7,7,0,1/160.9,1/321.7,1/321.7,1/0.0
アイムジャグラーEX-TP,324,"1,840",5,2,0,1/262.9,1/368.0,1/920.0,1/0.0
アイムジャグラーEX-TP,325,"3,707",18,5,0,1/161.2,1/205.9,1/741.4,1/0.0
マイジャグラーV,313,"3,902",2,12,0,1/278.7,1/1951.0,1/325.2,1/0.0
マイジャグラーV,314,"2,913",9,3,0,1/242.8,1/323.7,1/971.0,1/0.0
マイジャグラーV,315,"3,028",16,4,0,1/151.4,1/189.2,1/757.0,1/0.0
マイジャグラーV,316,"1,024",4,1,0,1/204.8,1/256.0,1/1024.0,1/0.0
マイジャグラーV,317,"1,855",10,3,0,1/142.7,1/185.5,1/618.3,1/0.0
マイジャグラーV,318,"4,211",10,11,0,1/200.5,1/421.1,1/382.8,1/0.0
ハッピージャグラーVIII,326,"1,257",6,1,0,1/179.6,1/209.5,1/1257.0,1/0.0
