,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,2025-03-26 00:00:00,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-01-26 00:00:00,2025-01-26 00:00:00,2025-01-26 00:00:00,2025-01-26 00:00:00,2025-01-26 00:00:00,2024-12-26 00:00:00,2024-12-26 00:00:00,2024-12-26 00:00:00,2024-12-26 00:00:00,2024-12-26 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00,2024-11-26 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,3440,-323,0.969,491.4,181.1,890.0,-64.0,0.976,445.0,148.3,0.0,0.0,,,,423.0,8.0,1.006,211.5,141.0,344.0,-215.0,0.792,,344.0,,,,,,1783.0,-52.0,0.99,594.3,198.1
a: アイムジャグラーEX-TP,664,3352,127,1.013,558.7,176.4,2307.0,424.0,1.061,461.4,153.8,329.0,192.0,1.195,,164.5,187.0,-99.0,0.824,187.0,187.0,529.0,-390.0,0.754,,529.0,,,,,,,,,,
a: アイムジャグラーEX-TP,665,1531,52,1.011,510.3,170.1,1256.0,331.0,1.088,628.0,157.0,162.0,-145.0,0.702,162.0,162.0,113.0,-134.0,0.605,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,763,-844,0.631,763.0,763.0,352.0,-343.0,0.675,352.0,352.0,389.0,-448.0,0.616,,,22.0,-53.0,0.197,,,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,12890,-1319,0.966,444.5,174.2,2707.0,-773.0,0.905,451.2,208.2,2559.0,564.0,1.073,284.3,128.0,1371.0,-866.0,0.789,685.5,342.8,2555.0,-52.0,0.993,638.8,170.3,2488.0,0.0,1.0,497.6,165.9,1210.0,-192.0,0.947,403.3,172.9
b: アイムジャグラーEX-TP,857,11715,-1773,0.95,488.1,177.5,2239.0,-273.0,0.959,1119.5,203.5,416.0,-273.0,0.781,,416.0,2774.0,-99.0,0.988,277.4,138.7,4441.0,-965.0,0.928,444.1,177.6,1582.0,-401.0,0.916,791.0,226.0,263.0,238.0,1.302,,131.5
b: アイムジャグラーEX-TP,858,9491,214,1.008,499.5,166.5,3580.0,738.0,1.069,397.8,143.2,449.0,-599.0,0.555,449.0,449.0,301.0,-355.0,0.607,,,3537.0,1291.0,1.122,505.3,136.0,573.0,-599.0,0.652,,,1051.0,-262.0,0.917,525.5,210.2
b: アイムジャグラーEX-TP,859,7981,-2681,0.888,570.1,210.0,1711.0,-919.0,0.821,570.3,285.2,701.0,-494.0,0.765,701.0,350.5,477.0,-262.0,0.817,,477.0,3686.0,-215.0,0.981,368.6,147.4,644.0,-599.0,0.69,,644.0,762.0,-192.0,0.916,,254.0
c: アイムジャグラーEX-TP,866,7333,-1250,0.943,611.1,198.2,940.0,-1058.0,0.625,470.0,470.0,1263.0,-145.0,0.962,631.5,210.5,748.0,-227.0,0.899,748.0,249.3,3776.0,430.0,1.038,539.4,157.3,606.0,-250.0,0.862,,303.0,,,,,
c: アイムジャグラーEX-TP,867,10578,-151,0.995,528.9,165.3,4343.0,-81.0,0.994,482.6,160.9,476.0,-517.0,0.638,,,1202.0,-297.0,0.918,601.0,200.3,4014.0,657.0,1.055,669.0,154.4,543.0,87.0,1.053,181.0,108.6,,,,,
c: アイムジャグラーEX-TP,868,7769,1966,1.084,457.0,143.9,578.0,-587.0,0.661,,,804.0,-110.0,0.954,402.0,201.0,639.0,-506.0,0.736,319.5,319.5,4293.0,3000.0,1.233,429.3,113.0,1455.0,169.0,1.039,485.0,145.5,,,,,
c: アイムジャグラーEX-TP,869,8053,5,1.0,366.0,154.9,1467.0,-622.0,0.859,733.5,244.5,1693.0,802.0,1.158,423.2,120.9,2525.0,122.0,1.016,210.4,126.2,2368.0,-297.0,0.958,592.0,197.3,,,,,,,,,,
c: アイムジャグラーEX-TP,870,6352,-1314,0.931,577.5,192.5,2951.0,-29.0,0.997,368.9,155.3,421.0,-134.0,0.894,421.0,210.5,1633.0,-843.0,0.828,816.5,272.2,1347.0,-308.0,0.924,,224.5,,,,,,,,,,
c: アイムジャグラーEX-TP,871,10304,489,1.016,448.0,156.1,3251.0,390.0,1.04,464.4,147.8,2053.0,-203.0,0.967,410.6,171.1,1738.0,145.0,1.028,347.6,144.8,3262.0,157.0,1.016,543.7,163.1,,,,,,,,,,
c: アイムジャグラーEX-TP,872,7031,-2849,0.865,370.1,195.3,2577.0,-826.0,0.893,368.1,184.1,270.0,-331.0,0.591,,,1417.0,-285.0,0.933,236.2,141.7,2767.0,-1407.0,0.831,461.2,230.6,,,,,,,,,,
c: アイムジャグラーEX-TP,873,8942,-831,0.969,388.8,168.7,5264.0,407.0,1.026,329.0,146.2,206.0,-273.0,0.558,,,1554.0,-424.0,0.909,1554.0,259.0,1918.0,-541.0,0.906,319.7,174.4,,,,,,,,,,
c: アイムジャグラーEX-TP,874,10887,1541,1.047,453.6,149.1,3239.0,262.0,1.027,359.9,147.2,663.0,-483.0,0.757,663.0,331.5,1428.0,-215.0,0.95,476.0,178.5,5557.0,1977.0,1.119,505.2,135.5,,,,,,,,,,
c: アイムジャグラーEX-TP,875,7683,-1017,0.956,365.9,170.7,2982.0,390.0,1.044,331.3,142.0,1235.0,-29.0,0.992,617.5,205.8,1105.0,-273.0,0.918,368.3,157.9,2361.0,-1105.0,0.844,337.3,214.6,,,,,,,,,,
c: アイムジャグラーEX-TP,876,9091,937,1.034,568.2,159.5,1221.0,-238.0,0.935,610.5,174.4,1911.0,-203.0,0.965,1911.0,238.9,1073.0,-273.0,0.915,536.5,178.8,4886.0,1651.0,1.113,444.2,135.7,,,,,,,,,,
c: アイムジャグラーEX-TP,877,4430,-1837,0.862,443.0,211.0,2466.0,-378.0,0.949,411.0,176.1,1117.0,-366.0,0.891,372.3,186.2,381.0,-483.0,0.577,381.0,381.0,466.0,-610.0,0.564,,,,,,,,,,,,
c: アイムジャグラーEX-TP,878,9758,1622,1.055,375.3,141.4,1506.0,64.0,1.014,376.5,150.6,414.0,52.0,1.042,,207.0,2692.0,-41.0,0.995,299.1,149.6,5146.0,1547.0,1.1,395.8,131.9,,,,,,,,,,
c: アイムジャグラーEX-TP,879,7253,1110,1.051,453.3,148.0,2616.0,727.0,1.093,373.7,130.8,1293.0,-99.0,0.974,431.0,161.6,2699.0,1267.0,1.156,449.8,128.5,645.0,-785.0,0.594,,,,,,,,,,,,
c: アイムジャグラーEX-TP,880,14547,1936,1.044,309.5,136.0,2563.0,-878.0,0.886,427.2,213.6,366.0,-203.0,0.815,,366.0,6059.0,3093.0,1.17,318.9,112.2,5559.0,-76.0,0.995,252.7,139.0,,,,,,,,,,
c: アイムジャグラーEX-TP,881,6052,-365,0.98,318.5,151.3,1393.0,-203.0,0.951,232.2,139.3,2091.0,733.0,1.117,261.4,116.2,433.0,-122.0,0.906,433.0,216.5,2135.0,-773.0,0.879,533.8,213.5,,,,,,,,,,
c: アイムジャグラーEX-TP,882,8114,-1889,0.922,624.2,197.9,2448.0,-2023.0,0.725,612.0,349.7,1059.0,-238.0,0.925,1059.0,211.8,2227.0,1221.0,1.183,371.2,111.4,2380.0,-849.0,0.881,1190.0,264.4,,,,,,,,,,
d: マイジャグラーV,789,23376,-871,0.988,389.6,154.8,4757.0,-1360.0,0.905,317.1,164.0,3709.0,297.0,1.027,412.1,148.4,3365.0,756.0,1.075,420.6,134.6,5435.0,-1105.0,0.932,301.9,164.7,2676.0,320.0,1.04,669.0,157.4,3434.0,221.0,1.021,572.3,156.1
d: マイジャグラーV,790,22867,-983,0.986,363.0,154.5,8908.0,291.0,1.011,371.2,148.5,2323.0,-250.0,0.964,580.8,178.7,4001.0,-122.0,0.99,333.4,153.9,4123.0,52.0,1.004,294.5,133.0,3009.0,-692.0,0.923,376.1,188.1,503.0,-262.0,0.826,503.0,251.5
d: マイジャグラーV,791,16204,1343,1.028,395.2,150.0,6865.0,2349.0,1.114,264.0,120.4,1786.0,645.0,1.12,297.7,111.6,881.0,-494.0,0.813,881.0,293.7,3229.0,-99.0,0.99,1076.3,179.4,2614.0,-471.0,0.94,871.3,217.8,829.0,-587.0,0.764,414.5,414.5
d: マイジャグラーV,792,13700,-4314,0.895,428.1,195.7,4826.0,-983.0,0.932,268.1,155.7,769.0,-494.0,0.786,769.0,256.3,1840.0,-1244.0,0.775,460.0,306.7,1743.0,-1012.0,0.806,871.5,290.5,1349.0,-1128.0,0.721,674.5,449.7,3173.0,547.0,1.057,634.6,151.1
d: マイジャグラーV,793,22114,1343,1.02,388.0,149.4,3685.0,-738.0,0.933,614.2,193.9,2076.0,-401.0,0.936,346.0,159.7,1384.0,-1012.0,0.756,1384.0,346.0,6427.0,1221.0,1.063,357.1,136.7,2873.0,64.0,1.007,359.1,151.2,5669.0,2209.0,1.13,314.9,123.2
d: マイジャグラーV,794,8792,-3512,0.867,549.5,231.4,3097.0,-965.0,0.896,619.4,221.2,1069.0,-52.0,0.984,267.2,152.7,1135.0,-1058.0,0.689,1135.0,567.5,1760.0,-599.0,0.887,586.7,220.0,1091.0,-576.0,0.824,1091.0,272.8,640.0,-262.0,0.864,320.0,213.3
