,,7RANK,5RANK,3RANK,1RANK,7ROLLING,5ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE
date,,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00,2025-06-07 00:00:00
model_name,unit_no,,,,,,,,,,,,,
マイジャグラーV,1048,47,32,45,39,2179.0,150.0,1268.0,385,1.034,3826,347.8,141.7,5.83
マイジャグラーV,1049,5,12,6,3,-3671.0,-2045.0,-2627.0,-1524,0.861,3648,405.3,228.0,5.58
マイジャグラーV,1050,14,1,1,1,-1464.0,-6079.0,-4435.0,-2568,0.884,7384,335.6,180.1,6.16
 , ,,,,,,,,,,,,,
マイジャグラーV,1069,6,14,43,49,-3549.0,-1161.0,1050.0,897,1.067,4442,403.8,143.3,5.57
マイジャグラーV,1070,21,31,26,9,-27.0,94.0,-415.0,-1288,0.878,3510,501.4,219.4,5.81
マイジャグラーV,1071,24,18,28,34,290.0,-792.0,-245.0,29,1.001,7834,412.3,156.7,5.83
マイジャグラーV,1072,33,15,20,23,1302.0,-995.0,-997.0,-371,0.983,7335,293.4,149.7,5.76
マイジャグラーV,1073,22,50,38,21,-22.0,1766.0,563.0,-426,0.972,4991,499.1,172.1,5.88
マイジャグラーV,1074,29,36,46,59,935.0,565.0,1324.0,1950,1.084,7774,250.8,125.4,5.47
マイジャグラーV,1075,44,13,10,27,1871.0,-1568.0,-2224.0,-256,0.986,6219,478.4,172.8,5.63
マイジャグラーV,1076,40,39,48,7,1630.0,851.0,1665.0,-1335,0.854,3054,1527.0,277.6,5.96
マイジャグラーV,1077,20,49,24,46,-137.0,1678.0,-560.0,782,1.041,6355,373.8,151.3,5.43
マイジャグラーV,1078,59,60,57,14,4886.0,4689.0,3868.0,-935,0.931,4528,283.0,156.1,6.08
マイジャグラーV,1079,58,52,51,48,4345.0,1921.0,2209.0,874,1.057,5082,298.9,133.7,5.67
マイジャグラーV,1080,35,20,34,38,1451.0,-643.0,183.0,303,1.019,5393,359.5,154.1,5.51
