,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,
f: マイジャグラーV,1042,13949,694,1.017,273.5,136.8,5195,-653,0.958,399.6,167.6,8754,1347,1.051,230.4,123.3
f: マイジャグラーV,1043,5321,-1103,0.931,380.1,177.4,4859,-794,0.946,373.8,173.5,462,-309,0.777,462.0,231.0
f: マイジャグラーV,1044,9043,-342,0.987,291.7,145.9,3759,-21,0.998,341.7,150.4,5284,-321,0.98,264.2,142.8
f: マイジャグラーV,1045,9677,229,1.008,345.6,151.2,6938,-56,0.997,330.4,150.8,2739,285,1.035,391.3,152.2
f: マイジャグラーV,1046,7752,-1706,0.927,387.6,180.3,4029,-768,0.936,366.3,175.2,3723,-938,0.916,413.7,186.2
f: マイジャグラーV,1047,6080,53,1.003,289.5,144.8,3687,32,1.003,368.7,153.6,2393,21,1.003,217.5,132.9
f: マイジャグラーV,1048,9631,-706,0.976,370.4,163.2,5661,335,1.02,377.4,153.0,3970,-1041,0.913,360.9,180.5
f: マイジャグラーV,1049,9007,83,1.003,474.1,160.8,5762,665,1.038,443.2,147.7,3245,-582,0.94,540.8,190.9
f: マイジャグラーV,1050,10519,-2327,0.926,375.7,178.3,5304,-2568,0.839,331.5,204.0,5215,241,1.015,434.6,158.0
g: ファンキージャグラー2,1051,5781,-1826,0.895,578.1,214.1,4600,-935,0.932,575.0,200.0,1181,-891,0.749,590.5,295.2
g: ファンキージャグラー2,1052,3740,-926,0.917,340.0,178.1,2612,-794,0.899,326.5,186.6,1128,-132,0.961,376.0,161.1
g: ファンキージャグラー2,1053,8909,4206,1.157,307.2,114.2,2764,500,1.06,552.8,153.6,6145,3706,1.201,256.0,102.4
g: ファンキージャグラー2,1054,6970,-753,0.964,633.6,188.4,5541,-38,0.998,615.7,173.2,1429,-715,0.833,714.5,285.8
g: ファンキージャグラー2,1055,5499,1765,1.107,687.4,141.0,1940,-256,0.956,1940.0,215.6,3559,2021,1.189,508.4,118.6
h: ファンキージャグラー2,1056,4681,-805,0.943,780.2,195.0,3588,-426,0.96,897.0,188.8,1093,-379,0.884,546.5,218.6
h: ファンキージャグラー2,1057,4029,-1405,0.884,1007.2,268.6,2568,-726,0.906,856.0,233.5,1461,-679,0.845,1461.0,365.2
h: ファンキージャグラー2,1058,8439,1333,1.053,444.2,145.5,6686,1418,1.071,417.9,139.3,1753,-85,0.984,584.3,175.3
h: ファンキージャグラー2,1059,9425,-1070,0.962,377.0,165.4,2576,-826,0.893,644.0,214.7,6849,-244,0.988,326.1,152.2
h: ファンキージャグラー2,1060,3338,-1253,0.875,556.3,222.5,2810,-774,0.908,562.0,200.7,528,-479,0.698,528.0,528.0
i: ファンキージャグラー2,1061,5515,-1815,0.89,393.9,197.0,2956,-1041,0.883,591.2,227.4,2559,-774,0.899,284.3,170.6
i: ファンキージャグラー2,1062,3560,-170,0.984,323.6,148.3,722,-491,0.773,361.0,240.7,2838,321,1.038,315.3,135.1
i: ファンキージャグラー2,1063,6493,-1247,0.936,341.7,162.3,2760,-926,0.888,394.3,184.0,3733,-321,0.971,311.1,149.3
i: ファンキージャグラー2,1064,6640,-1538,0.923,368.9,170.3,1804,-1112,0.795,601.3,300.7,4836,-426,0.971,322.4,146.5
j: ファンキージャグラー2,1065,7913,-1200,0.949,344.0,158.3,6626,-644,0.968,331.3,154.1,1287,-556,0.856,429.0,183.9
j: ファンキージャグラー2,1066,6035,53,1.003,431.1,154.7,1397,-238,0.943,,232.8,4638,291,1.021,331.3,140.5
j: ファンキージャグラー2,1067,6571,-2385,0.879,345.8,193.3,2875,-1982,0.77,319.4,261.4,3696,-403,0.964,369.6,160.7
k: マイジャグラーV,1069,9301,-1633,0.941,422.8,178.9,5787,-1665,0.904,361.7,186.7,3514,32,1.003,585.7,167.3
k: マイジャグラーV,1070,4690,-2120,0.849,426.4,223.3,2648,-1241,0.844,441.3,220.7,2042,-879,0.857,408.4,226.9
k: マイジャグラーV,1071,10420,423,1.014,289.4,144.7,3899,-1206,0.897,324.9,195.0,6521,1629,1.083,271.7,125.4
k: マイジャグラーV,1072,13754,762,1.018,361.9,151.1,5681,309,1.018,516.5,162.3,8073,453,1.019,299.0,144.2
k: マイジャグラーV,1073,9061,-1435,0.947,348.5,174.2,7821,-826,0.965,312.8,162.9,1240,-609,0.836,1240.0,310.0
k: マイジャグラーV,1074,6196,-595,0.968,688.4,193.6,3351,-474,0.953,558.5,197.1,2845,-121,0.986,948.3,189.7
k: マイジャグラーV,1075,5597,-2565,0.847,621.9,243.3,2264,-1265,0.814,754.7,283.0,3333,-1300,0.87,555.5,222.2
k: マイジャグラーV,1076,12032,-142,0.996,343.8,150.4,7423,-1324,0.941,309.3,161.4,4609,1182,1.085,419.0,135.6
k: マイジャグラーV,1077,7773,-1088,0.953,485.8,172.7,4640,-226,0.984,662.9,171.9,3133,-862,0.908,348.1,174.1
k: マイジャグラーV,1078,11487,650,1.019,348.1,143.6,6487,315,1.016,324.4,141.0,5000,335,1.022,384.6,147.1
k: マイジャグラーV,1079,16274,3521,1.072,353.8,130.2,8169,1950,1.08,355.2,127.6,8105,1571,1.065,352.4,132.9
k: マイジャグラーV,1080,8865,-326,0.988,316.6,155.5,7670,218,1.009,306.8,147.5,1195,-544,0.848,398.3,239.0
k: マイジャグラーV,1081,8757,468,1.018,380.7,148.4,6438,1147,1.059,357.7,131.4,2319,-679,0.902,463.8,231.9
k: マイジャグラーV,1082,8243,962,1.039,374.7,139.7,2377,-1288,0.819,396.2,237.7,5866,2250,1.128,366.6,119.7
