,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-03-09 00:00:00,2025-03-09 00:00:00,2025-03-09 00:00:00,2025-03-09 00:00:00,2025-03-09 00:00:00,2025-02-09 00:00:00,2025-02-09 00:00:00,2025-02-09 00:00:00,2025-02-09 00:00:00,2025-02-09 00:00:00,2024-12-09 00:00:00,2024-12-09 00:00:00,2024-12-09 00:00:00,2024-12-09 00:00:00,2024-12-09 00:00:00,2024-11-09 00:00:00,2024-11-09 00:00:00,2024-11-09 00:00:00,2024-11-09 00:00:00,2024-11-09 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,5054,-1119,0.926,1010.8,202.2,0.0,0.0,,,,4987.0,-1058.0,0.929,997.4,199.5,67.0,-61.0,0.697,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,524,151,1.096,524.0,131.0,0.0,0.0,,,,223.0,308.0,1.46,223.0,74.3,301.0,-157.0,0.826,,301.0,,,,,,,,,,
a: アイムジャグラーEX-TP,665,615,-232,0.874,,307.5,0.0,0.0,,,,118.0,-180.0,0.492,,,497.0,-52.0,0.965,,248.5,,,,,,,,,,
a: アイムジャグラーEX-TP,666,2689,-500,0.938,384.1,179.3,0.0,0.0,,,,1725.0,-483.0,0.907,345.0,191.7,964.0,-17.0,0.994,482.0,160.7,,,,,,,,,,
b: アイムジャグラーEX-TP,856,9607,-595,0.979,343.1,155.0,3046.0,-459.0,0.95,304.6,160.3,2350.0,-1314.0,0.814,391.7,235.0,3471.0,1686.0,1.162,347.1,115.7,140.0,-95.0,0.774,140.0,140.0,600.0,-413.0,0.771,600.0,300.0
b: アイムジャグラーEX-TP,857,9140,268,1.01,338.5,147.4,223.0,-297.0,0.556,,,4917.0,1198.0,1.081,289.2,126.1,2683.0,-250.0,0.969,298.1,149.1,267.0,-110.0,0.863,,267.0,1050.0,-273.0,0.913,1050.0,262.5
b: アイムジャグラーEX-TP,858,5865,-1868,0.894,488.8,209.5,374.0,-320.0,0.715,374.0,374.0,2077.0,-169.0,0.973,692.3,188.8,1041.0,-448.0,0.857,1041.0,260.2,1191.0,-134.0,0.962,397.0,170.1,1182.0,-797.0,0.775,295.5,236.4
b: アイムジャグラーEX-TP,859,9196,-396,0.986,574.8,176.8,178.0,-192.0,0.64,,,3952.0,587.0,1.05,564.6,158.1,1299.0,-436.0,0.888,433.0,216.5,514.0,-227.0,0.853,514.0,257.0,3253.0,-128.0,0.987,650.6,171.2
c: アイムジャグラーEX-TP,866,9156,878,1.032,398.1,150.1,1211.0,-203.0,0.944,605.5,201.8,4578.0,1221.0,1.089,457.8,138.7,3052.0,238.0,1.026,277.5,138.7,315.0,-378.0,0.6,,,,,,,
c: アイムジャグラーEX-TP,867,6371,-175,0.991,424.7,163.4,856.0,-76.0,0.97,,214.0,2023.0,-157.0,0.974,505.8,168.6,3025.0,122.0,1.013,275.0,144.0,467.0,-64.0,0.954,,233.5,,,,,
c: アイムジャグラーEX-TP,868,10010,-778,0.974,435.2,164.1,1362.0,-110.0,0.973,227.0,136.2,6111.0,-110.0,0.994,381.9,152.8,2110.0,-355.0,0.944,2110.0,211.0,427.0,-203.0,0.842,,427.0,,,,,
c: アイムジャグラーEX-TP,869,6124,-1593,0.913,680.4,211.2,1958.0,-366.0,0.938,652.7,195.8,3460.0,-942.0,0.909,692.0,216.2,706.0,-285.0,0.865,706.0,235.3,,,,,,,,,,
c: アイムジャグラーEX-TP,870,13128,2448,1.062,354.8,135.3,3376.0,1547.0,1.153,375.1,120.6,3039.0,99.0,1.011,759.8,168.8,6713.0,802.0,1.04,279.7,131.6,,,,,,,,,,
c: アイムジャグラーEX-TP,871,8065,-1779,0.926,474.4,187.6,2522.0,157.0,1.021,504.4,168.1,3425.0,-1733.0,0.831,489.3,228.3,2118.0,-203.0,0.968,423.6,162.9,,,,,,,,,,
c: アイムジャグラーEX-TP,872,5395,-332,0.979,359.7,154.1,130.0,-134.0,0.656,,,4275.0,157.0,1.012,305.4,137.9,990.0,-355.0,0.88,990.0,247.5,,,,,,,,,,
c: アイムジャグラーEX-TP,873,11591,1320,1.038,340.9,139.7,3662.0,448.0,1.041,332.9,135.6,3830.0,552.0,1.048,319.2,136.8,4099.0,320.0,1.026,372.6,146.4,,,,,,,,,,
c: アイムジャグラーEX-TP,874,3553,-913,0.914,355.3,177.6,802.0,-157.0,0.935,267.3,160.4,897.0,-773.0,0.713,897.0,448.5,1854.0,17.0,1.003,309.0,142.6,,,,,,,,,,
c: アイムジャグラーEX-TP,875,3334,-459,0.954,1111.3,208.4,639.0,-401.0,0.791,639.0,319.5,1347.0,-308.0,0.924,,224.5,1348.0,250.0,1.062,674.0,168.5,,,,,,,,,,
c: アイムジャグラーEX-TP,876,6003,12,1.001,545.7,166.8,2725.0,477.0,1.058,389.3,143.4,1895.0,-29.0,0.995,947.5,189.5,1383.0,-436.0,0.895,691.5,197.6,,,,,,,,,,
c: アイムジャグラーEX-TP,877,11626,2454,1.07,352.3,130.6,212.0,-250.0,0.607,,,3419.0,-436.0,0.957,488.4,171.0,7995.0,3140.0,1.131,307.5,115.9,,,,,,,,,,
c: アイムジャグラーEX-TP,878,5221,-837,0.947,401.6,174.0,1451.0,122.0,1.028,483.7,161.2,1505.0,-343.0,0.924,215.0,150.5,2265.0,-616.0,0.909,755.0,205.9,,,,,,,,,,
c: アイムジャグラーEX-TP,879,7015,-459,0.978,334.0,155.9,470.0,-238.0,0.831,,470.0,4358.0,134.0,1.01,256.4,136.2,2187.0,-355.0,0.946,546.8,182.2,,,,,,,,,,
c: アイムジャグラーEX-TP,880,7237,-483,0.978,452.3,168.3,1719.0,17.0,1.003,573.0,171.9,3247.0,-552.0,0.943,360.8,170.9,2271.0,52.0,1.008,567.8,162.2,,,,,,,,,,
c: アイムジャグラーEX-TP,881,7226,226,1.01,451.6,157.1,1959.0,424.0,1.072,489.8,139.9,4073.0,-285.0,0.977,452.6,169.7,1194.0,87.0,1.024,398.0,149.2,,,,,,,,,,
c: アイムジャグラーEX-TP,882,6002,645,1.036,428.7,146.4,1405.0,192.0,1.046,351.2,140.5,3052.0,215.0,1.023,508.7,152.6,1545.0,238.0,1.051,386.2,140.5,,,,,,,,,,
d: マイジャグラーV,789,30490,3891,1.043,324.4,138.0,4933.0,0.0,1.0,493.3,159.1,8669.0,3140.0,1.121,289.0,120.4,5210.0,285.0,1.018,260.5,133.6,5683.0,576.0,1.034,315.7,138.6,5995.0,-110.0,0.994,374.7,157.8
d: マイジャグラーV,790,24224,4232,1.058,346.1,136.9,3740.0,-750.0,0.933,415.6,187.0,5864.0,1081.0,1.061,308.6,133.3,6275.0,1698.0,1.09,330.3,128.1,4548.0,1337.0,1.098,568.5,137.8,3797.0,866.0,1.076,253.1,122.5
d: マイジャグラーV,791,12297,1651,1.045,455.4,151.8,2229.0,-64.0,0.99,557.2,171.5,2749.0,715.0,1.087,305.4,125.0,2457.0,1430.0,1.194,409.5,117.0,1125.0,29.0,1.009,562.5,187.5,3737.0,-459.0,0.959,622.8,196.7
d: マイジャグラーV,792,14820,465,1.01,478.1,156.0,638.0,-343.0,0.821,,319.0,3868.0,-390.0,0.966,552.6,175.8,1183.0,-762.0,0.785,1183.0,295.8,4552.0,576.0,1.042,284.5,133.9,4579.0,1384.0,1.101,654.1,138.8
d: マイジャグラーV,793,13349,4454,1.111,404.5,128.4,1614.0,-645.0,0.867,1614.0,322.8,2082.0,-738.0,0.882,416.4,208.2,7765.0,6372.0,1.274,310.6,97.1,247.0,-355.0,0.521,,,1641.0,-180.0,0.963,820.5,182.3
d: マイジャグラーV,794,21940,1117,1.017,398.9,147.2,2937.0,262.0,1.03,587.4,154.6,5832.0,221.0,1.013,416.6,153.5,2468.0,297.0,1.04,411.3,145.2,4184.0,-366.0,0.971,380.4,160.9,6519.0,703.0,1.036,343.1,133.0
d: マイジャグラーV,795,24925,540,1.007,351.1,152.0,7821.0,895.0,1.038,252.3,130.4,8815.0,244.0,1.009,367.3,157.4,1752.0,-262.0,0.95,584.0,194.7,1031.0,-215.0,0.93,,257.8,5506.0,-122.0,0.993,423.5,157.3
d: マイジャグラーV,796,8023,477,1.02,422.3,151.4,2740.0,2442.0,1.297,274.0,94.5,1852.0,-331.0,0.94,370.4,168.4,1179.0,-355.0,0.9,1179.0,235.8,860.0,-343.0,0.867,430.0,215.0,1392.0,-936.0,0.776,1392.0,348.0
d: マイジャグラーV,797,17448,-564,0.989,371.2,154.4,2289.0,297.0,1.043,457.8,152.6,3378.0,-413.0,0.959,563.0,187.7,5743.0,1035.0,1.06,319.1,133.6,4124.0,-1128.0,0.909,274.9,158.6,1914.0,-355.0,0.938,638.0,174.0
d: マイジャグラーV,798,14779,-3087,0.93,314.4,164.2,1806.0,122.0,1.023,451.5,150.5,4070.0,-1267.0,0.896,370.0,185.0,2822.0,-99.0,0.988,352.8,156.8,2449.0,-785.0,0.893,222.6,144.1,3632.0,-1058.0,0.903,279.4,173.0
d: マイジャグラーV,799,14182,-1843,0.957,393.9,163.0,1811.0,-936.0,0.828,603.7,258.7,4686.0,-203.0,0.986,426.0,151.2,2849.0,-1012.0,0.882,284.9,178.1,3146.0,1267.0,1.134,449.4,125.8,1690.0,-959.0,0.811,338.0,211.2
d: マイジャグラーV,800,16760,-2490,0.95,356.6,164.3,3626.0,-1012.0,0.907,329.6,181.3,4990.0,-76.0,0.995,356.4,151.2,1689.0,-576.0,0.886,844.5,241.3,3237.0,-262.0,0.973,359.7,154.1,3218.0,-564.0,0.942,292.5,153.2
d: マイジャグラーV,801,11808,-889,0.975,369.0,164.0,1076.0,-610.0,0.811,358.7,215.2,4135.0,727.0,1.059,344.6,137.8,4152.0,145.0,1.012,346.0,153.8,1123.0,-750.0,0.777,224.6,224.6,1322.0,-401.0,0.899,,264.4
d: マイジャグラーV,802,13545,-162,0.996,423.3,161.2,2063.0,-459.0,0.926,687.7,187.5,1782.0,-436.0,0.918,891.0,254.6,5948.0,1779.0,1.1,258.6,119.0,2307.0,-238.0,0.966,769.0,192.2,1445.0,-808.0,0.814,1445.0,361.2
