model_name,unit_no,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total
ハッピージャグラーVIII,1145,-697,-856,-1359,-1535,2479,676,1124,-1171,1700,-1688,-926,-1818,403,-232,-194,597,-453,-891,-915,488,21,-1006,418,350,338,3259,56,15,1371,-446
ハッピージャグラーVIII,1146,571,-18,-1300,-332,2921,9,-444,1076,-691,394,-779,9,-1359,326,-621,-938,641,1438,-956,124,665,-638,-591,1418,-374,2126,806,-479,-326,2678
ハッピージャグラーVIII,1147,238,-509,-1535,-150,2091,-21,-615,838,2268,-950,-726,982,168,-1124,-268,-1065,-797,-603,-574,-950,-1300,-226,3926,982,-44,-362,1771,1053,-268,2230
ハッピージャグラーVIII,1148,-1218,-591,-615,1771,912,1297,874,-715,1547,-538,-568,-826,-1806,-721,3212,-179,-968,-532,-26,1041,138,-432,544,-29,-76,350,979,-715,-88,2022
ハッピージャグラーVIII,1149,-1112,-1065,-1265,-762,2718,-626,-179,-903,-809,215,-1335,-371,1085,232,-568,-250,-1453,485,-562,821,41,3,21,-1135,-53,-559,-244,-526,650,-7506
ハッピージャグラーVIII,1150,-582,-1394,-1782,2038,1065,-526,-974,712,-1229,-856,865,-938,391,409,-300,-821,-1950,-1429,-18,-315,-174,997,50,418,209,374,971,-509,-665,-5963
Total,,-2800,-4433,-7856,1030,12186,809,-214,-163,2786,-3423,-3469,-2962,-1118,-1110,1261,-2656,-4980,-1532,-3051,1209,-609,-1302,4368,2004,0,5188,4339,-1161,674,-6985
