,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,331,23906,2564,1.036,419.4,148.5,6438.0,1099.0,1.057,495.2,153.3,2970.0,659.0,1.074,371.2,135.0,6714.0,768.0,1.038,394.9,146.0,2948.0,-149.0,0.983,421.1,163.8,4836.0,187.0,1.013,403.0,146.5
a: アイムジャグラーEX-TP,332,22342,-156,0.998,310.3,145.1,6600.0,-125.0,0.994,287.0,146.7,443.0,-503.0,0.622,443.0,443.0,8447.0,814.0,1.032,281.6,132.0,1378.0,-752.0,0.818,689.0,275.6,5474.0,410.0,1.025,342.1,140.4
b: アイムジャグラーEX-TP,380,15018,-1584,0.965,326.5,158.1,5719.0,-497.0,0.971,260.0,139.5,706.0,-599.0,0.717,,706.0,2553.0,-662.0,0.914,364.7,196.4,3509.0,1029.0,1.098,350.9,130.0,2531.0,-855.0,0.887,361.6,194.7
b: アイムジャグラーEX-TP,381,23367,-1588,0.977,376.9,160.0,4284.0,387.0,1.03,428.4,153.0,5195.0,-1070.0,0.931,346.3,173.2,5308.0,-825.0,0.948,408.3,165.9,4274.0,49.0,1.004,427.4,152.6,4306.0,-129.0,0.99,307.6,153.8
b: アイムジャグラーEX-TP,382,14446,-3485,0.92,555.6,197.9,5436.0,-1661.0,0.898,1087.2,236.3,846.0,-123.0,0.952,282.0,141.0,3501.0,-733.0,0.93,389.0,184.3,2233.0,-262.0,0.961,744.3,186.1,2430.0,-706.0,0.903,405.0,186.9
b: アイムジャグラーEX-TP,383,20813,-2634,0.958,424.8,170.6,5292.0,-1742.0,0.89,378.0,189.0,5148.0,433.0,1.028,396.0,151.4,4052.0,-306.0,0.975,368.4,162.1,4010.0,-25.0,0.998,501.2,160.4,2311.0,-994.0,0.857,770.3,231.1
b: アイムジャグラーEX-TP,384,17377,-4636,0.911,469.6,197.5,5253.0,-1052.0,0.933,477.5,187.6,968.0,257.0,1.088,968.0,161.3,2921.0,-936.0,0.893,730.2,224.7,4025.0,-2596.0,0.785,365.9,251.6,4210.0,-309.0,0.976,421.0,168.4
b: アイムジャグラーEX-TP,385,19209,-3653,0.937,492.5,186.5,4452.0,283.0,1.021,636.0,159.0,2607.0,-1928.0,0.753,372.4,289.7,5984.0,-749.0,0.958,544.0,187.0,2627.0,-843.0,0.893,875.7,218.9,3539.0,-416.0,0.961,321.7,160.9
