,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h: ハッピージャグラーVIII,853,3477,-1763,8,6,0.831,579.5,248.4,1328.0,-680.0,3.0,3.0,0.829,442.7,221.3,537.0,-552.0,0.0,0.0,0.657,,,215.0,-72.0,1.0,0.0,0.888,,215.0,1397.0,-459.0,4.0,3.0,0.89,465.7,199.6
h: ハッピージャグラーVIII,854,11576,401,45,31,1.012,373.4,152.3,3277.0,634.0,14.0,8.0,1.064,409.6,149.0,6086.0,35.0,24.0,16.0,1.002,380.4,152.2,1285.0,-355.0,4.0,3.0,0.908,428.3,183.6,928.0,87.0,3.0,4.0,1.031,232.0,132.6
h: ハッピージャグラーVIII,855,8010,-1687,27,18,0.93,445.0,178.0,1171.0,52.0,6.0,0.0,1.015,,195.2,468.0,-599.0,0.0,0.0,0.573,,,1026.0,-669.0,2.0,2.0,0.783,513.0,256.5,5345.0,-471.0,19.0,16.0,0.971,334.1,152.7
i: ゴーゴージャグラー3,809,7709,-2628,22,17,0.886,453.5,197.7,1306.0,-471.0,4.0,1.0,0.88,1306.0,261.2,2099.0,-750.0,6.0,5.0,0.881,419.8,190.8,2812.0,-424.0,9.0,10.0,0.95,281.2,148.0,1492.0,-983.0,3.0,1.0,0.78,1492.0,373.0
i: ゴーゴージャグラー3,810,8558,163,37,19,1.006,450.4,152.8,2997.0,0.0,12.0,6.0,1.0,499.5,166.5,2848.0,477.0,15.0,7.0,1.056,406.9,129.5,1188.0,-29.0,6.0,2.0,0.992,594.0,148.5,1525.0,-285.0,4.0,4.0,0.938,381.2,190.6
i: ゴーゴージャグラー3,811,10004,2377,44,33,1.079,303.2,129.9,2552.0,-750.0,7.0,9.0,0.902,283.6,159.5,1076.0,-192.0,3.0,3.0,0.941,358.7,179.3,874.0,552.0,6.0,0.0,1.211,,145.7,5502.0,2767.0,28.0,21.0,1.168,262.0,112.3
i: ゴーゴージャグラー3,812,11110,971,44,37,1.029,300.3,137.2,3250.0,-494.0,11.0,10.0,0.949,325.0,154.8,617.0,-436.0,1.0,2.0,0.764,308.5,205.7,1521.0,424.0,5.0,7.0,1.093,217.3,126.8,5722.0,1477.0,27.0,18.0,1.086,317.9,127.2
i: ゴーゴージャグラー3,813,6241,-918,24,15,0.951,416.1,160.0,1034.0,-262.0,4.0,1.0,0.916,1034.0,206.8,3186.0,355.0,16.0,8.0,1.037,398.2,132.8,185.0,-203.0,0.0,0.0,0.634,,,1836.0,-808.0,4.0,6.0,0.853,306.0,183.6
i: ゴーゴージャグラー3,814,5201,-803,21,8,0.949,650.1,179.3,1252.0,-355.0,6.0,1.0,0.905,1252.0,178.9,424.0,-273.0,1.0,0.0,0.785,,424.0,559.0,52.0,3.0,1.0,1.031,559.0,139.8,2966.0,-227.0,11.0,6.0,0.974,494.3,174.5
i: ゴーゴージャグラー3,815,8791,2071,45,27,1.079,325.6,122.1,4415.0,843.0,21.0,15.0,1.064,294.3,122.6,3070.0,1837.0,20.0,10.0,1.199,307.0,102.3,75.0,-92.0,0.0,0.0,0.591,,,1231.0,-517.0,4.0,2.0,0.86,615.5,205.2
i: ゴーゴージャグラー3,827,13848,2209,65,42,1.053,329.7,129.4,5762.0,1105.0,26.0,19.0,1.064,303.3,128.0,1090.0,-564.0,3.0,1.0,0.828,1090.0,272.5,985.0,773.0,8.0,1.0,1.262,985.0,109.4,6011.0,895.0,28.0,21.0,1.05,286.2,122.7
i: ゴーゴージャグラー3,828,10379,-838,38,27,0.973,384.4,159.7,2733.0,-983.0,6.0,9.0,0.88,303.7,182.2,1331.0,-41.0,5.0,3.0,0.99,443.7,166.4,2340.0,-1058.0,5.0,6.0,0.849,390.0,212.7,3975.0,1244.0,22.0,9.0,1.104,441.7,128.2
i: ゴーゴージャグラー3,829,10788,1482,44,43,1.046,250.9,124.0,7679.0,2860.0,35.0,40.0,1.124,192.0,102.4,711.0,-541.0,1.0,1.0,0.746,711.0,355.5,894.0,-599.0,2.0,1.0,0.777,894.0,298.0,1504.0,-238.0,6.0,1.0,0.947,1504.0,214.9
i: ゴーゴージャグラー3,830,8942,-3204,22,30,0.881,298.1,172.0,3665.0,-727.0,11.0,11.0,0.934,333.2,166.6,3455.0,-1314.0,8.0,13.0,0.873,265.8,164.5,403.0,-250.0,0.0,2.0,0.793,201.5,201.5,1419.0,-913.0,3.0,4.0,0.786,354.8,202.7
i: ゴーゴージャグラー3,831,18460,3907,80,81,1.071,227.9,114.7,6623.0,1523.0,26.0,32.0,1.077,207.0,114.2,1369.0,-180.0,6.0,4.0,0.956,342.2,136.9,5227.0,2349.0,28.0,25.0,1.15,209.1,98.6,5241.0,215.0,20.0,20.0,1.014,262.0,131.0
i: ゴーゴージャグラー3,832,12603,447,49,47,1.012,268.1,131.3,6292.0,169.0,22.0,26.0,1.009,242.0,131.1,5075.0,895.0,23.0,20.0,1.059,253.8,118.0,231.0,145.0,2.0,0.0,1.209,,115.5,1005.0,-762.0,2.0,1.0,0.747,1005.0,335.0
i: ゴーゴージャグラー3,833,3975,-557,15,6,0.953,662.5,189.3,605.0,-331.0,1.0,1.0,0.818,605.0,302.5,799.0,-180.0,3.0,1.0,0.925,799.0,199.8,158.0,-238.0,0.0,0.0,0.498,,,2413.0,192.0,11.0,4.0,1.027,603.2,160.9
i: ゴーゴージャグラー3,834,11067,-1797,41,25,0.946,442.7,167.7,2324.0,-1291.0,6.0,2.0,0.815,1162.0,290.5,3217.0,-180.0,11.0,12.0,0.981,268.1,139.9,344.0,273.0,3.0,0.0,1.265,,114.7,5182.0,-599.0,21.0,11.0,0.961,471.1,161.9
i: ゴーゴージャグラー3,835,9978,-3369,28,29,0.887,344.1,175.1,4452.0,-2442.0,8.0,14.0,0.817,318.0,202.4,682.0,-192.0,3.0,0.0,0.906,,227.3,56.0,-78.0,0.0,0.0,0.536,,,4788.0,-657.0,17.0,15.0,0.954,319.2,149.6
i: ゴーゴージャグラー3,836,9543,-338,39,27,0.988,353.4,144.6,1399.0,-390.0,4.0,4.0,0.907,349.8,174.9,2560.0,-390.0,9.0,8.0,0.949,320.0,150.6,1897.0,901.0,12.0,5.0,1.158,379.4,111.6,3687.0,-459.0,14.0,10.0,0.959,368.7,153.6
i: ゴーゴージャグラー3,837,12335,-1960,39,39,0.947,316.3,158.1,3671.0,-1640.0,7.0,12.0,0.851,305.9,193.2,2345.0,715.0,12.0,8.0,1.102,293.1,117.2,1750.0,-64.0,6.0,6.0,0.988,291.7,145.8,4569.0,-971.0,14.0,13.0,0.929,351.5,169.2
i: ゴーゴージャグラー3,838,6871,-1385,24,12,0.933,572.6,190.9,2355.0,-169.0,8.0,6.0,0.976,392.5,168.2,1845.0,895.0,12.0,1.0,1.162,1845.0,141.9,872.0,-355.0,2.0,4.0,0.864,218.0,145.3,1799.0,-1756.0,2.0,1.0,0.675,1799.0,599.7
i: ゴーゴージャグラー3,839,10663,2482,47,41,1.078,260.1,121.2,3380.0,238.0,14.0,9.0,1.023,375.6,147.0,5124.0,3279.0,28.0,28.0,1.213,183.0,91.5,1462.0,-308.0,5.0,3.0,0.93,487.3,182.8,697.0,-727.0,0.0,1.0,0.652,697.0,697.0
i: ゴーゴージャグラー3,840,6011,-205,22,16,0.989,375.7,158.2,983.0,-541.0,2.0,2.0,0.817,491.5,245.8,1090.0,145.0,5.0,3.0,1.044,363.3,136.2,101.0,-169.0,0.0,0.0,0.442,,,3837.0,360.0,15.0,11.0,1.031,348.8,147.6
i: ゴーゴージャグラー3,841,13926,-954,50,46,0.977,302.7,145.1,7196.0,157.0,28.0,26.0,1.007,276.8,133.3,4873.0,-169.0,18.0,17.0,0.988,286.6,139.2,626.0,-157.0,2.0,2.0,0.916,313.0,156.5,1231.0,-785.0,2.0,1.0,0.787,1231.0,410.3
i: ゴーゴージャグラー3,842,7525,-41,32,16,0.998,470.3,156.8,916.0,-680.0,1.0,2.0,0.753,458.0,305.3,2377.0,-355.0,8.0,7.0,0.95,339.6,158.5,872.0,-366.0,3.0,1.0,0.86,872.0,218.0,3360.0,1360.0,20.0,6.0,1.135,560.0,129.2
i: ゴーゴージャグラー3,843,7434,-1914,24,19,0.914,391.3,172.9,2857.0,-1105.0,8.0,6.0,0.871,476.2,204.1,1088.0,610.0,8.0,0.0,1.187,,136.0,1664.0,-506.0,5.0,6.0,0.899,277.3,151.3,1825.0,-913.0,3.0,7.0,0.833,260.7,182.5
i: ゴーゴージャグラー3,844,4474,-803,15,13,0.94,344.2,159.8,1096.0,-599.0,2.0,2.0,0.818,548.0,274.0,2222.0,-29.0,10.0,6.0,0.996,370.3,138.9,832.0,180.0,3.0,5.0,1.072,166.4,104.0,324.0,-355.0,0.0,0.0,0.635,,
i: ゴーゴージャグラー3,845,12694,960,50,43,1.025,295.2,136.5,5248.0,1663.0,26.0,19.0,1.106,276.2,116.6,994.0,-320.0,3.0,2.0,0.893,497.0,198.8,911.0,-273.0,3.0,3.0,0.9,303.7,151.8,5541.0,-110.0,18.0,19.0,0.993,291.6,149.8
i: ゴーゴージャグラー3,846,6066,-2947,9,22,0.838,275.7,195.7,1846.0,-808.0,4.0,6.0,0.854,307.7,184.6,650.0,-657.0,0.0,1.0,0.663,650.0,650.0,468.0,-424.0,0.0,1.0,0.698,468.0,468.0,3102.0,-1058.0,5.0,14.0,0.886,221.6,163.3
i: ゴーゴージャグラー3,847,11027,-616,38,41,0.981,269.0,139.6,5285.0,-471.0,18.0,20.0,0.97,264.2,139.1,3642.0,-52.0,13.0,14.0,0.995,260.1,134.9,1492.0,227.0,6.0,6.0,1.051,248.7,124.3,608.0,-320.0,1.0,1.0,0.825,608.0,304.0
i: ゴーゴージャグラー3,848,13517,1738,66,30,1.043,450.6,140.8,3805.0,1930.0,22.0,15.0,1.169,253.7,102.8,713.0,-285.0,2.0,0.0,0.867,,356.5,4691.0,-1337.0,18.0,5.0,0.905,938.2,204.0,4308.0,1430.0,24.0,10.0,1.111,430.8,126.7
total,,976342,-42139,3624,2671,0.986,365.5,155.1,341169.0,-10022.0,1258.0,984.0,0.99,346.7,152.2,241081.0,-7175.0,909.0,660.0,0.99,365.3,153.7,157562.0,-8980.0,574.0,435.0,0.981,362.2,156.2,236530.0,-15962.0,883.0,592.0,0.978,399.5,160.4
