,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-03-08 00:00:00,2025-03-08 00:00:00,2025-03-08 00:00:00,2025-03-08 00:00:00,2025-03-08 00:00:00,2025-02-08 00:00:00,2025-02-08 00:00:00,2025-02-08 00:00:00,2025-02-08 00:00:00,2025-02-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,2024-12-08 00:00:00,2024-12-08 00:00:00,2024-12-08 00:00:00,2024-12-08 00:00:00,2024-12-08 00:00:00,2024-11-08 00:00:00,2024-11-08 00:00:00,2024-11-08 00:00:00,2024-11-08 00:00:00,2024-11-08 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,6233,-1686,0.91,566.6,207.8,208.0,29.0,1.046,,208.0,1871.0,-669.0,0.881,374.2,187.1,2471.0,-529.0,0.929,494.2,190.1,1683.0,-517.0,0.898,1683.0,280.5,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,5420,448,1.028,258.1,129.0,722.0,-343.0,0.842,722.0,240.7,280.0,-122.0,0.855,,280.0,3947.0,1221.0,1.103,219.3,109.6,471.0,-308.0,0.782,235.5,235.5,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,665,2970,-519,0.942,495.0,185.6,170.0,-29.0,0.943,,170.0,2001.0,-145.0,0.976,400.2,166.8,527.0,-83.0,0.948,,263.5,272.0,-262.0,0.679,272.0,272.0,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,6449,1251,1.065,258.0,124.0,1504.0,-401.0,0.911,376.0,167.1,682.0,-273.0,0.867,,341.0,3549.0,1977.0,1.186,197.2,98.6,714.0,-52.0,0.976,238.0,142.8,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,25200,-977,0.987,387.7,159.5,4994.0,-215.0,0.986,454.0,172.2,2967.0,110.0,1.012,593.4,174.5,2396.0,-529.0,0.926,399.3,184.3,2964.0,273.0,1.031,494.0,156.0,2934.0,-645.0,0.927,366.8,163.0,1934.0,-680.0,0.883,386.8,214.9,7011.0,709.0,1.034,292.1,132.3
b: アイムジャグラーEX-TP,857,19554,23,1.0,558.7,167.1,1129.0,-983.0,0.71,1129.0,376.3,3342.0,-337.0,0.966,557.0,175.9,2831.0,-413.0,0.951,471.8,176.9,4430.0,895.0,1.067,553.8,147.7,466.0,-52.0,0.963,,233.0,4655.0,756.0,1.054,775.8,160.5,2701.0,157.0,1.019,337.6,150.1
b: アイムジャグラーEX-TP,858,23240,2284,1.033,393.9,147.1,5341.0,733.0,1.046,333.8,136.9,2985.0,680.0,1.076,426.4,142.1,4279.0,-483.0,0.962,389.0,164.6,2102.0,459.0,1.073,525.5,150.1,5122.0,1360.0,1.089,301.3,124.9,2532.0,134.0,1.018,844.0,168.8,879.0,-599.0,0.773,879.0,439.5
b: アイムジャグラーEX-TP,859,20079,99,1.002,446.2,161.9,2143.0,-331.0,0.949,535.8,178.6,2868.0,686.0,1.08,956.0,159.3,1786.0,-831.0,0.845,255.1,198.4,5373.0,227.0,1.014,383.8,153.5,2278.0,709.0,1.104,379.7,126.6,4764.0,-169.0,0.988,476.4,170.1,867.0,-192.0,0.926,867.0,216.8
c: アイムジャグラーEX-TP,866,18459,-3169,0.943,341.8,170.9,1817.0,-657.0,0.879,302.8,201.9,1289.0,-355.0,0.908,1289.0,257.8,2206.0,-1128.0,0.83,551.5,245.1,5598.0,-762.0,0.955,243.4,143.5,1756.0,-308.0,0.942,,250.9,5793.0,41.0,1.002,289.6,148.5,,,,,
c: アイムジャグラーEX-TP,867,22675,-3768,0.945,359.9,165.5,1762.0,-610.0,0.885,881.0,220.2,3647.0,-878.0,0.92,405.2,182.4,3895.0,-506.0,0.957,432.8,162.3,3022.0,-1105.0,0.878,377.8,188.9,3086.0,-797.0,0.914,308.6,181.5,7263.0,128.0,1.006,290.5,139.7,,,,,
