,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,330,22860,-3582,83,46,0.948,497.0,177.2,4770.0,-500.0,16.0,14.0,0.965,340.7,159.0,3634.0,-320.0,12.0,11.0,0.971,330.4,158.0,2916.0,-1191.0,8.0,4.0,0.864,729.0,243.0,2583.0,-1788.0,5.0,4.0,0.769,645.8,287.0,3222.0,-68.0,14.0,4.0,0.993,805.5,179.0,5735.0,285.0,28.0,9.0,1.017,637.2,155.0
その他,331,18004,-2687,56,48,0.95,375.1,173.1,3026.0,-941.0,7.0,10.0,0.896,302.6,178.0,3318.0,-248.0,11.0,10.0,0.975,331.8,158.0,804.0,-393.0,2.0,1.0,0.837,804.0,268.0,3724.0,-657.0,9.0,10.0,0.941,372.4,196.0,6426.0,-57.0,25.0,17.0,0.997,378.0,153.0,706.0,-391.0,2.0,0.0,0.815,,353.0
その他,332,12886,-606,48,34,0.984,379.0,157.1,726.0,-309.0,2.0,1.0,0.858,726.0,242.0,768.0,-549.0,2.0,1.0,0.762,768.0,256.0,2184.0,-28.0,8.0,6.0,0.996,364.0,156.0,1288.0,-810.0,2.0,2.0,0.79,644.0,322.0,6552.0,1614.0,30.0,22.0,1.082,297.8,126.0,1368.0,-524.0,4.0,2.0,0.872,684.0,228.0
その他,333,16155,-3713,52,34,0.923,475.1,187.8,4379.0,-401.0,17.0,12.0,0.969,364.9,151.0,2352.0,-381.0,9.0,3.0,0.946,784.0,196.0,2230.0,-341.0,7.0,3.0,0.949,743.3,223.0,2820.0,-981.0,8.0,7.0,0.884,402.9,188.0,2561.0,-512.0,8.0,5.0,0.933,512.2,197.0,1813.0,-1097.0,3.0,4.0,0.798,453.2,259.0
その他,334,18189,-3926,56,47,0.928,387.0,176.6,6031.0,-1104.0,19.0,18.0,0.939,335.1,163.0,758.0,-459.0,2.0,0.0,0.798,,379.0,2448.0,126.0,10.0,6.0,1.017,408.0,153.0,2067.0,245.0,10.0,3.0,1.04,689.0,159.0,5640.0,-1846.0,14.0,16.0,0.891,352.5,188.0,1245.0,-888.0,1.0,4.0,0.762,311.2,249.0
その他,335,28059,-3334,89,82,0.96,342.2,164.1,4800.0,-564.0,15.0,15.0,0.961,320.0,160.0,4768.0,-303.0,15.0,17.0,0.979,280.5,149.0,3969.0,-935.0,10.0,11.0,0.921,360.8,189.0,5576.0,-610.0,17.0,17.0,0.964,328.0,164.0,3042.0,-422.0,10.0,8.0,0.954,380.2,169.0,5904.0,-500.0,22.0,14.0,0.972,421.7,164.0
その他,336,23949,-4077,82,54,0.943,443.5,176.1,4347.0,-1823.0,9.0,12.0,0.86,362.2,207.0,2790.0,-558.0,10.0,5.0,0.933,558.0,186.0,6072.0,1806.0,31.0,15.0,1.099,404.8,132.0,5280.0,-1238.0,18.0,12.0,0.922,440.0,176.0,3080.0,-1643.0,8.0,2.0,0.822,1540.0,308.0,2380.0,-621.0,6.0,8.0,0.913,297.5,170.0
その他,337,28737,-1220,104,90,0.986,319.3,148.1,4212.0,-784.0,15.0,11.0,0.938,382.9,162.0,4316.0,-1099.0,13.0,13.0,0.915,332.0,166.0,4340.0,364.0,18.0,13.0,1.028,333.8,140.0,3675.0,135.0,16.0,5.0,1.012,735.0,175.0,5474.0,-1539.0,15.0,19.0,0.906,288.1,161.0,6720.0,1703.0,27.0,29.0,1.084,231.7,120.0
