,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00
unit_no,,,,,,,,,,,,,,,,,,,,,
330,11619,-126,45,29,0.996,400.7,157.0,8151,786,33,24,1.032,339.6,143.0,3468,-912,12,5,0.912,693.6,204.0
331,10890,-1397,41,24,0.957,453.8,167.5,5220,-877,19,11,0.944,474.5,174.0,5670,-520,22,13,0.969,436.2,162.0
332,9276,-731,28,34,0.974,272.8,149.6,7728,241,26,30,1.01,257.6,138.0,1548,-972,2,4,0.791,387.0,258.0
333,15799,973,58,54,1.021,292.6,141.1,7546,-310,23,26,0.986,290.2,154.0,8253,1283,35,28,1.052,294.8,131.0
334,10399,745,42,34,1.024,305.9,136.8,7480,749,31,24,1.033,311.7,136.0,2919,-4,11,10,1.0,291.9,139.0
335,14524,3819,71,41,1.088,354.2,129.7,7506,1058,32,22,1.047,341.2,139.0,7018,2761,39,19,1.131,369.4,121.0
336,13578,-493,50,32,0.988,424.3,165.6,8268,90,32,20,1.004,413.4,159.0,5310,-583,18,12,0.963,442.5,177.0
337,8651,-929,34,17,0.964,508.9,169.6,5440,-161,24,8,0.99,680.0,170.0,3211,-768,10,9,0.92,356.8,169.0
338,14089,-2263,44,36,0.946,391.4,176.1,5676,-654,19,14,0.962,405.4,172.0,8413,-1609,25,22,0.936,382.4,179.0
339,12255,-868,44,36,0.976,340.4,153.2,7755,300,30,25,1.013,310.2,141.0,4500,-1168,14,11,0.913,409.1,180.0
340,7708,-1119,31,12,0.952,642.3,179.3,3660,-732,13,7,0.933,522.9,183.0,4048,-387,18,5,0.968,809.6,176.0
341,7722,-1628,28,13,0.93,594.0,188.3,3480,-477,13,7,0.954,497.1,174.0,4242,-1151,15,6,0.91,707.0,202.0
342,11802,285,45,37,1.008,319.0,143.9,8122,1168,35,27,1.048,300.8,131.0,3680,-883,10,10,0.92,368.0,184.0
343,10479,91,42,27,1.003,388.1,151.9,5425,-874,20,11,0.946,493.2,175.0,5054,965,22,16,1.064,315.9,133.0
344,10907,717,45,28,1.022,389.5,149.4,5895,1145,24,21,1.065,280.7,131.0,5012,-428,21,7,0.972,716.0,179.0
345,10652,1748,43,43,1.055,247.7,123.9,7844,3055,37,37,1.13,212.0,106.0,2808,-1307,6,6,0.845,468.0,234.0
346,4791,-1520,14,10,0.894,479.1,199.6,3230,-1104,9,8,0.886,403.8,190.0,1561,-416,5,2,0.911,780.5,223.0
347,15102,3601,72,54,1.079,279.7,119.9,7350,-312,29,21,0.986,350.0,147.0,7752,3913,43,33,1.168,234.9,102.0
348,7378,-50,27,19,0.998,388.3,160.4,4290,743,19,11,1.058,390.0,143.0,3088,-793,8,8,0.914,386.0,193.0
349,8960,-792,33,23,0.971,389.6,160.0,3948,399,18,10,1.034,394.8,141.0,5012,-1191,15,13,0.921,385.5,179.0
350,8576,-1929,29,19,0.925,451.4,178.7,5096,-1626,16,12,0.894,424.7,182.0,3480,-303,13,7,0.971,497.1,174.0
351,14459,-888,55,33,0.98,438.2,164.3,7595,-194,30,19,0.991,399.7,155.0,6864,-694,25,14,0.966,490.3,176.0
352,10385,-3003,30,24,0.904,432.7,192.3,6475,-677,24,13,0.965,498.1,175.0,3910,-2326,6,11,0.802,355.5,230.0
353,13125,-2665,39,36,0.932,364.6,175.0,5575,-2465,14,11,0.853,506.8,223.0,7550,-200,25,25,0.991,302.0,151.0
354,12194,-1756,44,26,0.952,469.0,174.2,6516,-1104,24,12,0.944,543.0,181.0,5678,-652,20,14,0.962,405.6,167.0
355,13084,2034,56,43,1.052,304.3,132.2,7772,2812,39,28,1.121,277.6,116.0,5312,-778,17,15,0.951,354.1,166.0
356,8008,-1543,25,22,0.936,364.0,170.4,3822,-700,12,9,0.939,424.7,182.0,4186,-843,13,13,0.933,322.0,161.0
357,10113,-226,40,23,0.993,439.7,160.5,6721,571,30,17,1.028,395.4,143.0,3392,-797,10,6,0.922,565.3,212.0
358,10640,-2458,33,27,0.923,394.1,177.3,5882,-1752,15,19,0.901,309.6,173.0,4758,-706,18,8,0.951,594.8,183.0
359,13574,-2158,42,37,0.947,366.9,171.8,6336,-1586,19,13,0.917,487.4,198.0,7238,-572,23,24,0.974,301.6,154.0
390,16109,-522,57,47,0.989,342.7,154.9,7200,901,33,12,1.042,600.0,160.0,8909,-1423,24,35,0.947,254.5,151.0
