,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2025-01-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,28047,-4119,94,73,0.951,384.2,167.9,5013,-768,16,17,0.949,294.9,151.9,3165,-391,11,7,0.959,452.1,175.8,1781,-15,8,1,0.997,1781.0,197.9,3676,-1335,9,11,0.879,334.2,183.8,2100,-1324,3,4,0.79,525.0,300.0,5358,76,21,12,1.005,446.5,162.4,6954,-362,26,21,0.983,331.1,148.0
a: ゴーゴージャグラー3,1002,32615,2262,134,88,1.023,370.6,146.9,2270,-209,8,7,0.969,324.3,151.3,5216,-1006,15,17,0.936,306.8,163.0,9391,2321,45,28,1.082,335.4,128.6,3393,450,17,4,1.044,848.2,161.6,5544,1535,26,17,1.092,326.1,128.9,3329,-432,11,7,0.957,475.6,184.9,3472,-397,12,8,0.962,434.0,173.6
a: ゴーゴージャグラー3,1003,43885,3069,184,132,1.023,332.5,138.9,8640,-88,30,36,0.997,240.0,130.9,3427,268,17,6,1.026,571.2,149.0,7636,900,33,22,1.039,347.1,138.8,6043,253,26,14,1.014,431.6,151.1,1776,-632,6,3,0.881,592.0,197.3,7335,171,30,19,1.008,386.1,149.7,9028,2197,42,32,1.081,282.1,122.0
a: ゴーゴージャグラー3,1004,32198,-16,117,100,1.0,322.0,148.4,1857,232,9,5,1.042,371.4,132.6,7154,491,29,24,1.023,298.1,135.0,4800,-462,15,14,0.968,342.9,165.5,2990,-185,11,9,0.979,332.2,149.5,5278,-374,18,15,0.976,351.9,159.9,2232,-1053,4,5,0.843,446.4,248.0,7887,1335,31,28,1.056,281.7,133.7
a: ゴーゴージャグラー3,1005,32151,4665,138,96,1.048,334.9,137.4,4248,-332,15,13,0.974,326.8,151.7,1210,-568,4,1,0.844,1210.0,242.0,5050,468,20,16,1.031,315.6,140.3,3251,1112,17,7,1.114,464.4,135.5,8192,2656,39,28,1.108,292.6,122.3,8782,2144,39,30,1.081,292.7,127.3,1418,-815,4,1,0.808,1418.0,283.6
a: ゴーゴージャグラー3,1006,19483,-2919,66,45,0.95,433.0,175.5,1874,-821,4,6,0.854,312.3,187.4,4334,-88,17,13,0.993,333.4,144.5,923,-868,1,1,0.687,923.0,461.5,4174,-638,13,12,0.949,347.8,167.0,891,26,4,2,1.01,445.5,148.5,3387,91,14,4,1.009,846.8,188.2,3900,-621,13,7,0.947,557.1,195.0
a: ゴーゴージャグラー3,1007,29700,14,110,95,1.0,312.6,144.9,6343,979,27,25,1.051,253.7,122.0,4093,-2126,7,14,0.827,292.4,194.9,6381,2744,34,19,1.143,335.8,120.4,812,-897,0,1,0.632,812.0,812.0,1325,-768,3,1,0.807,1325.0,331.2,7970,1347,33,29,1.056,274.8,128.5,2776,-1265,6,6,0.848,462.7,231.3
a: ゴーゴージャグラー3,1008,31482,3644,126,96,1.039,327.9,141.8,2052,-491,8,4,0.92,513.0,171.0,1362,-174,5,3,0.957,454.0,170.2,1249,-379,3,2,0.899,624.5,249.8,7547,1629,30,29,1.072,260.2,127.9,5953,-1276,17,14,0.929,425.2,192.0,5605,144,23,13,1.009,431.2,155.7,7714,4191,40,31,1.181,248.8,108.6
