,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d: マイジャグラーV,789,21951,-594,0.991,277.9,142.5,7259.0,2395.0,1.11,207.4,110.0,2831.0,-1919.0,0.774,314.6,235.9,1728.0,-448.0,0.914,432.0,192.0,5242.0,483.0,1.031,349.5,141.7,4891.0,-1105.0,0.925,305.7,163.0
d: マイジャグラーV,790,21809,878,1.013,325.5,141.6,4597.0,320.0,1.023,229.8,124.2,5076.0,-773.0,0.949,507.6,181.3,4219.0,663.0,1.052,301.4,127.8,7177.0,1465.0,1.068,326.2,130.5,740.0,-797.0,0.641,740.0,740.0
d: マイジャグラーV,791,9270,-1517,0.945,356.5,171.7,1347.0,-238.0,0.941,224.5,149.7,740.0,-587.0,0.736,,740.0,1001.0,-436.0,0.855,333.7,200.2,4008.0,-227.0,0.981,364.4,154.2,2174.0,-29.0,0.996,362.3,167.2
d: マイジャグラーV,792,12839,-1598,0.959,513.6,175.9,2199.0,-145.0,0.978,733.0,183.2,4598.0,-308.0,0.978,510.9,164.2,3551.0,733.0,1.069,355.1,131.5,1204.0,-750.0,0.792,1204.0,401.3,1287.0,-1128.0,0.708,643.5,429.0
d: マイジャグラーV,793,11963,-64,0.998,412.5,159.5,3706.0,785.0,1.071,370.6,137.3,1366.0,-331.0,0.919,341.5,195.1,1754.0,343.0,1.065,584.7,159.5,3209.0,-355.0,0.963,401.1,160.4,1928.0,-506.0,0.913,482.0,192.8
d: マイジャグラーV,794,8300,-1215,0.951,436.8,169.4,337.0,-273.0,0.73,337.0,337.0,1520.0,41.0,1.009,506.7,152.0,1028.0,-576.0,0.813,514.0,257.0,2634.0,-657.0,0.917,376.3,175.6,2781.0,250.0,1.03,463.5,146.4
d: マイジャグラーV,795,14609,-1006,0.977,417.4,162.3,945.0,-320.0,0.887,945.0,236.2,5122.0,820.0,1.053,426.8,142.3,597.0,-785.0,0.562,,,3470.0,-808.0,0.922,433.8,182.6,4475.0,87.0,1.006,319.6,144.4
d: マイジャグラーV,796,11255,-1307,0.961,363.1,165.5,2562.0,-331.0,0.957,256.2,142.3,1643.0,-413.0,0.916,410.8,182.6,1675.0,-52.0,0.99,837.5,186.1,2922.0,-610.0,0.93,324.7,182.6,2453.0,99.0,1.013,408.8,153.3
d: マイジャグラーV,797,12982,-1424,0.963,360.6,166.4,2769.0,192.0,1.023,276.9,138.4,3886.0,-448.0,0.962,388.6,169.0,2771.0,-517.0,0.938,307.9,163.0,2830.0,-610.0,0.928,471.7,202.1,726.0,-41.0,0.981,726.0,181.5
d: マイジャグラーV,798,9675,87,1.003,276.4,142.3,1704.0,192.0,1.038,568.0,170.4,802.0,-297.0,0.877,,401.0,428.0,-180.0,0.86,428.0,214.0,3318.0,424.0,1.043,221.2,122.9,3423.0,-52.0,0.995,213.9,126.8
d: マイジャグラーV,799,15018,1906,1.042,405.9,145.8,4422.0,2116.0,1.16,491.3,126.3,2945.0,1221.0,1.138,420.7,122.7,1590.0,-529.0,0.889,530.0,198.8,4955.0,-919.0,0.938,291.5,165.2,1106.0,17.0,1.005,1106.0,184.3
d: マイジャグラーV,800,9807,610,1.021,377.2,146.4,1121.0,-576.0,0.829,373.7,224.2,2742.0,1779.0,1.216,342.8,109.7,1386.0,0.0,1.0,198.0,126.0,1659.0,-378.0,0.924,1659.0,207.4,2899.0,-215.0,0.975,414.1,161.1
d: マイジャグラーV,801,14775,-3348,0.924,509.5,194.4,2153.0,-134.0,0.979,717.7,179.4,6437.0,-965.0,0.95,357.6,165.1,813.0,-901.0,0.631,,,3849.0,-610.0,0.947,549.9,183.3,1523.0,-738.0,0.838,1523.0,380.8
d: マイジャグラーV,802,5329,-3116,0.805,484.5,280.5,648.0,-436.0,0.776,324.0,216.0,1007.0,-529.0,0.825,1007.0,335.7,432.0,-541.0,0.583,,,2405.0,-1430.0,0.802,400.8,267.2,837.0,-180.0,0.928,418.5,209.2
d: マイジャグラーV,803,16060,-1408,0.971,446.1,167.3,1955.0,-262.0,0.955,391.0,162.9,4762.0,-855.0,0.94,529.1,183.2,5679.0,-477.0,0.972,405.6,167.0,2163.0,215.0,1.033,360.5,144.2,1501.0,-29.0,0.994,750.5,166.8
d: マイジャグラーV,804,12732,-310,0.992,670.1,169.8,2444.0,-64.0,0.991,611.0,162.9,1116.0,-797.0,0.762,,558.0,2520.0,610.0,1.081,1260.0,148.2,4448.0,610.0,1.046,556.0,153.4,2204.0,-669.0,0.899,440.8,183.7
d: マイジャグラーV,805,15604,-2175,0.954,306.0,156.0,5444.0,-215.0,0.987,236.7,136.1,1233.0,-599.0,0.838,308.2,205.5,1241.0,-413.0,0.889,413.7,206.8,4188.0,-151.0,0.988,523.5,167.5,3498.0,-797.0,0.924,269.1,152.1
d: マイジャグラーV,806,13121,-2261,0.943,504.7,184.8,2412.0,1384.0,1.191,482.4,120.6,6956.0,-1942.0,0.907,463.7,198.7,1837.0,-366.0,0.934,367.4,167.0,1326.0,-913.0,0.77,,442.0,590.0,-424.0,0.76,590.0,295.0
d: マイジャグラーV,807,10176,134,1.004,407.0,159.0,1206.0,-424.0,0.883,301.5,172.3,630.0,-576.0,0.695,,630.0,1321.0,390.0,1.098,440.3,132.1,3308.0,494.0,1.05,413.5,150.4,3711.0,250.0,1.022,371.1,154.6
d: マイジャグラーV,808,16308,-4127,0.916,453.0,194.1,2287.0,-238.0,0.965,457.4,175.9,4394.0,-2023.0,0.847,488.2,244.1,1318.0,-773.0,0.805,1318.0,329.5,2707.0,-1500.0,0.815,386.7,246.1,5602.0,407.0,1.024,400.1,147.4
e: ファンキージャグラー2,819,9404,395,1.014,447.8,156.7,121.0,-145.0,0.601,,,3027.0,-250.0,0.972,1009.0,201.8,1293.0,52.0,1.013,323.2,143.7,4759.0,988.0,1.069,339.9,132.2,204.0,-250.0,0.592,,
e: ファンキージャグラー2,820,4687,-913,0.935,585.9,187.5,175.0,-192.0,0.634,,,553.0,-262.0,0.842,,276.5,231.0,-250.0,0.639,,,3516.0,64.0,1.006,439.5,152.9,212.0,-273.0,0.571,,
e: ファンキージャグラー2,821,4666,-203,0.985,583.2,179.5,840.0,169.0,1.067,420.0,140.0,804.0,29.0,1.012,804.0,160.8,150.0,-203.0,0.549,,,2407.0,29.0,1.004,481.4,171.9,465.0,-227.0,0.837,,465.0
e: ファンキージャグラー2,822,6200,-424,0.977,620.0,177.1,370.0,-285.0,0.743,,370.0,1158.0,-401.0,0.885,579.0,231.6,1314.0,29.0,1.007,1314.0,187.7,1436.0,169.0,1.039,718.0,159.6,1922.0,64.0,1.011,384.4,147.8
e: ファンキージャグラー2,823,4653,-621,0.956,664.7,179.0,1031.0,320.0,1.103,,147.3,857.0,52.0,1.02,428.5,142.8,584.0,-424.0,0.758,584.0,292.0,815.0,-459.0,0.812,815.0,271.7,1366.0,-110.0,0.973,455.3,170.8
e: ファンキージャグラー2,824,2164,-1483,0.772,1082.0,360.7,222.0,-227.0,0.659,,,747.0,-564.0,0.748,373.5,249.0,441.0,-297.0,0.776,,441.0,451.0,-238.0,0.824,,451.0,303.0,-157.0,0.827,,303.0
e: ファンキージャグラー2,825,6626,250,1.013,602.4,161.6,203.0,-273.0,0.552,,,508.0,29.0,1.019,,169.3,1198.0,-180.0,0.95,399.3,171.1,3861.0,215.0,1.019,482.6,154.4,856.0,459.0,1.179,,142.7
e: ファンキージャグラー2,826,5803,-1621,0.907,644.8,207.2,1597.0,-436.0,0.909,399.2,199.6,1497.0,401.0,1.089,1497.0,149.7,474.0,-517.0,0.636,474.0,474.0,978.0,-738.0,0.748,,489.0,1257.0,-331.0,0.912,419.0,179.6
f: ウルトラミラクルジャグラー,860,14364,52,1.001,552.5,169.0,197.0,-250.0,0.577,,,5302.0,-76.0,0.995,482.0,160.7,1530.0,-471.0,0.897,510.0,218.6,7335.0,849.0,1.039,611.2,163.0,,,,,
f: ウルトラミラクルジャグラー,861,8094,-3006,0.876,674.5,238.1,1438.0,-401.0,0.907,1438.0,239.7,523.0,-122.0,0.922,,261.5,930.0,-134.0,0.952,465.0,186.0,5203.0,-2349.0,0.85,578.1,247.8,,,,,
f: ウルトラミラクルジャグラー,862,13805,977,1.024,373.1,145.3,1372.0,390.0,1.095,457.3,137.2,1740.0,-471.0,0.91,435.0,193.3,4908.0,203.0,1.014,306.8,136.3,5785.0,855.0,1.049,413.2,144.6,,,,,
f: ウルトラミラクルジャグラー,863,13854,1134,1.027,446.9,157.4,842.0,-308.0,0.878,,280.7,4353.0,523.0,1.04,362.8,145.1,4434.0,2163.0,1.163,369.5,116.7,4225.0,-1244.0,0.902,603.6,248.5,,,,,
f: ウルトラミラクルジャグラー,864,8694,-3088,0.882,579.6,222.9,3228.0,41.0,1.004,403.5,153.7,759.0,-297.0,0.87,759.0,253.0,644.0,-297.0,0.846,322.0,214.7,4063.0,-2535.0,0.792,1015.8,338.6,,,,,
f: ウルトラミラクルジャグラー,865,17767,-1447,0.973,370.1,161.5,4601.0,-436.0,0.968,328.6,158.7,2072.0,-273.0,0.956,345.3,172.7,3561.0,-331.0,0.969,395.7,169.6,7533.0,-407.0,0.982,396.5,156.9,,,,,
g: ジャグラーガールズ,816,13722,-535,0.987,370.9,159.6,356.0,-87.0,0.919,356.0,178.0,646.0,-285.0,0.853,323.0,215.3,5798.0,-331.0,0.981,579.8,175.7,6374.0,244.0,1.013,277.1,141.6,548.0,-76.0,0.954,548.0,182.7
g: ジャグラーガールズ,817,2248,-958,0.858,749.3,249.8,384.0,-145.0,0.874,384.0,192.0,407.0,-145.0,0.881,407.0,203.5,599.0,64.0,1.036,,199.7,717.0,-552.0,0.743,717.0,358.5,141.0,-180.0,0.574,,
g: ジャグラーガールズ,818,13880,650,1.016,375.1,152.5,1868.0,-483.0,0.914,622.7,207.6,409.0,-215.0,0.825,,409.0,2101.0,459.0,1.073,350.2,131.3,2877.0,-448.0,0.948,479.5,205.5,6625.0,1337.0,1.067,301.1,129.9
h: ハッピージャグラーVIII,849,5076,-1662,0.891,507.6,211.5,425.0,-285.0,0.776,,425.0,1010.0,-17.0,0.994,1010.0,202.0,882.0,0.0,1.0,441.0,147.0,1796.0,-610.0,0.887,449.0,224.5,963.0,-750.0,0.74,321.0,240.8
h: ハッピージャグラーVIII,850,4439,-1530,0.885,403.5,201.8,401.0,-448.0,0.628,401.0,401.0,736.0,-134.0,0.939,736.0,184.0,345.0,-238.0,0.77,345.0,345.0,2629.0,-576.0,0.927,328.6,175.3,328.0,-134.0,0.864,,328.0
h: ハッピージャグラーVIII,851,6506,-261,0.987,433.7,162.6,1032.0,-238.0,0.923,344.0,172.0,646.0,-285.0,0.853,646.0,323.0,575.0,297.0,1.172,,143.8,444.0,-355.0,0.733,,,3809.0,320.0,1.028,346.3,136.0
h: ハッピージャグラーVIII,852,6539,-127,0.994,467.1,159.5,279.0,-366.0,0.563,,,1648.0,-238.0,0.952,549.3,183.1,102.0,-134.0,0.562,,,226.0,-238.0,0.649,,,4284.0,849.0,1.066,389.5,133.9
h: ハッピージャグラーVIII,853,5609,-1896,0.887,350.6,180.9,216.0,-157.0,0.758,216.0,216.0,213.0,-180.0,0.718,,,437.0,-320.0,0.756,,437.0,3931.0,-1384.0,0.883,262.1,163.8,812.0,145.0,1.06,,162.4
