,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,355,8263,0,31,18,1.0,459.1,168.6,4832,0,16,13,1.0,371.7,166.6,1262,0,4,2,1.0,631.0,210.3,2169,0,11,3,1.0,723.0,154.9
その他,356,4849,0,11,12,1.0,404.1,210.8,2231,0,8,9,1.0,247.9,131.2,1080,0,0,1,1.0,1080.0,1080.0,1538,0,3,2,1.0,769.0,307.6
その他,357,10098,0,41,36,1.0,280.5,131.1,5995,0,26,24,1.0,249.8,119.9,544,0,3,0,1.0,,181.3,3559,0,12,12,1.0,296.6,148.3
その他,358,6893,0,31,24,1.0,287.2,125.3,590,0,3,0,1.0,,196.7,5552,0,27,21,1.0,264.4,115.7,751,0,1,3,1.0,250.3,187.8
その他,359,4595,0,15,11,1.0,417.7,176.7,1284,0,5,3,1.0,428.0,160.5,1329,0,5,4,1.0,332.2,147.7,1982,0,5,4,1.0,495.5,220.2
その他,360,2155,0,7,7,1.0,307.9,153.9,405,0,1,0,1.0,,405.0,936,0,2,3,1.0,312.0,187.2,814,0,4,4,1.0,203.5,101.8
その他,361,4448,0,18,11,1.0,404.4,153.4,1931,0,6,5,1.0,386.2,175.5,1481,0,7,3,1.0,493.7,148.1,1036,0,5,3,1.0,345.3,129.5
その他,362,8229,0,32,23,1.0,357.8,149.6,2190,0,5,10,1.0,219.0,146.0,1824,0,8,2,1.0,912.0,182.4,4215,0,19,11,1.0,383.2,140.5
その他,363,9693,0,37,29,1.0,334.2,146.9,5073,0,15,17,1.0,298.4,158.5,1875,0,7,3,1.0,625.0,187.5,2745,0,15,9,1.0,305.0,114.4
その他,364,3921,0,10,7,1.0,560.1,230.6,818,0,1,0,1.0,,818.0,649,0,3,0,1.0,,216.3,2454,0,6,7,1.0,350.6,188.8
その他,365,6139,0,23,11,1.0,558.1,180.6,2454,0,9,6,1.0,409.0,163.6,2144,0,12,4,1.0,536.0,134.0,1541,0,2,1,1.0,1541.0,513.7
その他,366,8553,0,32,21,1.0,407.3,161.4,1970,0,10,3,1.0,656.7,151.5,4436,0,16,15,1.0,295.7,143.1,2147,0,6,3,1.0,715.7,238.6
total,,331394,0,1190,887,1.0,373.6,159.6,119109,0,442,316,1.0,376.9,157.1,93466,0,338,233,1.0,401.1,163.7,118819,0,410,338,1.0,351.5,158.8
