,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,395,18388,-1867,0.966,448.5,168.7,2259.0,72.0,1.011,564.8,173.8,2738.0,-1151.0,0.86,456.3,210.6,4770.0,-961.0,0.933,433.6,176.7,2717.0,-294.0,0.964,543.4,181.1,5904.0,467.0,1.026,393.6,144.0
b: アイムジャグラーEX-TP,396,19072,-502,0.991,397.3,161.6,3564.0,-1412.0,0.868,594.0,237.6,5147.0,-30.0,0.998,428.9,171.6,6316.0,1458.0,1.077,287.1,126.3,1990.0,-204.0,0.966,331.7,153.1,2055.0,-314.0,0.949,1027.5,205.5
b: アイムジャグラーEX-TP,397,23299,-1715,0.975,408.8,166.4,7689.0,2291.0,1.099,240.3,118.3,3232.0,-1348.0,0.861,1077.3,269.3,3216.0,-1829.0,0.81,643.2,268.0,5899.0,-607.0,0.966,453.8,173.5,3263.0,-222.0,0.977,815.8,191.9
b: アイムジャグラーEX-TP,398,20730,-3954,0.936,314.1,165.8,2772.0,488.0,1.059,462.0,154.0,4057.0,-874.0,0.928,225.4,144.9,4922.0,-1052.0,0.929,289.5,164.1,3067.0,-1116.0,0.879,438.1,204.5,5912.0,-1400.0,0.921,328.4,173.9
c: マイジャグラーV,350,23529,-2865,0.959,500.6,181.0,3816.0,-930.0,0.919,477.0,190.8,5138.0,-378.0,0.975,428.2,171.3,6226.0,-333.0,0.982,691.8,183.1,2372.0,-1214.0,0.829,593.0,215.6,5977.0,-10.0,0.999,426.9,170.8
c: マイジャグラーV,351,21936,2234,1.034,466.7,152.3,5328.0,674.0,1.042,355.2,136.6,6502.0,1717.0,1.088,382.5,135.5,5826.0,428.0,1.024,647.3,161.8,2738.0,329.0,1.04,456.3,161.1,1542.0,-914.0,0.802,,385.5
c: マイジャグラーV,352,25669,894,1.012,383.1,151.0,5336.0,1243.0,1.078,266.8,124.1,4974.0,706.0,1.047,355.3,134.4,5331.0,-639.0,0.96,444.2,172.0,6381.0,984.0,1.051,490.8,148.4,3647.0,-1400.0,0.872,455.9,227.9
c: マイジャグラーV,353,31591,4953,1.052,272.3,131.1,2590.0,59.0,1.008,323.8,143.9,8998.0,1655.0,1.061,243.2,126.7,7930.0,2904.0,1.122,293.7,120.2,5041.0,-694.0,0.954,336.1,168.0,7032.0,1029.0,1.049,242.5,125.6
c: マイジャグラーV,354,23071,368,1.005,299.6,145.1,2220.0,-1133.0,0.83,2220.0,317.1,6120.0,-236.0,0.987,340.0,156.9,7026.0,1261.0,1.06,281.0,130.1,6197.0,1133.0,1.061,193.7,114.8,1508.0,-657.0,0.855,1508.0,301.6
c: マイジャグラーV,355,22863,-229,0.997,401.1,159.9,4318.0,-364.0,0.972,616.9,179.9,2552.0,-564.0,0.926,425.3,182.3,5285.0,1006.0,1.063,310.9,135.5,4025.0,-926.0,0.923,503.1,191.7,6683.0,619.0,1.031,351.7,148.5
c: マイジャグラーV,356,23829,-2184,0.969,372.3,162.1,4505.0,-494.0,0.963,450.5,166.9,6170.0,-746.0,0.96,411.3,166.8,7336.0,397.0,1.018,293.4,141.1,2029.0,442.0,1.073,507.2,144.9,3789.0,-1783.0,0.843,378.9,222.9
c: マイジャグラーV,357,24716,926,1.012,418.9,154.5,4026.0,-1267.0,0.895,447.3,201.3,5067.0,361.0,1.024,361.9,140.8,7612.0,2222.0,1.097,317.2,129.0,3922.0,-936.0,0.92,490.2,196.1,4089.0,546.0,1.045,1022.2,163.6
c: マイジャグラーV,358,25468,-2194,0.971,431.7,165.4,6214.0,648.0,1.035,365.5,144.5,6296.0,-942.0,0.95,419.7,170.2,1971.0,-1996.0,0.662,1971.0,657.0,5507.0,-561.0,0.966,323.9,153.0,5480.0,657.0,1.04,608.9,156.6
d: マイジャグラーV,369,28100,-4021,0.952,407.2,168.3,5040.0,-1591.0,0.895,387.7,186.7,4645.0,-1933.0,0.861,663.6,232.2,8219.0,-184.0,0.993,357.3,155.1,5013.0,1203.0,1.08,501.3,135.5,5183.0,-1516.0,0.903,323.9,172.8
d: マイジャグラーV,370,23184,1616,1.023,362.2,147.7,3234.0,-332.0,0.966,808.5,179.7,7309.0,1070.0,1.049,304.5,135.4,6245.0,-257.0,0.986,446.1,168.8,4561.0,1528.0,1.112,253.4,116.9,1835.0,-393.0,0.929,458.8,203.9
d: マイジャグラーV,371,27580,4098,1.05,353.6,135.9,4408.0,199.0,1.015,551.0,163.3,4727.0,74.0,1.005,472.7,157.6,7499.0,2004.0,1.089,300.0,121.0,5346.0,346.0,1.022,297.0,140.7,5600.0,1475.0,1.088,329.4,121.7
d: マイジャグラーV,372,21072,3622,1.057,413.2,141.4,2025.0,-152.0,0.975,1012.5,184.1,5171.0,1900.0,1.122,470.1,129.3,7809.0,2717.0,1.116,371.9,128.0,1434.0,-630.0,0.854,478.0,204.9,4633.0,-213.0,0.985,330.9,154.4
d: マイジャグラーV,373,19305,-2974,0.949,495.0,185.6,1952.0,-1139.0,0.805,488.0,244.0,5557.0,51.0,1.003,370.5,150.2,5248.0,-2396.0,0.848,656.0,262.4,2712.0,384.0,1.047,452.0,159.5,3836.0,126.0,1.011,639.3,174.4
d: マイジャグラーV,374,23584,1832,1.026,393.1,150.2,6290.0,2707.0,1.143,370.0,123.3,4832.0,-575.0,0.96,402.7,172.6,3899.0,-1412.0,0.879,354.5,195.0,6405.0,1580.0,1.082,400.3,136.3,2158.0,-468.0,0.928,539.5,196.2
d: マイジャグラーV,375,28086,-791,0.991,364.8,154.3,5267.0,335.0,1.021,376.2,142.4,5824.0,584.0,1.033,529.5,149.3,6440.0,-709.0,0.963,306.7,157.1,2558.0,-71.0,0.991,426.3,159.9,7997.0,-930.0,0.961,319.9,163.2
d: マイジャグラーV,376,29079,1072,1.012,372.8,149.1,5808.0,-187.0,0.989,580.8,170.8,7678.0,3370.0,1.146,295.3,114.6,7033.0,-604.0,0.971,370.2,163.6,3032.0,-1290.0,0.858,379.0,202.1,5528.0,-217.0,0.987,368.5,153.6
e: ゴーゴージャグラー3,359,24050,-2843,0.961,364.4,155.2,6912.0,-843.0,0.959,314.2,150.3,5045.0,-1533.0,0.899,388.1,180.2,7147.0,988.0,1.046,310.7,127.6,2898.0,-601.0,0.931,724.5,193.2,2048.0,-854.0,0.861,512.0,204.8
e: ゴーゴージャグラー3,360,13638,-1585,0.961,341.0,155.0,504.0,-503.0,0.667,504.0,504.0,1950.0,-1394.0,0.762,,487.5,4819.0,770.0,1.053,200.8,112.1,5490.0,97.0,1.006,392.1,148.4,875.0,-555.0,0.789,875.0,291.7
e: ゴーゴージャグラー3,361,19380,-1504,0.974,323.0,146.8,7366.0,1487.0,1.067,199.1,111.6,4578.0,-913.0,0.934,572.2,183.1,2602.0,-1765.0,0.774,520.4,260.2,624.0,-578.0,0.691,,624.0,4210.0,265.0,1.021,421.0,140.3
e: ゴーゴージャグラー3,362,20620,-5330,0.914,389.1,176.2,2600.0,-277.0,0.964,260.0,144.4,5542.0,-326.0,0.98,426.3,153.9,5461.0,-2561.0,0.844,390.1,210.0,5956.0,-1823.0,0.898,397.1,186.1,1061.0,-343.0,0.892,1061.0,212.2
e: ゴーゴージャグラー3,363,28836,-4479,0.948,343.3,158.4,6432.0,-316.0,0.984,378.4,156.9,6015.0,-2926.0,0.838,401.0,200.5,6125.0,-2091.0,0.886,471.2,197.6,4690.0,-1116.0,0.921,246.8,151.3,5574.0,1970.0,1.118,278.7,113.8
e: ゴーゴージャグラー3,364,21559,-3103,0.952,326.7,149.7,5334.0,-351.0,0.978,280.7,133.4,5221.0,-175.0,0.989,290.1,141.1,7407.0,-1742.0,0.922,352.7,161.0,1671.0,-236.0,0.953,557.0,167.1,1926.0,-599.0,0.896,385.2,175.1
e: ゴーゴージャグラー3,365,23341,-2355,0.966,395.6,157.7,4777.0,-884.0,0.938,398.1,164.7,7209.0,-978.0,0.955,379.4,156.7,4257.0,-343.0,0.973,387.0,157.7,4357.0,-120.0,0.991,396.1,155.6,2741.0,-30.0,0.996,456.8,152.3
e: ゴーゴージャグラー3,366,11990,-5020,0.86,363.3,193.4,2793.0,-996.0,0.881,349.1,186.2,3252.0,-1406.0,0.856,361.3,191.3,2553.0,-1696.0,0.779,364.7,232.1,1334.0,-599.0,0.85,333.5,222.3,2058.0,-323.0,0.948,411.6,158.3
e: ゴーゴージャグラー3,367,21007,-4629,0.927,389.0,169.4,4411.0,-2100.0,0.841,882.2,275.7,4581.0,-774.0,0.944,381.8,158.0,6596.0,-293.0,0.985,347.2,146.6,2368.0,-1116.0,0.843,263.1,157.9,3051.0,-346.0,0.962,339.0,160.6
