,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,0.942,0.958,0.863,1.0,1.029,0.994,1.052,0.988,1.03,1.015,0.998,0.931,1.083,1.08,0.927,1.049,,1.023,0.983,0.979,0.991,1.009,0.982,0.988,1.024,0.999,0.982,0.982,1.0,1.0,1.0,1.003
アイムジャグラーEX-TP,0.995,0.987,1.006,1.0,0.994,0.997,1.017,0.988,1.008,1.001,0.987,0.974,0.978,0.982,1.011,0.979,1.0,1.0,1.005,0.996,0.996,1.007,1.003,0.987,0.999,0.996,0.998,0.998,1.0,1.0,1.0,0.997
ウルトラミラクルジャグラー,1.045,0.994,0.985,1.0,0.991,0.989,0.945,0.973,0.999,0.966,0.968,1.019,0.986,0.981,0.966,1.013,1.0,1.031,1.053,0.983,0.993,0.984,0.959,0.997,1.003,0.99,0.996,1.025,1.0,1.0,1.0,0.996
ゴーゴージャグラー3,1.007,1.003,0.986,1.0,0.997,0.998,0.994,0.992,0.999,0.997,1.006,1.004,1.008,0.976,0.989,1.011,1.0,0.992,1.0,0.988,0.989,1.0,1.001,0.987,1.001,1.002,0.999,0.994,1.0,1.0,1.0,0.997
ジャグラーガールズ,0.998,1.014,1.001,1.0,0.992,0.987,0.981,0.97,1.0,1.028,0.981,0.995,1.025,1.057,1.013,0.999,1.0,0.983,0.969,0.986,1.034,1.005,0.934,0.994,0.982,0.983,0.99,0.996,1.0,1.0,1.0,1.0
ハッピージャグラーVIII,1.003,1.026,0.976,1.0,1.008,1.006,1.001,0.993,0.924,0.989,0.98,0.987,0.978,1.008,0.991,0.976,1.0,0.965,0.983,0.985,1.004,0.96,0.982,1.008,0.981,0.986,0.991,1.009,1.0,1.0,1.0,0.991
マイジャグラーV,1.003,0.994,1.01,1.0,1.0,1.008,1.005,0.996,1.007,1.004,0.997,0.983,0.996,0.982,0.995,1.003,1.0,0.988,0.992,0.999,0.994,0.989,0.993,1.006,0.999,1.002,0.994,0.991,1.0,1.0,1.0,0.997
ミスタージャグラー,1.013,1.0,1.01,1.0,0.987,0.993,0.994,0.986,1.01,1.001,0.99,0.999,1.021,0.971,0.991,1.028,1.0,0.961,0.984,0.991,0.99,0.99,0.99,0.991,0.998,0.993,1.014,0.979,1.0,1.0,1.0,0.996
total,1.004,0.997,1.001,1.0,0.997,1.0,1.001,0.991,1.003,1.001,0.995,0.989,0.999,0.989,0.995,1.003,1.0,0.991,0.997,0.994,0.995,0.995,0.993,0.996,0.999,0.998,0.998,0.994,1.0,1.0,1.0,0.997
