,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00
unit_no,,,,,,,,,,,,,,,,,,,,,
395,12969,-1443,46,33,0.963,393.0,164.2,8909,32,35,24,1.001,371.2,151.0,4060,-1475,11,9,0.879,451.1,203.0
396,10242,-562,39,27,0.982,379.3,155.2,5617,-1,22,19,1.0,295.6,137.0,4625,-561,17,8,0.96,578.1,185.0
397,12581,1400,52,36,1.037,349.5,143.0,4590,-91,17,10,0.993,459.0,170.0,7991,1491,35,26,1.062,307.3,131.0
398,11043,1074,47,30,1.032,368.1,143.4,7998,1970,39,23,1.082,347.7,129.0,3045,-896,8,7,0.902,435.0,203.0
413,11644,148,43,41,1.004,284.0,138.6,8584,2196,36,38,1.085,225.9,116.0,3060,-2048,7,3,0.777,1020.0,306.0
414,14703,1681,56,60,1.038,245.0,126.8,6235,171,26,17,1.009,366.8,145.0,8468,1510,30,43,1.059,196.9,116.0
415,11604,-671,45,33,0.981,351.6,148.8,5214,-993,20,13,0.937,401.1,158.0,6390,322,25,20,1.017,319.5,142.0
416,12120,-3925,31,41,0.892,295.6,168.3,5820,-1974,17,13,0.887,447.7,194.0,6300,-1951,14,28,0.897,225.0,150.0
417,14785,341,62,44,1.008,336.0,139.5,7645,-433,28,27,0.981,283.1,139.0,7140,774,34,17,1.036,420.0,140.0
418,14132,-906,54,48,0.979,294.4,138.5,6348,181,27,19,1.01,334.1,138.0,7784,-1087,27,29,0.953,268.4,139.0
419,14099,-1256,56,35,0.97,402.8,154.9,8195,-372,32,23,0.985,356.3,149.0,5904,-884,24,12,0.95,492.0,164.0
total,584603,-5530,2222,1679,0.997,348.2,149.9,302439,2437,1173,872,1.003,346.8,147.9,282164,-7967,1049,807,0.991,349.6,152.0
