,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00,2024-11-23 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,1046,-885,0,2,0.718,523.0,523.0,1046.0,-885.0,0.0,2.0,0.718,523.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1101,779,-662,1,0,0.717,,779.0,779.0,-662.0,1.0,0.0,0.717,,779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1102,290,-332,0,0,0.618,,,290.0,-332.0,0.0,0.0,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1103,1151,-603,2,4,0.825,287.8,191.8,1151.0,-603.0,2.0,4.0,0.825,287.8,191.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1104,1278,-409,4,1,0.893,1278.0,255.6,1278.0,-409.0,4.0,1.0,0.893,1278.0,255.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1105,1091,-409,3,1,0.875,1091.0,272.8,1091.0,-409.0,3.0,1.0,0.875,1091.0,272.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1106,1985,591,10,6,1.099,330.8,124.1,1985.0,591.0,10.0,6.0,1.099,330.8,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1123,3883,-515,10,15,0.956,258.9,155.3,3883.0,-515.0,10.0,15.0,0.956,258.9,155.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1124,468,-274,1,0,0.805,,468.0,468.0,-274.0,1.0,0.0,0.805,,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1125,1081,-185,4,2,0.943,540.5,180.2,1081.0,-185.0,4.0,2.0,0.943,540.5,180.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1126,629,-597,0,2,0.684,314.5,314.5,629.0,-597.0,0.0,2.0,0.684,314.5,314.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1127,5802,2232,28,25,1.128,232.1,109.5,5802.0,2232.0,28.0,25.0,1.128,232.1,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1128,157,-191,0,0,0.594,,,157.0,-191.0,0.0,0.0,0.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1129,1108,-609,2,2,0.817,554.0,277.0,1108.0,-609.0,2.0,2.0,0.817,554.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
