,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,2025-03-19 00:00:00,2025-02-19 00:00:00,2025-02-19 00:00:00,2025-02-19 00:00:00,2025-02-19 00:00:00,2025-02-19 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00,2024-12-19 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,1817,-704,0.871,363.4,201.9,632.0,0.0,1.0,210.7,126.4,428.0,-483.0,0.624,428.0,428.0,101.0,-134.0,0.558,,,656.0,-87.0,0.956,656.0,218.7,,,,,
a: アイムジャグラーEX-TP,664,1811,183,1.034,301.8,139.3,205.0,87.0,1.141,205.0,102.5,341.0,-448.0,0.562,,,26.0,-55.0,0.295,,,1239.0,599.0,1.161,247.8,112.6,,,,,
a: アイムジャグラーEX-TP,665,1660,-104,0.979,830.0,184.4,434.0,-29.0,0.978,,217.0,1002.0,-29.0,0.99,501.0,167.0,224.0,-46.0,0.932,,224.0,0.0,0.0,,,,,,,,
a: アイムジャグラーEX-TP,666,3958,-348,0.971,263.9,152.2,3120.0,436.0,1.047,260.0,135.7,812.0,-738.0,0.697,270.7,270.7,26.0,-46.0,0.41,,,0.0,0.0,,,,,,,,
b: アイムジャグラーEX-TP,856,8967,-291,0.989,332.1,152.0,498.0,-471.0,0.685,,498.0,5036.0,988.0,1.065,335.7,132.5,2105.0,-378.0,0.94,300.7,175.4,1070.0,-157.0,0.951,214.0,133.8,258.0,-273.0,0.647,,
b: アイムジャグラーEX-TP,857,2943,-1446,0.836,588.6,267.5,478.0,-471.0,0.672,478.0,478.0,435.0,-529.0,0.595,,,688.0,-227.0,0.89,688.0,229.3,101.0,-62.0,0.795,,,1241.0,-157.0,0.958,413.7,177.3
b: アイムジャグラーEX-TP,858,5812,-726,0.958,484.3,176.1,377.0,-17.0,0.985,,188.5,3291.0,285.0,1.029,411.4,149.6,679.0,-831.0,0.592,679.0,679.0,1325.0,29.0,1.007,441.7,165.6,140.0,-192.0,0.543,,
b: アイムジャグラーEX-TP,859,15246,-128,0.997,381.2,155.6,5361.0,494.0,1.031,297.8,137.5,3375.0,-517.0,0.949,562.5,177.6,4603.0,802.0,1.058,418.5,143.8,556.0,-715.0,0.571,,,1351.0,-192.0,0.953,270.2,168.9
