,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00
unit_no,,,,,,,,,,,,,,
330,2392,-570,9,4,0.921,598.0,184.0,2392,-570,9,4,0.921,598.0,184.0
331,1870,-401,7,3,0.929,623.3,187.0,1870,-401,7,3,0.929,623.3,187.0
332,3975,297,17,8,1.025,496.9,159.0,3975,297,17,8,1.025,496.9,159.0
333,702,-372,2,0,0.823,,351.0,702,-372,2,0,0.823,,351.0
334,1398,-448,5,1,0.893,1398.0,233.0,1398,-448,5,1,0.893,1398.0,233.0
335,2353,-393,11,2,0.944,1176.5,181.0,2353,-393,11,2,0.944,1176.5,181.0
336,4050,-207,16,9,0.983,450.0,162.0,4050,-207,16,9,0.983,450.0,162.0
337,3498,-120,13,9,0.989,388.7,159.0,3498,-120,13,9,0.989,388.7,159.0
338,1917,-280,8,1,0.951,1917.0,213.0,1917,-280,8,1,0.951,1917.0,213.0
339,3633,-732,12,9,0.933,403.7,173.0,3633,-732,12,9,0.933,403.7,173.0
340,4797,936,22,17,1.065,282.2,123.0,4797,936,22,17,1.065,282.2,123.0
341,4148,-1655,12,5,0.867,829.6,244.0,4148,-1655,12,5,0.867,829.6,244.0
342,1600,-204,7,1,0.958,1600.0,200.0,1600,-204,7,1,0.958,1600.0,200.0
343,3752,390,15,13,1.035,288.6,134.0,3752,390,15,13,1.035,288.6,134.0
344,2520,-1574,5,5,0.792,504.0,252.0,2520,-1574,5,5,0.792,504.0,252.0
345,1256,-717,3,1,0.81,1256.0,314.0,1256,-717,3,1,0.81,1256.0,314.0
346,3402,-1075,9,9,0.895,378.0,189.0,3402,-1075,9,9,0.895,378.0,189.0
347,4611,-367,17,12,0.973,384.2,159.0,4611,-367,17,12,0.973,384.2,159.0
348,2820,-97,10,10,0.989,282.0,141.0,2820,-97,10,10,0.989,282.0,141.0
349,990,-662,1,4,0.777,247.5,198.0,990,-662,1,4,0.777,247.5,198.0
350,5145,-509,16,19,0.967,270.8,147.0,5145,-509,16,19,0.967,270.8,147.0
351,6556,322,24,20,1.016,327.8,149.0,6556,322,24,20,1.016,327.8,149.0
352,1056,-691,2,0,0.782,,528.0,1056,-691,2,0,0.782,,528.0
353,5324,1365,27,17,1.085,313.2,121.0,5324,1365,27,17,1.085,313.2,121.0
354,5148,1035,25,19,1.067,270.9,117.0,5148,1035,25,19,1.067,270.9,117.0
355,2028,-471,6,6,0.923,338.0,169.0,2028,-471,6,6,0.923,338.0,169.0
356,3003,-36,11,10,0.996,300.3,143.0,3003,-36,11,10,0.996,300.3,143.0
357,8432,567,37,25,1.022,337.3,136.0,8432,567,37,25,1.022,337.3,136.0
358,3475,225,14,11,1.022,315.9,139.0,3475,225,14,11,1.022,315.9,139.0
359,3667,-1904,6,13,0.827,282.1,193.0,3667,-1904,6,13,0.827,282.1,193.0
390,5145,1301,25,10,1.084,514.5,147.0,5145,1301,25,10,1.084,514.5,147.0
391,2685,-467,10,5,0.942,537.0,179.0,2685,-467,10,5,0.942,537.0,179.0
392,2848,-233,10,6,0.973,474.7,178.0,2848,-233,10,6,0.973,474.7,178.0
393,972,-399,3,0,0.863,,324.0,972,-399,3,0,0.863,,324.0
394,2002,-378,6,5,0.937,400.4,182.0,2002,-378,6,5,0.937,400.4,182.0
395,2704,28,12,4,1.003,676.0,169.0,2704,28,12,4,1.003,676.0,169.0
396,2352,-1719,3,3,0.756,784.0,392.0,2352,-1719,3,3,0.756,784.0,392.0
397,1790,-488,6,4,0.909,447.5,179.0,1790,-488,6,4,0.909,447.5,179.0
398,2685,-896,6,9,0.889,298.3,179.0,2685,-896,6,9,0.889,298.3,179.0
413,2096,138,9,7,1.022,299.4,131.0,2096,138,9,7,1.022,299.4,131.0
414,3360,-341,13,11,0.966,305.5,140.0,3360,-341,13,11,0.966,305.5,140.0
415,530,-517,0,2,0.675,265.0,265.0,530,-517,0,2,0.675,265.0,265.0
416,5547,1365,29,14,1.082,396.2,129.0,5547,1365,29,14,1.082,396.2,129.0
417,3427,-355,13,10,0.965,342.7,149.0,3427,-355,13,10,0.965,342.7,149.0
418,612,-335,2,1,0.818,612.0,204.0,612,-335,2,1,0.818,612.0,204.0
419,7735,2248,40,25,1.097,309.4,119.0,7735,2248,40,25,1.097,309.4,119.0
total,146008,-9396,556,379,0.979,385.2,156.2,146008,-9396,556,379,0.979,385.2,156.2
