,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e: I'm,2810,26226,6858,110,106,1.087,247.4,121.4,7926,3096,39,27,1.13,293.6,120.1,3590,-1619,7,11,0.85,326.4,199.4,8360,1238,31,37,1.049,225.9,122.9,6350,4143,33,31,1.217,204.8,99.2
e: I'm,2811,17930,-902,62,54,0.983,332.0,154.6,1811,-1428,2,4,0.737,452.8,301.8,1237,-809,3,1,0.782,1237.0,309.2,8362,1477,34,30,1.059,278.7,130.7,6520,-142,23,19,0.993,343.2,155.2
e: I'm,2812,25140,-141,82,92,0.998,273.3,144.5,7275,-571,24,22,0.974,330.7,158.2,2689,-1428,7,3,0.823,896.3,268.9,7811,2381,29,39,1.102,200.3,114.9,7365,-523,22,28,0.976,263.0,147.3
f: FJ2,2670,25509,3334,103,76,1.044,335.6,142.5,4555,-476,15,11,0.965,414.1,175.2,3252,-1000,8,7,0.897,464.6,216.8,9371,2524,40,34,1.09,275.6,126.6,8331,2286,40,24,1.091,347.1,130.2
f: FJ2,2671,16276,-2236,50,42,0.954,387.5,176.9,6613,-285,23,18,0.986,367.4,161.3,3305,-809,10,9,0.918,367.2,173.9,4853,-190,14,15,0.987,323.5,167.3,1505,-952,3,0,0.789,,501.7
f: FJ2,2672,21040,-1236,76,55,0.98,382.5,160.6,4132,-476,14,11,0.962,375.6,165.3,7758,-714,26,23,0.969,337.3,158.3,6205,858,27,15,1.046,413.7,147.7,2945,-904,9,6,0.898,490.8,196.3
f: FJ2,2673,29227,2050,117,86,1.023,339.8,144.0,6426,953,27,20,1.049,321.3,136.7,7677,858,31,23,1.037,333.8,142.2,7169,-95,29,18,0.996,398.3,152.5,7955,334,30,25,1.014,318.2,144.6
f: FJ2,2675,15602,-1999,57,33,0.957,472.8,173.4,5505,-857,20,10,0.948,550.5,183.5,7086,-476,26,19,0.978,372.9,157.5,1348,-428,4,2,0.894,674.0,224.7,1663,-238,7,2,0.952,831.5,184.8
f: FJ2,2676,18526,1049,78,42,1.019,441.1,154.4,5986,143,24,13,1.008,460.5,161.8,5080,2191,28,12,1.144,423.3,127.0,3750,-1190,10,10,0.894,375.0,187.5,3710,-95,16,7,0.991,530.0,161.3
f: FJ2,2677,12162,-666,43,33,0.982,368.5,160.0,5588,238,20,19,1.014,294.1,143.3,1684,-1190,1,6,0.764,280.7,240.6,1940,143,8,5,1.025,388.0,149.2,2950,143,14,3,1.016,983.3,173.5
f: FJ2,2678,17890,1049,77,35,1.02,511.1,159.7,7477,1000,35,15,1.045,498.5,149.5,3164,-666,10,8,0.93,395.5,175.8,4334,191,19,7,1.015,619.1,166.7,2915,524,13,5,1.06,583.0,161.9
f: FJ2,2680,16877,1764,75,42,1.035,401.8,144.2,4735,1715,27,11,1.121,430.5,124.6,3557,953,19,5,1.089,711.4,148.2,4561,-476,15,16,0.965,285.1,147.1,4024,-428,14,10,0.965,402.4,167.7
f: FJ2,2681,11720,-1284,42,23,0.963,509.6,180.3,1659,-428,5,2,0.914,829.5,237.0,1239,-904,2,0,0.757,,619.5,4341,143,17,12,1.011,361.8,149.7,4481,-95,18,9,0.993,497.9,166.0
g: HJV3,2626,16396,145,65,38,1.003,431.5,159.2,5431,-904,17,16,0.945,339.4,164.6,6505,2762,36,17,1.142,382.6,122.7,2601,-285,9,5,0.963,520.2,185.8,1859,-1428,3,0,0.744,,619.7
g: HJV3,2627,20169,2430,70,86,1.04,234.5,129.3,9043,3096,35,46,1.114,196.6,111.6,8162,953,29,34,1.039,240.1,129.6,702,-762,0,1,0.638,702.0,702.0,2262,-857,6,5,0.874,452.4,205.6
g: HJV3,2628,25270,6527,109,87,1.086,290.5,128.9,2273,-1142,5,5,0.833,454.6,227.3,7783,3858,40,32,1.165,243.2,108.1,7875,1953,32,25,1.083,315.0,138.2,7339,1858,32,25,1.084,293.6,128.8
h: UMJ,2702,23459,3049,100,76,1.043,308.7,133.3,8457,1572,36,33,1.062,256.3,122.6,1622,-238,6,3,0.951,540.7,180.2,6747,2191,35,20,1.108,337.4,122.7,6633,-476,23,20,0.976,331.6,154.3
h: UMJ,2703,14926,-188,53,51,0.996,292.7,143.5,7792,1096,30,33,1.047,236.1,123.7,909,-428,2,1,0.843,909.0,303.0,1841,-952,4,5,0.828,368.2,204.6,4384,96,17,12,1.007,365.3,151.2
h: UMJ,2705,28106,5145,125,82,1.061,342.8,135.8,9240,2048,40,30,1.074,308.0,132.0,8198,1191,35,25,1.048,327.9,136.6,8203,2048,39,23,1.083,356.7,132.3,2465,-142,11,4,0.981,616.2,164.3
i: MRJ,2800,20008,3859,85,69,1.064,290.0,129.9,5779,-285,18,20,0.984,289.0,152.1,8652,3953,42,39,1.152,221.8,106.8,1843,-809,4,3,0.854,614.3,263.3,3734,1000,21,7,1.089,533.4,133.4
i: MRJ,2801,27297,10477,125,115,1.128,237.4,113.7,8814,5191,46,41,1.196,215.0,101.3,9101,4048,41,45,1.148,202.2,105.8,3000,-762,7,10,0.915,300.0,176.5,6382,2000,31,19,1.104,335.9,127.6
i: MRJ,2802,18500,2716,73,64,1.049,289.1,135.0,1725,-762,4,3,0.853,575.0,246.4,8792,3477,41,39,1.132,225.4,109.9,766,-95,2,1,0.959,766.0,255.3,7217,96,26,21,1.004,343.7,153.6
i: MRJ,2803,21240,2526,85,64,1.04,331.9,142.6,2969,-809,10,4,0.909,742.2,212.1,7920,2858,33,37,1.12,214.1,113.1,7014,-238,24,20,0.989,350.7,159.4,3337,715,18,3,1.071,1112.3,158.9
total,,1332829,81000,5133,4170,1.02,319.6,143.3,400570,35643,1567,1308,1.03,306.2,139.3,327431,34835,1316,1045,1.035,313.3,138.7,274948,166,992,835,1.0,329.3,150.5,329880,10356,1258,982,1.01,335.9,147.3
