,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00
area,unit_no,,,,,,,,,,,,,,,
a: ゴーゴージャグラー3,1001,6958,2323,1.111,302.5,120.0,6293,2885,1.153,299.7,112.4,665,-562,0.718,332.5,332.5
a: ゴーゴージャグラー3,1002,9166,2094,1.076,305.5,130.9,318,-403,0.578,318.0,318.0,8848,2497,1.094,305.1,128.2
a: ゴーゴージャグラー3,1003,8012,3035,1.126,286.1,114.5,3933,1700,1.144,231.4,103.5,4079,1335,1.109,370.8,127.5
a: ゴーゴージャグラー3,1004,5750,92,1.005,442.3,155.4,4600,818,1.059,418.2,139.4,1150,-726,0.79,575.0,287.5
a: ゴーゴージャグラー3,1005,3032,-494,0.946,505.3,168.4,391,-232,0.802,,391.0,2641,-262,0.967,440.2,155.4
a: ゴーゴージャグラー3,1006,2768,1350,1.163,692.0,131.8,354,-138,0.87,354.0,177.0,2414,1488,1.205,804.7,127.1
a: ゴーゴージャグラー3,1007,4132,112,1.009,413.2,153.0,3240,515,1.053,360.0,140.9,892,-403,0.849,892.0,223.0
a: ゴーゴージャグラー3,1008,10493,2394,1.076,276.1,122.0,6171,2285,1.123,257.1,110.2,4322,109,1.008,308.7,144.1
a: ゴーゴージャグラー3,1009,6221,588,1.032,518.4,151.7,1853,162,1.029,463.2,142.5,4368,426,1.033,546.0,156.0
a: ゴーゴージャグラー3,1010,5637,-59,0.997,402.6,152.4,1402,85,1.02,701.0,155.8,4235,-144,0.989,352.9,151.2
b: ゴーゴージャグラー3,1011,5614,-1733,0.897,431.8,181.1,3140,-1265,0.866,348.9,174.4,2474,-468,0.937,618.5,190.3
b: ゴーゴージャグラー3,1012,4285,-489,0.962,267.8,142.8,2972,-215,0.976,198.1,123.8,1313,-274,0.93,1313.0,218.8
b: ゴーゴージャグラー3,1013,6127,-371,0.98,612.7,180.2,1644,38,1.008,411.0,164.4,4483,-409,0.97,747.2,186.8
b: ゴーゴージャグラー3,1014,5005,-835,0.944,333.7,166.8,875,-309,0.882,437.5,218.8,4130,-526,0.958,317.7,158.8
b: ゴーゴージャグラー3,1015,6861,-153,0.993,381.2,155.9,1528,-203,0.956,305.6,152.8,5333,50,1.003,410.2,156.9
b: ゴーゴージャグラー3,1016,9090,-279,0.99,336.7,149.0,7091,547,1.026,322.3,136.4,1999,-826,0.862,399.8,222.1
b: ゴーゴージャグラー3,1017,11635,1829,1.052,314.5,133.7,2971,-1218,0.863,371.4,198.1,8664,3047,1.117,298.8,120.3
b: ゴーゴージャグラー3,1018,4071,-959,0.921,290.8,162.8,1802,-444,0.918,225.2,150.2,2269,-515,0.924,378.2,174.5
b: ゴーゴージャグラー3,1019,1679,-841,0.833,559.7,239.9,1011,-550,0.819,505.5,252.8,668,-291,0.855,668.0,222.7
b: ゴーゴージャグラー3,1020,5018,-1638,0.891,456.2,193.0,2899,-1006,0.884,362.4,181.2,2119,-632,0.901,706.3,211.9
c: マイジャグラーV,1021,5813,-1985,0.886,415.2,193.8,1854,-944,0.83,231.8,168.5,3959,-1041,0.912,659.8,208.4
c: マイジャグラーV,1022,7054,-1097,0.948,320.6,164.0,5828,-641,0.963,291.4,153.4,1226,-456,0.876,613.0,245.2
c: マイジャグラーV,1023,9557,-1344,0.953,455.1,177.0,4624,-665,0.952,462.4,171.3,4933,-679,0.954,448.5,182.7
c: マイジャグラーV,1024,2430,-682,0.906,405.0,186.9,1864,-103,0.982,372.8,155.3,566,-579,0.659,566.0,566.0
c: マイジャグラーV,1025,6927,91,1.004,346.4,147.4,5203,559,1.036,325.2,136.9,1724,-468,0.91,431.0,191.6
c: マイジャグラーV,1026,5692,897,1.053,406.6,145.9,672,-297,0.853,672.0,224.0,5020,1194,1.079,386.2,139.4
d: マイジャグラーV,1027,2128,-1188,0.814,709.3,304.0,1265,-591,0.844,632.5,253.0,863,-597,0.769,863.0,431.5
d: マイジャグラーV,1028,9877,-627,0.979,318.6,154.3,2186,-703,0.893,273.2,168.2,7691,76,1.003,334.4,150.8
d: マイジャグラーV,1029,3875,-2344,0.798,645.8,298.1,1475,-797,0.82,737.5,295.0,2400,-1547,0.785,600.0,300.0
d: マイジャグラーV,1030,8376,273,1.011,418.8,152.3,2726,-274,0.966,681.5,181.7,5650,547,1.032,353.1,141.2
d: マイジャグラーV,1031,3533,-41,0.996,321.2,147.2,2124,-15,0.998,236.0,132.8,1409,-26,0.994,704.5,176.1
d: マイジャグラーV,1032,10181,1200,1.039,377.1,145.4,7625,1226,1.054,401.3,143.9,2556,-26,0.997,319.5,150.4
e: マイジャグラーV,1033,7465,-976,0.956,466.6,177.7,1657,-1382,0.722,1657.0,552.3,5808,406,1.023,387.2,148.9
e: マイジャグラーV,1034,11466,688,1.02,286.6,139.8,4330,297,1.023,360.8,149.3,7136,391,1.018,254.9,134.6
e: マイジャグラーV,1035,4296,-1047,0.919,390.5,171.8,1643,-550,0.888,410.8,182.6,2653,-497,0.938,379.0,165.8
e: マイジャグラーV,1036,4807,-982,0.932,343.4,178.0,3562,-238,0.978,274.0,154.9,1245,-744,0.801,1245.0,311.2
