model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジャグラーガールズ,1148,353.8,378.4,339.9,418.7,246.5,201.3,611.0,481.5,360.3,419.0,279.9,268.9,,545.5,306.5,360.0,590.5,252.2,555.0,561.5,350.6,731.5,261.0,260.1,914.0,803.0,,345.5,391.0,307.3,440.5,520.0,364.8,284.8,401.7,296.4,384.5,506.5,317.9,347.4,,597.5,341.0,326.0,270.6,623.2,1081.0,1942.0,675.0,,338.7,208.7,753.0,471.5,922.0,343.2,337.3,357.3
ジャグラーガールズ,1149,319.9,830.0,346.8,344.8,357.5,,268.0,251.9,866.0,,422.8,426.0,312.7,593.3,,275.6,230.4,381.7,378.0,649.2,463.6,507.0,469.1,262.0,,610.0,425.2,523.2,306.1,328.8,212.3,293.6,381.1,1016.0,882.0,,338.5,301.4,239.1,855.3,255.3,230.5,161.9,235.3,323.7,399.0,254.3,279.6,300.5,302.8,611.0,,260.6,396.5,231.0,,662.5,217.7
ジャグラーガールズ,1150,342.5,421.2,430.6,357.6,392.2,305.2,297.8,311.8,289.7,281.0,292.9,283.1,278.3,296.4,844.0,441.0,371.2,226.2,430.4,543.0,345.4,743.8,418.3,363.3,471.7,1134.0,525.2,300.9,517.2,574.7,364.7,362.6,325.3,267.7,284.3,279.0,484.2,901.0,301.8,471.2,347.4,,832.0,330.9,288.8,513.3,481.9,481.8,294.5,265.9,1302.0,700.5,312.4,362.1,318.4,464.3,725.0,236.3
ハッピージャグラーVIII,1137,352.3,215.8,334.2,369.1,454.0,491.2,388.9,294.4,1839.0,297.6,282.5,401.6,202.8,352.4,591.0,644.5,,302.3,1161.0,265.7,409.3,467.1,302.4,434.6,869.3,385.4,641.4,359.8,420.0,324.8,1113.0,450.4,238.0,341.8,806.0,461.9,242.0,510.8,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1138,371.2,355.3,728.0,529.7,256.1,352.4,,366.0,361.5,519.3,303.4,1059.0,291.6,364.0,343.7,327.5,232.1,299.7,366.5,646.0,950.5,1450.0,387.3,344.3,1223.0,451.2,354.5,1018.5,516.3,465.6,497.1,806.8,283.5,814.0,395.3,420.5,379.0,266.3,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1139,341.9,199.0,524.5,308.5,,374.3,567.5,346.0,276.6,271.4,923.0,572.0,,310.8,214.7,464.0,755.0,336.1,461.0,,,328.5,348.5,233.1,427.2,543.5,351.4,317.3,950.5,663.0,555.0,268.1,270.0,824.0,554.5,789.0,516.0,413.2,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1140,355.4,,484.1,280.3,268.4,315.8,337.5,433.4,,,374.8,342.4,787.0,292.6,828.0,530.0,851.5,358.0,,283.5,280.1,201.5,336.1,379.3,283.2,284.7,872.0,375.9,557.5,497.4,454.6,763.7,400.2,352.5,889.0,361.2,1298.0,402.4,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1141,395.1,563.7,1953.0,357.5,342.0,400.8,251.6,757.2,323.5,331.7,360.4,333.5,414.4,400.8,299.4,328.5,340.0,264.2,344.8,450.2,689.0,469.5,296.4,416.5,341.0,501.0,931.0,322.9,526.8,652.8,693.7,570.0,299.9,488.8,479.5,,,377.6,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1142,343.8,299.3,269.5,979.0,322.4,325.5,,334.3,460.5,224.8,989.0,1130.0,285.0,249.3,1366.0,324.0,2161.0,458.4,385.2,764.0,349.0,269.1,391.6,253.2,354.0,1104.0,,354.4,1658.0,526.6,491.3,436.1,207.4,525.3,,1242.0,,278.4,,,,,,,,,,,,,,,,,,,,
ハッピージャグラーVIII,1143,366.7,260.5,343.3,444.1,450.8,346.2,,381.7,286.4,257.3,651.8,481.7,230.8,290.3,495.4,318.9,465.9,468.3,971.5,359.6,256.2,647.0,445.2,324.4,749.5,400.5,349.1,331.0,567.2,326.9,367.3,254.0,429.7,316.8,438.4,357.5,446.8,317.7,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1051,405.8,921.7,629.2,315.6,718.4,263.5,420.5,338.1,332.7,335.2,586.8,453.4,282.0,1050.0,262.4,536.0,,633.1,272.9,267.0,,598.3,479.8,365.3,826.8,575.0,459.2,457.8,974.8,535.4,431.2,505.4,359.4,366.2,897.3,267.5,363.7,360.0,584.4,433.9,398.5,317.1,559.3,389.5,325.8,253.0,611.8,560.4,539.3,399.8,585.0,1975.0,493.6,390.7,294.9,590.5,274.2,362.6
ファンキージャグラー2,1052,389.1,500.7,597.5,353.1,440.2,428.6,,498.4,263.0,313.2,309.7,1057.0,580.0,396.0,704.0,485.8,262.5,363.6,405.7,479.5,591.0,402.3,489.7,314.4,328.4,326.5,244.2,662.2,536.3,445.1,472.0,649.3,309.5,508.0,316.3,,276.5,471.3,441.9,402.5,,1392.0,1006.0,332.3,388.3,1882.0,265.6,493.6,400.2,364.0,,502.3,266.0,337.4,349.3,376.0,413.9,252.4
ファンキージャグラー2,1053,363.8,881.0,369.6,321.5,345.5,658.0,359.8,722.8,310.8,290.3,360.5,364.8,170.6,260.2,805.0,591.0,,257.1,584.5,,337.2,522.7,319.6,456.8,289.2,552.8,343.0,302.4,379.9,517.3,1103.0,357.3,341.8,281.4,393.5,,585.0,907.0,334.5,729.0,460.5,216.3,417.2,355.4,928.5,1234.0,436.3,626.2,389.9,339.9,583.0,290.5,280.2,731.7,885.5,256.0,208.0,426.3
ファンキージャグラー2,1054,396.3,,448.4,245.6,433.5,348.3,299.3,322.5,968.0,355.2,607.0,356.7,522.0,313.2,,366.5,,303.7,547.2,425.0,897.0,598.3,,475.0,443.8,615.7,1181.5,389.5,251.3,290.7,308.0,658.7,509.8,475.0,616.5,351.0,791.0,383.5,577.2,467.4,2271.0,384.5,314.1,333.9,527.6,287.8,445.8,294.0,436.2,663.5,428.0,256.2,601.0,283.7,372.1,714.5,355.0,524.9
ファンキージャグラー2,1055,376.3,795.0,433.4,325.0,522.5,333.6,610.1,387.0,721.2,407.3,318.2,707.6,,522.6,495.4,230.5,399.6,718.8,697.9,298.9,214.8,259.0,356.7,651.1,390.1,1940.0,357.6,320.0,710.2,249.3,264.7,477.4,399.1,295.5,748.8,274.1,363.4,321.0,457.8,240.0,688.4,330.2,323.7,484.2,475.6,451.7,1560.0,353.0,293.3,312.1,629.5,287.7,789.0,264.0,252.4,508.4,513.8,392.6
ファンキージャグラー2,1056,404.4,387.5,309.7,448.4,1956.0,737.3,308.2,275.1,470.0,363.5,714.8,2861.0,,451.7,294.3,681.2,459.3,298.3,308.4,382.3,202.9,367.2,508.7,405.7,493.1,897.0,378.8,303.1,447.8,836.8,445.7,496.5,339.0,1158.5,364.0,,687.5,397.1,446.2,584.4,334.0,451.3,441.2,429.2,334.6,533.3,379.1,591.5,330.7,504.3,351.3,348.8,413.0,265.8,366.5,546.5,1439.3,425.0
ファンキージャグラー2,1057,400.4,289.5,286.5,484.5,616.7,890.0,294.5,545.8,1023.5,,413.7,625.4,239.4,385.2,521.0,,320.6,430.7,405.0,450.0,536.0,1460.0,297.0,372.2,445.0,856.0,445.5,295.8,602.0,595.6,604.0,462.0,403.0,303.0,476.0,,387.8,353.1,706.0,290.3,348.2,335.5,1088.0,281.8,347.3,455.7,311.2,610.2,673.6,553.0,,,465.6,264.8,351.5,1461.0,1521.0,308.9
ファンキージャグラー2,1058,376.8,406.5,,827.0,324.4,320.3,415.0,375.5,396.2,229.8,339.8,887.0,320.6,255.5,304.0,217.5,549.5,383.3,344.9,280.0,224.5,405.2,258.3,382.8,251.8,417.9,1648.0,554.1,563.4,2452.0,382.9,362.9,536.7,341.7,810.3,,255.0,1282.0,965.0,429.5,332.0,934.3,443.4,333.0,455.8,428.4,1852.0,263.5,1417.0,188.2,328.6,1684.0,370.2,405.4,583.8,584.3,250.4,295.7
ファンキージャグラー2,1059,387.1,313.0,385.4,357.6,507.6,248.0,392.0,377.4,,360.5,482.8,475.9,,349.2,337.6,388.5,391.9,337.0,359.1,591.7,587.0,298.8,289.2,318.2,330.5,644.0,881.0,507.0,242.8,446.1,,368.9,378.0,498.2,725.5,,502.0,388.8,428.4,,320.7,687.0,405.0,321.2,348.2,,272.6,302.8,193.6,546.7,738.0,,486.8,604.7,342.8,326.1,263.8,1227.0
ファンキージャグラー2,1060,395.4,379.6,416.8,350.0,375.4,,546.5,494.7,216.5,1523.0,285.2,980.0,367.2,337.3,,548.8,579.1,321.6,252.0,1863.0,245.8,393.7,765.7,476.7,356.2,562.0,425.6,451.8,1275.0,340.3,389.7,434.4,485.5,343.3,369.5,489.2,426.2,630.0,348.5,440.1,590.7,334.7,442.8,339.3,517.6,569.4,330.5,429.7,392.4,406.3,351.2,312.6,1178.0,480.3,385.7,528.0,413.0,335.5
ファンキージャグラー2,1061,381.7,706.0,361.3,324.8,709.0,312.6,890.0,506.7,1201.0,586.3,287.4,921.0,,411.8,331.0,330.8,371.1,382.3,,587.0,443.8,807.0,270.2,292.5,396.6,591.2,518.2,393.3,461.5,421.4,641.3,269.6,337.5,428.0,397.2,682.0,390.5,595.8,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1062,388.0,550.7,444.9,458.6,718.0,358.5,387.4,379.6,365.6,285.0,556.7,282.2,353.6,388.6,343.4,346.8,365.7,325.6,348.7,,357.0,285.2,491.5,322.2,486.2,361.0,517.0,418.2,345.1,489.0,702.7,400.5,415.8,452.8,402.0,307.0,417.5,384.4,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1063,402.3,358.3,378.3,377.5,1350.0,,455.0,320.8,1197.0,312.4,366.1,312.0,,425.7,,,,435.3,384.8,392.0,255.5,493.0,665.5,309.0,,394.3,265.4,600.3,677.3,437.5,,509.8,350.5,431.6,509.7,349.7,368.5,500.3,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1064,388.5,329.5,347.7,344.4,489.8,423.9,350.2,356.0,,,430.3,342.8,651.7,681.5,302.7,406.2,560.0,677.8,276.3,545.0,285.0,440.2,375.8,317.5,372.7,601.3,313.9,390.5,,425.4,519.7,424.9,247.6,408.9,492.0,369.5,489.9,395.4,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1065,392.2,362.4,363.2,503.7,835.5,269.0,397.9,810.5,590.3,283.5,474.0,300.9,426.4,490.4,662.0,301.6,,302.0,405.4,314.7,827.0,336.8,903.8,377.4,249.3,331.3,374.7,2726.0,562.1,283.3,364.0,697.6,507.4,267.8,1405.0,358.9,383.2,588.2,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1066,358.5,251.5,349.4,757.2,969.0,1091.5,302.5,289.9,290.8,,269.1,282.9,,846.0,470.0,,338.4,335.4,383.9,690.0,440.5,309.2,,342.4,1176.0,,478.5,300.1,789.0,334.7,299.6,495.3,248.1,430.0,796.0,648.5,253.6,358.9,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,1067,352.5,424.7,633.3,,313.3,688.5,778.5,290.0,544.7,448.3,296.6,251.2,647.0,500.1,1164.0,315.4,303.9,317.8,410.0,356.3,501.5,,229.2,247.1,290.6,319.4,412.8,495.1,578.0,605.4,477.7,549.4,364.0,234.3,379.1,593.7,523.8,309.9,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1021,375.0,738.5,269.0,409.2,527.8,330.3,582.9,444.7,457.6,312.7,238.4,431.5,321.5,355.7,528.4,231.8,642.3,261.2,901.7,398.8,430.0,318.4,763.0,622.5,305.4,337.4,323.1,309.2,303.3,338.5,341.5,529.8,420.3,447.7,360.5,465.0,917.0,405.9,1240.5,348.1,269.1,459.3,434.9,251.1,940.8,659.8,375.3,314.1,616.0,435.4,405.0,253.3,333.8,429.1,352.6,409.1,326.9,653.3
マイジャグラーV,1022,367.9,474.7,511.6,303.9,248.5,217.7,491.3,253.9,283.4,764.5,445.0,343.8,339.4,349.6,416.2,291.4,392.4,693.4,438.9,336.2,348.7,936.5,290.8,839.4,417.2,341.7,372.2,241.8,449.7,717.1,1202.0,401.0,606.3,1409.5,680.0,723.0,418.9,440.0,344.9,698.2,638.0,484.6,360.9,326.5,306.4,613.0,271.6,372.2,314.5,349.8,,261.3,468.0,261.6,595.2,508.7,362.1,488.2
マイジャグラーV,1023,363.9,281.9,631.2,561.2,316.7,562.0,306.7,433.3,894.0,476.0,324.2,383.9,319.3,243.4,492.0,462.4,390.7,356.2,655.5,424.6,302.6,565.3,643.3,248.9,450.8,361.2,440.2,323.0,463.5,307.5,699.4,285.0,374.3,321.8,1164.0,1432.0,301.8,467.2,292.4,397.1,423.7,338.9,1230.0,239.3,279.1,448.5,329.8,565.1,441.8,420.8,324.6,336.0,1549.0,520.3,272.1,701.8,337.5,383.7
マイジャグラーV,1024,369.4,638.0,481.2,304.6,447.6,365.0,1282.0,452.8,448.2,416.3,403.7,617.0,297.5,422.6,292.4,372.8,275.0,510.4,375.8,212.0,622.0,490.8,666.9,484.6,1024.5,765.8,410.2,277.5,247.2,1303.0,558.5,469.3,455.0,332.6,1039.0,219.8,407.2,309.9,714.5,502.1,510.2,393.4,466.6,322.6,381.2,566.0,423.2,242.6,327.6,685.0,337.2,309.9,499.9,269.6,391.7,329.2,746.0,291.5
マイジャグラーV,1025,325.7,227.1,262.1,227.4,298.8,317.5,499.8,435.2,1525.0,230.3,310.0,2151.0,,556.3,249.2,325.2,1322.0,278.5,467.6,259.3,295.2,391.1,274.0,534.6,502.7,461.4,,320.4,334.1,367.6,411.4,288.7,302.3,403.9,329.9,348.7,501.5,622.7,312.0,378.7,352.3,361.1,312.8,448.0,175.5,431.0,361.0,345.0,563.0,296.2,441.1,590.5,414.3,483.2,278.9,397.6,300.5,408.3
マイジャグラーV,1026,380.3,,403.9,305.5,695.2,420.7,466.0,583.2,352.6,429.8,277.2,281.9,358.5,461.8,530.4,672.0,288.3,319.0,1018.2,553.2,379.1,447.6,400.8,449.6,379.9,295.1,342.8,284.7,708.3,584.4,418.0,401.7,344.9,555.6,259.8,542.7,437.8,471.7,273.8,344.2,333.2,301.6,251.2,281.3,427.5,386.2,739.0,358.6,440.4,418.5,756.0,340.3,291.2,535.0,,554.1,600.4,267.2
マイジャグラーV,1027,353.6,849.5,261.3,357.6,317.9,319.9,240.8,320.6,392.8,326.5,482.4,387.4,372.0,256.4,419.0,632.5,266.8,558.8,282.1,524.0,369.2,378.2,411.8,276.0,657.7,404.3,523.7,315.4,414.9,318.4,444.1,333.2,373.3,508.9,371.8,624.2,377.8,277.9,368.6,547.0,435.3,645.0,600.1,262.6,402.1,863.0,367.7,343.2,344.1,435.6,348.9,585.5,419.3,263.1,224.0,711.7,470.2,458.1
マイジャグラーV,1028,322.2,,360.5,275.5,342.8,416.5,295.0,304.2,345.6,475.0,301.2,365.3,269.5,272.2,324.6,273.2,,388.8,211.4,384.8,382.7,233.3,2507.0,404.4,339.6,359.3,495.8,308.2,578.5,296.6,948.0,308.0,338.7,390.6,322.1,333.0,237.8,336.7,322.2,305.7,320.6,275.2,283.4,325.2,513.5,334.4,558.0,274.8,365.0,1070.0,308.2,377.5,640.5,284.9,390.3,341.5,212.8,361.7
マイジャグラーV,1029,392.1,593.7,582.1,300.5,568.9,476.8,,488.3,269.2,1488.0,359.5,575.3,,242.7,317.5,737.5,409.4,288.7,554.0,492.1,462.0,598.2,503.7,488.3,1945.0,423.7,496.0,286.0,359.0,266.8,451.5,475.9,292.7,739.0,523.6,417.7,,499.6,488.8,352.2,305.8,933.3,431.3,302.5,,600.0,364.2,364.6,337.7,288.3,308.8,523.3,,366.9,1228.0,376.4,324.4,501.0
マイジャグラーV,1030,353.9,520.9,1877.0,236.7,323.1,1107.0,320.4,393.4,493.8,326.3,323.9,1437.5,348.3,470.8,239.0,681.5,,378.1,307.8,257.1,232.5,363.3,412.3,341.3,716.5,452.2,481.4,383.1,282.6,579.8,478.3,278.0,261.9,756.3,446.1,624.4,325.8,298.5,414.7,277.7,307.0,300.2,749.0,401.1,452.5,353.1,287.9,584.3,317.0,752.0,382.2,356.1,305.2,372.9,657.5,340.0,989.0,359.6
マイジャグラーV,1031,340.7,528.7,286.6,367.1,523.6,400.2,378.4,300.7,256.0,420.0,294.2,346.6,643.0,268.7,,236.0,411.1,667.9,420.8,311.7,,589.6,463.2,203.4,279.3,479.0,677.0,485.3,634.5,324.7,602.0,276.0,393.5,437.8,496.6,466.7,520.0,248.4,1118.0,580.4,267.4,699.0,416.5,372.5,599.5,704.5,581.0,223.0,243.9,279.4,328.7,230.1,318.6,372.8,274.1,396.3,344.4,299.6
マイジャグラーV,1032,349.3,816.5,392.8,532.5,321.7,569.3,366.6,341.2,318.8,336.0,470.9,324.7,477.8,247.5,,401.3,463.0,328.7,437.7,450.9,293.3,322.5,920.0,408.5,373.8,422.2,441.9,182.1,357.6,430.8,385.5,264.1,321.1,769.5,448.3,427.8,445.0,316.9,461.2,341.7,192.6,313.2,462.4,334.4,395.0,319.5,286.3,244.3,463.0,533.0,292.0,257.0,490.5,357.9,536.6,410.4,339.0,234.9
マイジャグラーV,1033,380.7,498.2,446.8,370.1,327.1,332.7,,491.4,371.1,344.3,343.4,266.8,667.6,578.8,371.2,1657.0,335.5,314.9,,356.1,324.2,267.6,347.0,379.2,337.2,395.9,376.2,503.5,,322.8,274.4,389.5,298.9,500.6,390.8,,343.5,384.5,527.8,343.6,428.0,300.8,360.1,456.4,423.1,387.2,435.3,457.6,412.3,383.7,638.6,2274.0,438.9,245.1,937.3,526.2,441.5,356.0
マイジャグラーV,1034,349.1,436.2,353.2,253.6,381.1,460.5,309.8,393.2,513.5,352.8,512.2,442.0,825.0,402.7,519.8,360.8,503.0,288.4,442.5,496.2,388.1,569.5,360.9,267.0,361.1,235.0,310.5,223.6,482.9,753.8,971.0,483.2,395.7,390.3,317.4,360.2,327.8,413.2,515.6,428.6,581.6,301.0,313.6,276.5,492.9,254.9,412.5,368.4,330.2,775.0,344.4,338.8,448.2,221.4,277.2,445.5,589.0,402.5
マイジャグラーV,1035,347.1,293.0,304.3,425.5,363.3,1416.0,295.5,296.5,448.0,717.5,581.7,487.1,256.9,203.3,401.0,410.8,295.2,378.9,269.5,401.8,,360.0,469.8,376.8,445.5,421.9,287.1,633.0,,264.1,,364.0,329.7,315.2,,337.5,433.0,217.3,368.8,399.8,326.8,616.0,412.0,385.1,376.4,379.0,1311.0,351.9,272.9,290.2,945.0,522.7,370.6,264.2,409.6,363.3,400.8,375.5
マイジャグラーV,1036,343.3,289.2,479.7,450.7,478.8,399.0,623.0,248.4,313.0,271.8,243.0,327.8,526.3,627.5,571.4,274.0,222.5,608.9,322.6,509.8,249.2,624.0,432.9,218.5,399.7,691.8,,497.9,224.6,456.3,550.0,324.0,251.8,453.9,599.3,293.7,,446.1,304.6,1121.0,,560.4,315.8,287.9,262.1,1245.0,385.5,399.8,1475.0,,339.6,364.0,406.8,336.3,256.2,318.7,328.1,288.2
マイジャグラーV,1037,352.2,579.0,385.3,399.6,1062.0,296.2,331.0,545.5,262.9,244.0,332.3,429.6,261.9,343.2,,351.3,318.4,393.6,592.6,221.1,440.0,284.9,544.5,685.8,375.8,699.8,306.8,303.8,223.4,609.1,268.2,542.0,311.0,370.8,449.6,320.6,693.0,403.9,416.6,390.8,303.3,328.2,614.3,263.7,,331.4,352.3,440.0,672.3,465.3,1396.0,368.1,246.7,329.0,291.5,579.0,1195.0,288.1
マイジャグラーV,1038,384.9,325.8,648.3,311.9,420.1,357.4,360.4,361.4,295.8,683.0,563.2,271.1,,319.7,353.1,739.0,864.0,458.4,799.1,,404.2,482.5,404.1,581.9,411.2,722.2,1062.0,312.4,,486.0,339.2,457.1,344.6,348.5,369.7,293.1,513.7,400.7,431.2,568.4,387.6,287.5,385.9,355.9,374.0,503.5,351.3,631.3,452.7,263.3,261.8,354.5,277.4,395.0,361.9,463.0,481.9,343.0
マイジャグラーV,1039,356.8,231.8,273.9,676.8,252.2,479.3,735.0,357.3,418.0,319.0,251.5,351.7,728.6,863.0,,339.4,327.8,472.0,632.5,332.9,,674.3,485.9,327.3,277.0,984.5,1297.0,484.5,559.2,355.9,346.6,366.9,331.1,413.5,725.0,447.5,216.4,787.2,414.9,322.2,348.1,595.0,963.0,653.0,565.9,393.0,299.8,427.2,257.8,306.7,345.0,497.8,379.8,246.9,547.0,267.1,850.8,194.9
マイジャグラーV,1040,348.0,277.6,307.9,308.0,289.2,325.2,263.4,820.0,461.5,1231.0,299.2,344.5,598.5,716.7,229.8,,255.3,490.2,283.0,,567.2,303.0,259.3,318.6,,305.6,394.5,501.4,540.2,425.0,592.5,367.5,367.5,357.2,341.4,272.0,462.0,350.3,315.6,301.5,410.7,359.6,511.4,341.8,495.2,234.8,1456.0,2258.0,,455.5,,639.7,274.0,325.4,491.2,306.6,370.5,342.8
マイジャグラーV,1041,362.2,325.8,281.8,316.9,261.8,379.2,399.5,382.2,428.7,488.0,302.1,391.8,1110.8,468.9,307.3,237.3,716.5,366.2,610.6,332.1,573.0,344.6,315.4,265.2,372.6,687.8,266.1,273.9,394.9,535.8,686.2,583.5,546.1,366.3,365.0,391.8,450.9,492.5,711.6,413.5,335.3,426.1,235.6,356.0,444.5,310.7,312.6,386.1,449.0,404.4,1507.5,398.2,748.7,259.3,397.1,210.2,413.4,352.5
マイジャグラーV,1042,352.4,553.8,632.8,222.7,633.6,762.5,426.9,384.0,321.4,439.8,322.5,377.6,604.1,372.4,404.1,349.1,272.3,279.7,312.8,,1062.0,333.3,338.0,329.4,335.4,399.6,268.8,317.5,456.6,374.4,304.2,403.0,276.5,404.5,537.0,327.4,658.3,382.0,324.1,339.4,397.6,444.3,658.5,323.0,244.4,394.5,301.1,394.9,342.9,353.2,346.5,273.9,427.8,389.0,681.7,230.4,362.2,363.0
マイジャグラーV,1043,343.3,260.6,342.2,366.8,290.6,264.4,278.6,234.9,390.0,350.6,271.8,862.5,873.0,338.5,,413.4,297.3,309.2,348.7,382.9,374.2,432.4,396.3,512.3,292.5,373.8,,320.4,549.1,386.6,416.6,530.6,428.1,387.1,,804.3,305.1,308.4,272.2,368.9,325.2,268.0,528.0,430.4,374.1,1110.0,329.4,340.2,304.4,446.0,280.2,895.0,428.6,310.4,335.4,462.0,496.3,263.4
マイジャグラーV,1044,344.6,356.9,245.9,452.0,308.0,343.5,510.8,465.0,293.8,317.7,283.3,310.8,287.3,229.2,549.5,711.5,281.2,422.6,448.3,256.2,448.2,343.1,1040.0,256.6,595.5,341.7,306.3,276.5,346.1,318.0,453.9,466.5,353.8,327.4,298.1,1337.0,,401.5,384.7,711.5,647.7,336.7,486.6,339.7,799.5,335.3,302.8,636.0,722.5,1712.0,335.2,256.2,407.5,336.0,1444.0,264.2,301.1,359.7
マイジャグラーV,1045,353.2,303.2,489.0,274.1,419.4,738.5,347.9,377.2,541.6,449.2,300.1,273.8,343.5,572.7,798.5,361.5,279.6,481.5,553.3,219.4,476.2,315.7,481.2,489.7,383.3,330.4,333.4,262.8,493.2,524.7,229.6,340.2,290.3,330.2,955.0,484.3,437.4,,442.9,296.0,,433.8,379.2,332.9,450.4,298.9,281.2,296.3,721.5,891.0,799.8,339.1,906.0,428.3,222.2,391.3,507.5,224.4
マイジャグラーV,1046,339.3,253.5,565.3,233.4,388.6,366.1,1372.0,394.9,380.7,,579.2,246.4,327.6,280.2,898.0,547.5,519.0,382.8,514.1,358.3,392.5,273.0,469.1,421.5,486.1,366.3,,277.6,466.0,361.2,,298.2,301.7,305.4,380.9,277.7,401.1,285.5,1124.5,288.5,267.6,241.6,471.2,516.4,643.0,754.5,364.5,495.8,502.7,385.0,243.5,328.4,263.3,366.7,302.3,413.7,288.1,273.1
マイジャグラーV,1047,321.1,262.3,602.4,879.7,392.8,462.8,340.4,343.2,270.2,255.4,551.0,382.8,1373.0,320.0,428.8,574.0,298.2,220.5,239.0,451.1,740.5,283.7,316.1,367.6,488.2,368.7,463.8,357.0,376.9,620.2,343.4,299.1,384.7,671.2,701.0,,363.0,313.2,382.8,260.3,342.8,1273.0,298.8,308.9,188.6,317.4,486.6,288.8,360.0,347.0,312.9,289.8,334.9,230.2,309.3,217.5,354.6,274.7
マイジャグラーV,1048,328.7,438.2,207.3,323.0,491.0,390.3,363.1,332.7,391.7,,366.0,458.0,419.1,508.5,418.3,285.4,309.7,231.6,615.5,280.7,435.0,562.0,289.9,357.7,448.6,377.4,379.3,451.8,401.3,297.8,617.5,346.6,330.5,299.5,255.8,311.9,280.3,333.3,283.0,335.5,697.5,453.6,242.7,380.6,431.4,545.0,308.5,413.8,1377.0,,310.3,200.2,262.8,350.1,403.8,360.9,488.8,232.2
マイジャグラーV,1049,379.8,413.2,200.6,314.1,345.9,299.5,1172.0,254.9,444.7,289.8,652.8,465.4,1067.0,345.6,374.7,393.4,640.0,265.2,594.7,948.3,349.5,701.7,385.4,342.0,323.9,443.2,326.7,490.1,550.0,369.4,1160.0,575.0,325.9,377.6,511.7,511.0,600.5,883.3,,419.6,360.6,,363.0,523.9,787.7,420.5,303.4,380.3,255.8,481.0,366.3,,269.4,322.1,400.0,540.8,732.3,367.8
マイジャグラーV,1050,364.4,282.8,229.6,530.8,282.8,372.8,258.3,292.7,472.2,718.5,301.0,399.9,279.6,415.7,508.7,313.1,413.7,285.0,420.8,442.8,300.3,783.9,359.5,976.8,638.8,331.5,530.6,346.4,222.5,844.0,402.7,284.6,304.6,386.4,661.3,477.8,387.2,546.4,348.0,284.1,568.4,684.0,441.7,256.9,342.7,370.6,312.9,361.1,543.9,327.2,276.0,366.6,509.0,421.2,538.6,434.6,365.1,541.2
マイジャグラーV,1069,355.5,625.0,397.2,420.3,375.2,417.3,482.2,1010.0,282.6,288.2,229.9,237.8,242.2,355.5,880.0,414.0,298.3,358.4,260.6,268.4,340.4,345.0,390.8,301.3,552.5,361.7,388.6,291.8,343.5,433.8,300.7,355.7,286.7,270.5,886.7,342.2,748.0,1079.5,583.8,234.5,332.1,559.1,588.5,253.7,525.2,470.6,591.7,1334.7,1834.0,330.1,290.9,459.5,655.0,308.3,545.1,585.7,279.9,256.3
マイジャグラーV,1070,377.4,1015.0,305.1,570.8,306.3,470.8,367.6,606.9,345.3,451.0,271.9,270.4,698.2,494.6,359.5,,,271.6,324.6,585.7,436.1,742.6,831.0,402.6,304.9,441.3,449.0,366.1,1090.0,343.8,340.8,205.5,324.7,302.1,429.9,690.7,329.2,787.2,529.2,529.0,607.0,446.2,306.2,532.9,303.4,328.6,335.4,389.8,635.0,343.4,357.5,481.4,491.6,439.1,1189.0,408.4,284.4,478.0
マイジャグラーV,1071,335.5,517.0,495.9,282.3,336.6,639.3,516.4,326.3,436.0,874.5,221.4,673.4,258.2,215.3,626.0,295.2,1355.0,693.2,366.2,291.9,429.0,328.4,279.5,335.1,281.2,324.9,612.3,586.8,714.8,475.3,332.2,299.6,293.7,279.2,359.5,,638.5,424.6,336.9,291.6,190.0,250.8,621.5,509.3,343.6,303.3,324.2,331.2,676.0,519.5,281.1,304.8,483.6,311.7,960.0,271.7,338.1,489.0
マイジャグラーV,1072,350.5,551.7,471.5,377.8,421.9,574.4,806.2,522.2,209.1,881.3,505.0,387.3,439.8,287.0,557.0,458.7,296.3,530.1,236.3,318.1,330.2,753.8,313.8,334.3,397.2,516.5,350.6,332.2,512.5,383.6,292.4,761.6,237.7,371.7,356.9,289.2,414.0,261.2,491.8,337.0,288.4,371.8,316.5,355.4,225.5,,920.5,231.8,550.5,433.0,577.9,311.2,522.2,379.1,461.0,299.0,304.2,231.7
