model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1125,368.4,616.0,215.2,485.4,329.0,315.3,615.5,284.4,,325.8,397.4,457.0,309.5,324.8,349.0,279.0,,356.9,397.3,586.3,246.0,335.3,1103.0,412.7,1151.0,504.8,426.2,259.2,671.2,276.9,355.8,827.0,607.3,691.0,493.7,540.5,300.2,310.9,379.9,584.8,531.5,388.2,354.2,301.7,386.7,,,,,,,,,,,,,
アイムジャグラーEX-TP,1126,371.3,,403.6,264.6,428.1,542.0,635.3,213.8,247.8,506.0,,620.3,389.0,367.5,884.0,1223.0,468.9,473.3,498.4,,482.1,609.5,382.7,295.4,282.1,328.2,751.0,533.6,719.5,439.5,215.7,444.7,414.2,292.7,356.8,314.5,249.2,1346.5,242.3,349.8,365.4,1215.0,409.8,351.2,281.1,,,,,,,,,,,,,
アイムジャグラーEX-TP,1127,335.8,279.9,328.8,485.1,335.8,491.8,402.7,1064.0,333.5,367.0,604.9,360.4,214.5,411.8,,835.5,710.0,294.6,360.3,991.0,392.0,798.5,323.8,362.2,431.0,572.7,558.5,316.2,376.6,458.0,443.2,431.6,203.3,273.7,621.0,232.1,541.0,500.0,501.2,1057.5,417.0,341.3,204.6,587.1,203.4,,,,,,,,,,,,,
アイムジャグラーEX-TP,1128,349.4,565.0,1617.0,410.8,336.6,225.8,620.0,254.3,,591.0,338.4,622.4,436.5,357.2,450.5,780.0,900.2,777.2,304.1,604.8,169.8,901.0,346.8,319.6,437.0,736.8,195.4,313.9,1390.0,288.6,478.0,431.2,243.0,375.5,1345.0,,294.5,217.1,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1129,333.9,504.5,377.3,379.3,862.0,224.2,390.9,349.3,361.0,715.3,290.9,239.1,365.5,266.8,507.0,271.8,375.7,443.5,303.8,649.0,265.6,499.6,591.9,249.6,448.2,469.0,411.4,369.1,332.2,637.7,644.0,1037.5,341.5,283.3,242.6,554.0,373.0,251.0,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1130,378.2,,356.2,341.1,1122.0,,835.5,,535.8,,398.7,367.1,512.6,327.1,624.0,532.2,894.5,457.8,320.7,341.4,,551.7,683.0,402.8,1600.0,364.1,394.8,395.8,546.2,418.7,271.6,465.9,672.0,194.4,,423.3,240.8,303.4,557.0,520.0,575.5,301.1,392.9,495.7,616.3,368.6,253.2,607.2,302.0,,230.5,309.9,393.6,795.2,274.1,413.1,285.9,289.5
アイムジャグラーEX-TP,1131,367.7,,227.9,704.5,328.5,317.8,494.8,258.9,418.6,703.0,428.1,1232.5,454.0,314.8,547.0,842.0,283.7,771.4,218.2,1378.0,398.0,744.0,,844.6,573.2,251.9,,435.2,959.0,416.6,918.0,374.5,381.7,316.9,327.9,491.6,363.5,295.2,374.3,225.1,376.0,600.5,202.1,374.9,251.2,512.2,1212.0,371.1,387.0,397.0,304.3,350.8,550.2,374.5,1438.0,314.7,350.4,412.0
アイムジャグラーEX-TP,1132,341.7,228.9,580.3,330.4,386.8,653.3,236.8,435.8,401.8,312.1,263.7,1724.0,751.5,395.7,319.4,393.5,,279.0,1200.0,696.7,583.0,428.2,557.0,277.8,217.6,386.3,489.7,455.3,389.4,620.2,512.5,320.6,321.9,292.0,396.2,416.5,452.4,229.4,614.3,415.5,648.0,380.9,241.8,349.3,394.7,373.5,560.0,257.7,204.0,258.7,332.8,231.9,773.0,612.7,,675.3,283.8,295.4
アイムジャグラーEX-TP,1133,362.3,520.0,476.2,577.1,370.6,307.2,232.8,251.0,356.2,520.0,277.5,1225.0,411.0,348.8,433.0,256.2,337.3,726.5,617.0,563.0,264.1,584.0,305.7,612.8,539.0,,325.8,325.0,387.8,268.6,273.2,531.4,405.3,273.6,647.3,,707.2,,404.7,113.4,732.0,,333.0,370.7,301.7,366.3,427.6,422.8,313.2,667.3,173.4,455.2,1007.3,293.4,,304.6,325.8,392.4
アイムジャグラーEX-TP,1134,376.2,571.0,695.5,233.7,833.0,463.5,387.1,1198.0,245.0,438.8,449.8,226.1,484.0,567.8,433.5,349.9,,786.7,537.6,448.2,125.8,260.9,360.3,691.4,405.2,305.3,411.0,532.6,353.1,580.3,439.2,648.4,432.0,441.0,317.5,286.5,228.4,349.2,490.0,501.2,323.0,309.9,304.8,556.2,383.0,945.5,277.1,300.8,214.1,327.4,975.0,470.6,918.5,443.6,431.7,473.7,990.0,281.6
アイムジャグラーEX-TP,1135,347.6,272.9,1413.0,276.8,334.9,462.0,344.3,879.0,,219.4,714.8,373.7,255.0,274.4,433.3,280.0,389.2,353.3,395.7,,375.4,,,267.2,246.6,384.4,,392.0,294.1,419.7,,287.3,421.3,477.0,458.2,534.7,,329.7,235.3,397.8,,475.8,342.6,454.1,444.3,490.6,235.6,373.7,,349.9,526.7,595.4,400.2,385.9,239.2,976.0,489.3,533.0
アイムジャグラーEX-TP,1136,355.8,,481.0,299.4,353.7,234.2,514.7,289.8,429.0,473.3,384.1,260.3,290.1,299.0,290.0,365.9,347.5,323.2,605.1,423.4,725.0,228.2,1427.0,325.6,380.0,352.1,592.8,319.7,791.0,853.6,361.5,893.2,236.9,309.0,,298.1,311.7,273.0,882.0,415.4,361.1,370.4,382.9,409.8,228.1,501.0,263.6,536.6,537.2,345.1,278.6,876.6,331.6,1183.2,,292.1,426.7,629.5
アイムジャグラーEX-TP,1151,375.4,,324.8,477.2,303.1,576.8,366.8,430.3,272.6,480.0,704.2,295.2,466.5,343.9,511.1,355.0,627.5,393.6,551.3,,378.6,1468.0,358.6,410.7,405.9,931.8,953.5,456.5,,549.0,460.3,507.9,279.7,249.3,633.5,778.0,639.0,502.8,529.6,287.5,1060.0,213.9,367.7,267.6,363.8,394.5,309.8,457.7,416.5,422.7,199.2,285.8,569.0,301.5,719.5,320.4,336.8,255.6
アイムジャグラーEX-TP,1152,358.1,343.0,383.4,327.7,270.1,249.0,374.6,692.7,,514.0,382.7,378.2,,477.3,300.5,348.5,647.2,516.4,570.8,1404.0,,619.5,378.8,294.6,285.1,823.2,929.0,431.2,284.0,218.1,407.5,363.1,260.9,432.4,,514.2,460.5,957.0,284.3,373.2,564.7,730.0,635.5,343.4,396.2,391.5,206.3,307.2,353.6,670.0,292.4,538.7,890.0,670.0,280.8,327.4,620.7,230.5
アイムジャグラーEX-TP,1153,367.7,,439.6,455.8,374.6,650.5,1019.0,444.7,335.5,348.2,276.9,,354.7,234.1,276.0,306.0,507.7,363.2,380.3,275.4,614.0,372.1,295.0,402.1,400.1,414.7,,525.6,421.8,307.2,499.9,387.4,303.8,301.8,,644.0,398.7,450.3,860.0,,547.0,324.0,787.5,321.3,1435.0,296.6,584.0,300.6,,292.7,382.6,367.5,275.8,657.1,366.8,266.8,317.9,301.2
アイムジャグラーEX-TP,1154,365.9,566.0,441.3,900.3,,399.0,514.0,215.6,742.0,266.8,532.6,401.2,304.0,316.2,647.5,254.4,201.4,526.1,447.3,881.0,580.0,317.0,277.4,372.6,,387.4,411.6,482.6,505.8,316.8,483.1,317.9,259.1,513.6,451.6,444.1,257.4,390.6,438.5,413.0,346.0,675.0,548.7,420.2,319.0,,552.5,224.6,331.7,497.4,369.3,265.9,,275.7,458.7,560.8,491.0,411.5
アイムジャグラーEX-TP,1155,369.4,282.9,922.5,434.8,290.9,222.6,796.7,421.7,1106.0,616.7,431.5,459.6,318.4,272.6,589.7,250.4,398.2,416.0,490.9,565.0,,404.3,340.7,312.6,298.3,303.0,,580.6,600.0,544.0,328.4,1427.0,400.3,202.1,,286.2,220.0,272.0,2131.0,1070.5,571.0,703.3,308.1,671.5,566.4,385.8,247.4,548.0,340.4,195.6,1170.0,357.6,1987.0,282.0,511.4,365.9,649.0,712.6
ウルトラミラクルジャグラー,1115,392.9,,592.4,313.8,865.5,394.3,1701.0,373.6,620.0,254.7,308.7,356.9,306.6,526.7,311.9,,752.8,450.2,357.3,363.0,907.0,521.5,1497.0,582.3,377.7,438.2,345.6,366.1,357.2,479.0,323.8,434.8,307.3,328.5,338.5,239.1,327.8,326.2,332.6,612.8,591.3,275.4,937.0,333.9,413.3,827.3,,335.6,432.2,314.8,387.1,525.7,378.7,786.7,466.2,415.5,250.5,441.2
ウルトラミラクルジャグラー,1116,395.6,343.6,368.3,378.3,215.2,,429.5,434.0,956.0,911.0,,548.6,320.3,245.2,916.0,340.5,,575.3,550.0,277.5,991.0,1433.0,329.7,339.3,212.5,571.7,545.5,662.2,,383.0,340.6,862.0,378.6,582.0,419.1,391.7,414.6,367.2,490.4,431.8,,1037.0,654.3,298.6,411.3,1128.0,476.2,505.2,594.5,267.8,376.8,333.6,439.6,428.1,272.0,208.5,224.0,439.7
