,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-03-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-02-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-12-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-11-14 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,5645,-1662,17,9,0.902,627.2,217.1,1869.0,-574.0,5.0,3.0,0.898,623.0,233.6,3776.0,-1088.0,12.0,6.0,0.904,629.3,209.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1101,10597,6497,59,48,1.204,220.8,99.0,2422.0,2532.0,19.0,8.0,1.348,302.8,89.7,8175.0,3965.0,40.0,40.0,1.162,204.4,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1102,4005,-1326,10,7,0.89,572.1,235.6,1467.0,-297.0,4.0,4.0,0.933,366.8,183.4,2538.0,-1029.0,6.0,3.0,0.865,846.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1103,4398,-488,14,9,0.963,488.7,191.2,1265.0,-126.0,4.0,2.0,0.967,632.5,210.8,3133.0,-362.0,10.0,7.0,0.961,447.6,184.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1104,7706,544,33,18,1.024,428.1,151.1,1823.0,1029.0,11.0,5.0,1.188,364.6,113.9,5883.0,-485.0,22.0,13.0,0.973,452.5,168.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1105,8436,-768,31,16,0.97,527.2,179.5,3195.0,-21.0,12.0,7.0,0.998,456.4,168.2,5241.0,-747.0,19.0,9.0,0.952,582.3,187.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1106,968,-515,2,1,0.823,968.0,322.7,968.0,-515.0,2.0,1.0,0.823,968.0,322.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1123,8244,-156,31,21,0.994,392.6,158.5,4035.0,-241.0,14.0,12.0,0.98,336.2,155.2,4209.0,85.0,17.0,9.0,1.007,467.7,161.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
