,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5more
309,楽園大山店,2025-06-26,マイジャグラーV,3003,6938,35,18,2143,198.2,385.4,5.77,130.9,2025-06,26,3,2025,3,d: MJV,0.26
310,楽園大山店,2025-06-25,ハッピージャグラーVIII,2626,2443,4,6,-1571,610.8,407.2,0.0,244.3,2025-06,25,2,2025,6,g: HJV3,0.0
311,楽園大山店,2025-06-25,ハッピージャグラーVIII,2627,833,4,1,96,208.2,833.0,0.0,166.6,2025-06,25,2,2025,7,g: HJV3,0.0
312,楽園大山店,2025-06-25,ハッピージャグラーVIII,2628,8503,47,23,3953,180.9,369.7,0.0,121.5,2025-06,25,2,2025,8,g: HJV3,0.35
313,楽園大山店,2025-06-25,マイジャグラーV,2630,4714,14,8,-1762,336.7,589.2,6.23,214.3,2025-06,25,2,2025,0,b: MJV,0.0
314,楽園大山店,2025-06-25,マイジャグラーV,2631,2477,9,3,-476,275.2,825.7,5.91,206.4,2025-06,25,2,2025,1,b: MJV,0.0
315,楽園大山店,2025-06-25,マイジャグラーV,2632,6829,18,25,-1095,379.4,273.2,5.75,158.8,2025-06,25,2,2025,2,b: MJV,0.29
316,楽園大山店,2025-06-25,マイジャグラーV,2633,2412,9,4,-190,268.0,603.0,5.71,185.5,2025-06,25,2,2025,3,b: MJV,0.0
317,楽園大山店,2025-06-25,マイジャグラーV,2635,9172,45,41,4619,203.8,223.7,5.58,106.7,2025-06,25,2,2025,5,b: MJV,0.99
318,楽園大山店,2025-06-25,マイジャグラーV,2636,7555,30,26,1238,251.8,290.6,5.65,134.9,2025-06,25,2,2025,6,b: MJV,0.55
319,楽園大山店,2025-06-25,マイジャグラーV,2637,8902,38,28,1286,234.3,317.9,5.91,134.9,2025-06,25,2,2025,7,b: MJV,0.32
320,楽園大山店,2025-06-25,マイジャグラーV,2638,8834,35,33,1429,252.4,267.7,5.76,129.9,2025-06,25,2,2025,8,b: MJV,0.67
321,楽園大山店,2025-06-25,マイジャグラーV,2650,1528,5,1,-476,305.6,1528.0,5.82,254.7,2025-06,25,2,2025,0,c: MJV,0.0
322,楽園大山店,2025-06-25,マイジャグラーV,2651,7528,23,27,-571,327.3,278.8,5.79,150.6,2025-06,25,2,2025,1,c: MJV,0.33
323,楽園大山店,2025-06-25,マイジャグラーV,2652,715,1,0,-619,715.0,0.0,6.01,715.0,2025-06,25,2,2025,2,c: MJV,0.0
324,楽園大山店,2025-06-25,マイジャグラーV,2653,8712,42,26,2715,207.4,335.1,5.7,128.1,2025-06,25,2,2025,3,c: MJV,0.47
325,楽園大山店,2025-06-25,マイジャグラーV,2655,4634,19,10,143,243.9,463.4,5.82,159.8,2025-06,25,2,2025,5,c: MJV,0.0
326,楽園大山店,2025-06-25,マイジャグラーV,2656,5762,26,15,1191,221.6,384.1,5.67,140.5,2025-06,25,2,2025,6,c: MJV,0.22
327,楽園大山店,2025-06-25,マイジャグラーV,2657,7177,27,16,-666,265.8,448.6,6.04,166.9,2025-06,25,2,2025,7,c: MJV,0.01
328,楽園大山店,2025-06-25,マイジャグラーV,2658,6247,24,16,-142,260.3,390.4,5.95,156.2,2025-06,25,2,2025,8,c: MJV,0.05
329,楽園大山店,2025-06-25,マイジャグラーV,2660,1613,4,4,-381,403.2,403.2,5.46,201.6,2025-06,25,2,2025,0,c: MJV,0.0
330,楽園大山店,2025-06-25,マイジャグラーV,2661,8780,34,30,1191,258.2,292.7,5.66,137.2,2025-06,25,2,2025,1,c: MJV,0.51
331,楽園大山店,2025-06-25,マイジャグラーV,2662,3258,9,6,-1238,362.0,543.0,6.09,217.2,2025-06,25,2,2025,2,c: MJV,0.0
332,楽園大山店,2025-06-25,マイジャグラーV,2663,1493,4,1,-666,373.2,1493.0,5.8,298.6,2025-06,25,2,2025,3,c: MJV,0.0
333,楽園大山店,2025-06-25,マイジャグラーV,2665,4348,14,12,-571,310.6,362.3,5.86,167.2,2025-06,25,2,2025,5,c: MJV,0.0
334,楽園大山店,2025-06-25,マイジャグラーV,2666,7265,20,23,-1714,363.2,315.9,6.0,169.0,2025-06,25,2,2025,6,c: MJV,0.05
335,楽園大山店,2025-06-25,マイジャグラーV,2667,4430,18,10,143,246.1,443.0,5.82,158.2,2025-06,25,2,2025,7,c: MJV,0.0
