area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s: ハッピージャグラーVIII,1141,24905,106,102,66,1.001,377.3,148.2,6078,15,23,17,1.001,357.5,152.0,2933,-356,12,6,0.96,488.8,162.9,1668,991,9,8,1.198,208.5,98.1,1161,-150,5,1,0.957,1161.0,193.5,3372,-1500,9,7,0.852,481.7,210.8,3395,-809,10,8,0.921,424.4,188.6,6298,1915,34,19,1.101,331.5,118.8
s: ハッピージャグラーVIII,1142,35339,4638,153,107,1.044,330.3,135.9,2937,-1465,7,3,0.834,979.0,293.7,1576,-591,4,3,0.875,525.3,225.1,8245,2144,38,28,1.087,294.5,124.9,4364,-674,15,10,0.949,436.4,174.6,7773,418,28,31,1.018,250.7,131.7,3926,3353,30,11,1.285,356.9,95.8,6518,1453,31,21,1.074,310.4,125.3
s: ハッピージャグラーVIII,1143,38297,-1911,135,126,0.983,303.9,146.7,3553,-747,11,8,0.93,444.1,187.0,5068,-1041,16,16,0.932,316.8,158.4,6785,626,24,28,1.031,242.3,130.5,3922,-1288,11,11,0.891,356.5,178.3,5277,-591,20,13,0.963,405.9,159.9,7061,1065,27,30,1.05,235.4,123.9,6631,65,26,20,1.003,331.6,144.2
t: ジャグラーガールズ,1145,44518,1579,182,129,1.012,345.1,143.1,5609,335,26,11,1.02,509.9,151.6,5154,-1241,15,16,0.92,322.1,166.3,5977,1335,27,20,1.074,298.8,127.2,4874,-1347,15,11,0.908,443.1,187.5,6061,771,28,16,1.042,378.8,137.8,7519,429,28,27,1.019,278.5,136.7,9324,1297,43,28,1.046,333.0,131.3
t: ジャグラーガールズ,1146,28071,3077,122,76,1.037,369.4,141.8,6868,594,30,16,1.029,429.2,149.3,883,-350,3,1,0.868,883.0,220.8,1931,-609,6,1,0.895,1931.0,275.9,2010,9,7,8,1.001,251.2,134.0,6828,1312,34,15,1.064,455.2,139.3,2960,-879,7,11,0.901,269.1,164.4,6591,3000,35,24,1.152,274.6,111.7
t: ジャグラーガールズ,1147,38498,1129,149,122,1.01,315.6,142.1,4567,-185,17,13,0.986,351.3,152.2,6823,544,26,25,1.027,272.9,133.8,8826,2532,41,37,1.096,238.5,113.2,7132,406,28,21,1.019,339.6,145.6,5158,-1512,16,11,0.902,468.9,191.0,4456,300,19,10,1.022,445.6,153.7,1536,-956,2,5,0.793,307.2,219.4
t: ジャグラーガールズ,1148,38808,2044,148,136,1.018,285.4,136.6,5024,468,22,12,1.031,418.7,147.8,4557,-215,15,16,0.984,284.8,147.0,7662,1371,33,28,1.06,273.6,125.6,4116,279,18,9,1.023,457.3,152.4,6979,250,25,31,1.012,225.1,124.6,9239,535,32,40,1.019,231.0,128.3,1231,-644,3,0,0.826,,410.3
t: ジャグラーガールズ,1149,21417,-1899,76,64,0.97,334.6,153.0,1724,-1276,2,5,0.753,344.8,246.3,1016,-497,3,1,0.837,1016.0,254.0,2285,462,10,9,1.067,253.9,120.3,2275,97,10,3,1.014,758.3,175.0,8544,1006,36,30,1.039,284.8,129.5,1588,-638,4,3,0.866,529.3,226.9,3985,-1053,11,13,0.912,306.5,166.0
t: ジャグラーガールズ,1150,44450,-1009,161,155,0.992,286.8,140.7,6436,418,26,18,1.022,357.6,146.3,6959,-782,20,26,0.963,267.7,151.3,3260,-1171,9,3,0.88,1086.7,271.7,7173,1191,30,32,1.055,224.2,115.7,5620,-665,20,15,0.961,374.7,160.6,6747,532,27,25,1.026,269.9,129.8,8255,-532,29,36,0.979,229.3,127.0
u: アイムジャグラーEX-TP,1151,35546,-2824,115,119,0.974,298.7,151.9,2863,-297,11,6,0.965,477.2,168.4,7478,159,26,30,1.007,249.3,133.5,2772,-850,8,3,0.898,924.0,252.0,3492,-750,10,9,0.928,388.0,183.8,7001,-215,24,25,0.99,280.0,142.9,4636,-1218,12,16,0.912,289.8,165.6,7304,347,24,30,1.016,243.5,135.3
u: アイムジャグラーEX-TP,1152,42585,29,156,129,1.0,330.1,149.4,6226,-897,18,19,0.952,327.7,168.3,4756,-938,15,11,0.934,432.4,182.9,7544,806,30,24,1.036,314.3,139.7,6802,1888,34,17,1.093,400.1,133.4,4013,-1818,10,6,0.849,668.8,250.8,6331,6,23,20,1.0,316.6,147.2,6913,982,26,32,1.047,216.0,119.2
u: アイムジャグラーEX-TP,1153,36225,1901,142,110,1.017,329.3,143.8,3646,-582,12,8,0.947,455.8,182.3,7545,771,30,25,1.034,301.8,137.2,5805,829,25,16,1.048,362.8,141.6,2449,-1382,6,2,0.812,1224.5,306.1,8767,3306,42,38,1.126,230.7,109.6,4846,-391,17,12,0.973,403.8,167.1,3167,-650,10,9,0.932,351.9,166.7
u: アイムジャグラーEX-TP,1154,27737,-232,98,88,0.997,315.2,149.1,2701,-1559,5,3,0.808,900.3,337.6,4109,-532,14,8,0.957,513.6,186.8,6418,156,24,21,1.008,305.6,142.6,1204,-979,1,2,0.729,602.0,401.3,6628,3141,30,38,1.158,174.4,97.5,2973,-385,10,7,0.957,424.7,174.9,3704,-74,14,9,0.993,411.6,161.0
u: アイムジャグラーEX-TP,1155,45465,2379,170,158,1.017,287.8,138.6,3478,-1809,7,8,0.827,434.8,231.9,7274,3188,34,36,1.146,202.1,103.9,5673,556,23,16,1.033,354.6,145.5,7888,112,29,31,1.005,254.5,131.5,5709,-1512,15,18,0.912,317.2,173.0,7553,1862,31,30,1.082,251.8,123.8,7890,-18,31,19,0.999,415.3,157.8
total,,5798745,106832,22024,17379,1.006,333.7,147.2,841774,4451,3187,2466,1.002,341.4,148.9,799021,17008,3044,2357,1.007,339.0,147.9,863744,21734,3289,2583,1.008,334.4,147.1,784539,24075,3013,2377,1.01,330.1,145.6,1012921,31529,3863,3136,1.01,323.0,144.7,754529,1214,2804,2261,1.001,333.7,149.0,742217,6821,2824,2199,1.003,337.5,147.8
