,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,2024-12-13 00:00:00,2024-12-13 00:00:00,2024-12-13 00:00:00,2024-12-13 00:00:00,2024-12-13 00:00:00,2024-11-13 00:00:00,2024-11-13 00:00:00,2024-11-13 00:00:00,2024-11-13 00:00:00,2024-11-13 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,7567,1290,1.057,1891.8,315.3,463.0,180.0,1.13,,154.3,2361.0,1221.0,1.172,590.2,124.3,4680.0,-52.0,0.996,,2340.0,63.0,-59.0,0.688,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,1098,76,1.023,1098.0,219.6,0.0,0.0,,,,916.0,76.0,1.028,916.0,183.2,182.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,665,654,138,1.07,327.0,130.8,26.0,-45.0,0.423,,,519.0,238.0,1.153,519.0,129.8,7.0,0.0,1.0,,,102.0,-55.0,0.82,102.0,102.0,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,1742,873,1.167,248.9,108.9,1063.0,610.0,1.191,212.6,106.3,650.0,308.0,1.158,325.0,108.3,29.0,-45.0,0.483,,,0.0,0.0,,,,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,11668,-1556,0.956,448.8,176.8,1510.0,-203.0,0.955,377.5,167.8,1892.0,-564.0,0.901,946.0,236.5,1166.0,134.0,1.038,388.7,145.8,32.0,-45.0,0.531,,,4305.0,378.0,1.029,430.5,153.8,1410.0,-797.0,0.812,352.5,235.0,1353.0,-459.0,0.887,451.0,193.3
b: アイムジャグラーEX-TP,857,9311,-1475,0.947,372.4,169.3,644.0,-41.0,0.979,322.0,161.0,1997.0,-1407.0,0.765,399.4,285.3,120.0,-134.0,0.628,,,87.0,-91.0,0.651,,,4939.0,1105.0,1.075,329.3,130.0,933.0,-483.0,0.827,466.5,233.2,591.0,-424.0,0.761,591.0,295.5
b: アイムジャグラーEX-TP,858,4236,-1833,0.856,529.5,211.8,304.0,-320.0,0.649,,,686.0,-576.0,0.72,,686.0,458.0,424.0,1.309,229.0,91.6,607.0,157.0,1.086,607.0,151.8,995.0,-797.0,0.733,995.0,497.5,286.0,-262.0,0.695,95.3,71.5,900.0,-459.0,0.83,900.0,225.0
b: アイムジャグラーEX-TP,859,13882,1035,1.025,533.9,157.8,978.0,-517.0,0.824,489.0,244.5,5190.0,1663.0,1.107,741.4,140.3,447.0,-262.0,0.805,447.0,223.5,679.0,-576.0,0.717,679.0,339.5,2889.0,965.0,1.111,577.8,137.6,2630.0,593.0,1.075,375.7,138.4,1069.0,-831.0,0.741,356.3,356.3
c: アイムジャグラーEX-TP,866,9015,-954,0.965,530.3,180.3,1590.0,87.0,1.018,795.0,159.0,3487.0,-645.0,0.938,581.2,193.7,98.0,-134.0,0.544,,,1200.0,-529.0,0.853,300.0,200.0,1671.0,343.0,1.068,417.8,151.9,969.0,-76.0,0.974,969.0,193.8,,,,,
c: アイムジャグラーEX-TP,867,11932,-1299,0.964,441.9,170.5,3078.0,-250.0,0.973,769.5,181.1,3008.0,-448.0,0.95,752.0,200.5,513.0,-297.0,0.807,256.5,171.0,156.0,-180.0,0.615,,,5126.0,-52.0,0.997,301.5,146.5,51.0,-72.0,0.529,,,,,,,
c: アイムジャグラーEX-TP,868,7112,-1396,0.935,418.4,173.5,726.0,-285.0,0.869,726.0,242.0,868.0,-634.0,0.757,434.0,289.3,1058.0,-483.0,0.848,211.6,176.3,1600.0,-238.0,0.95,800.0,177.8,1872.0,180.0,1.032,468.0,144.0,988.0,64.0,1.022,329.3,141.1,,,,,
c: アイムジャグラーEX-TP,869,12847,4052,1.105,389.3,127.2,3261.0,2349.0,1.24,543.5,112.4,4950.0,2209.0,1.149,353.6,117.9,2001.0,-134.0,0.978,285.9,142.9,717.0,-157.0,0.927,239.0,143.4,1918.0,-215.0,0.963,639.3,174.4,,,,,,,,,,
c: アイムジャグラーEX-TP,870,5427,-1051,0.935,387.6,169.6,1164.0,-401.0,0.885,291.0,166.3,712.0,-378.0,0.823,712.0,237.3,845.0,-203.0,0.92,281.7,169.0,1209.0,76.0,1.021,403.0,151.1,1497.0,-145.0,0.968,499.0,166.3,,,,,,,,,,
c: アイムジャグラーEX-TP,871,12353,4808,1.13,374.3,124.8,1018.0,331.0,1.108,1018.0,169.7,6757.0,3047.0,1.15,307.1,114.5,949.0,703.0,1.247,158.2,86.3,743.0,0.0,1.0,743.0,185.8,2886.0,727.0,1.084,962.0,151.9,,,,,,,,,,
c: アイムジャグラーEX-TP,872,9491,-1842,0.935,558.3,193.7,2590.0,-331.0,0.957,323.8,161.9,1434.0,-715.0,0.834,,478.0,3982.0,-779.0,0.935,568.9,181.0,1485.0,-17.0,0.996,742.5,185.6,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,873,6070,-815,0.955,674.4,189.7,1534.0,-297.0,0.935,1534.0,219.1,1425.0,-238.0,0.944,712.5,203.6,56.0,-60.0,0.643,,,2503.0,297.0,1.04,417.2,147.2,552.0,-517.0,0.688,,552.0,,,,,,,,,,
