,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-05-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-03-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,1031,34826,-1050,123,95,0.99,366.6,159.8,5299.0,-2109.0,12.0,11.0,0.867,481.7,230.4,8326.0,191.0,30.0,25.0,1.008,333.0,151.4,4704.0,-1429.0,11.0,12.0,0.899,392.0,204.5,6606.0,1076.0,30.0,18.0,1.054,367.0,137.6,6165.0,121.0,24.0,15.0,1.007,411.0,158.1,3726.0,1100.0,16.0,14.0,1.098,266.1,124.2
e,1032,32824,-1669,118,86,0.983,381.7,160.9,7720.0,885.0,30.0,25.0,1.038,308.8,140.4,7559.0,-524.0,26.0,22.0,0.977,343.6,157.5,1765.0,-862.0,4.0,5.0,0.837,353.0,196.1,6152.0,-2391.0,15.0,13.0,0.87,473.2,219.7,6153.0,1491.0,31.0,10.0,1.081,615.3,150.1,3475.0,-268.0,12.0,11.0,0.974,315.9,151.1
e,1033,39103,585,134,143,1.005,273.4,141.2,7189.0,1076.0,29.0,25.0,1.05,287.6,133.1,6808.0,-912.0,22.0,17.0,0.955,400.5,174.6,5821.0,-515.0,19.0,20.0,0.971,291.0,149.3,9255.0,1721.0,34.0,40.0,1.062,231.4,125.1,7239.0,-829.0,21.0,30.0,0.962,241.3,141.9,2791.0,44.0,9.0,11.0,1.005,253.7,139.6
e,1035,28676,592,103,95,1.007,301.9,144.8,2031.0,174.0,7.0,9.0,1.029,225.7,126.9,6089.0,-2144.0,15.0,15.0,0.883,405.9,203.0,5263.0,218.0,22.0,9.0,1.014,584.8,169.8,7429.0,1968.0,30.0,36.0,1.088,206.4,112.6,4286.0,-9.0,15.0,15.0,0.999,285.7,142.9,3578.0,385.0,14.0,11.0,1.036,325.3,143.1
e,1036,31910,461,116,109,1.005,292.8,141.8,4126.0,-1124.0,14.0,9.0,0.909,458.4,179.4,7521.0,1844.0,32.0,28.0,1.082,268.6,125.4,4781.0,-1088.0,12.0,16.0,0.924,298.8,170.8,3977.0,-68.0,14.0,12.0,0.994,331.4,153.0,7067.0,-97.0,23.0,30.0,0.995,235.6,133.3,4438.0,994.0,21.0,14.0,1.075,317.0,126.8
e,1037,42765,1244,162,129,1.01,331.5,147.0,6408.0,900.0,26.0,21.0,1.047,305.1,136.3,7823.0,-650.0,30.0,16.0,0.972,488.9,170.1,6819.0,979.0,27.0,22.0,1.048,310.0,139.2,4563.0,-700.0,15.0,10.0,0.949,456.3,182.5,9039.0,-1659.0,28.0,25.0,0.939,361.6,170.5,8113.0,2374.0,36.0,35.0,1.098,231.8,114.3
e,1038,38921,6521,157,141,1.056,276.0,130.6,9141.0,-79.0,30.0,33.0,0.997,277.0,145.1,5777.0,2091.0,31.0,16.0,1.121,361.1,122.9,4373.0,-856.0,13.0,11.0,0.935,397.5,182.2,6388.0,1668.0,31.0,19.0,1.087,336.2,127.8,6734.0,2338.0,25.0,39.0,1.116,172.7,105.2,6508.0,1359.0,27.0,23.0,1.07,283.0,130.2
e,1050,36767,-1670,135,92,0.985,399.6,162.0,6026.0,653.0,22.0,19.0,1.036,317.2,147.0,6124.0,-2056.0,17.0,13.0,0.888,471.1,204.1,6851.0,-182.0,27.0,16.0,0.991,428.2,159.3,6183.0,-159.0,25.0,13.0,0.991,475.6,162.7,5599.0,-991.0,17.0,14.0,0.941,399.9,180.6,5984.0,1065.0,27.0,17.0,1.059,352.0,136.0
e,1051,38998,3088,164,102,1.026,382.3,146.6,5622.0,-485.0,21.0,12.0,0.971,468.5,170.4,7601.0,-3.0,30.0,21.0,1.0,362.0,149.0,7066.0,-1500.0,23.0,17.0,0.929,415.6,176.6,8345.0,5100.0,52.0,20.0,1.204,417.2,115.9,4081.0,-971.0,13.0,7.0,0.921,583.0,204.0,6283.0,947.0,25.0,25.0,1.05,251.3,125.7
e,1052,27126,-3481,91,65,0.957,417.3,173.9,3726.0,-26.0,13.0,10.0,0.998,372.6,162.0,6488.0,1018.0,28.0,20.0,1.052,324.4,135.2,2671.0,-1759.0,5.0,2.0,0.78,1335.5,381.6,4700.0,724.0,21.0,10.0,1.051,470.0,151.6,5841.0,-1135.0,19.0,14.0,0.935,417.2,177.0,3700.0,-2303.0,5.0,9.0,0.793,411.1,264.3
