,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5_more
266,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1117,6127,20,11,-1324,306.4,557.0,0.0,197.6,2025-04,29,1,2025,7,p: ウルトラミラクルジャグラー,0.0
267,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1118,1023,1,3,-926,1023.0,341.0,0.0,255.8,2025-04,29,1,2025,8,p: ウルトラミラクルジャグラー,0.0
268,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1119,5576,19,10,-1171,293.5,557.6,0.0,192.3,2025-04,29,1,2025,9,p: ウルトラミラクルジャグラー,0.0
269,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1120,937,2,2,-509,468.5,468.5,0.0,234.2,2025-04,29,1,2025,0,p: ウルトラミラクルジャグラー,0.0
270,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1121,2959,9,8,-585,328.8,369.9,0.0,174.1,2025-04,29,1,2025,1,p: ウルトラミラクルジャグラー,0.0
271,EXA FIRST,2025-04-29,ウルトラミラクルジャグラー,1122,3251,13,10,-74,250.1,325.1,0.0,141.3,2025-04,29,1,2025,2,p: ウルトラミラクルジャグラー,0.0
272,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1123,5598,20,20,585,279.9,279.9,5.65,140.0,2025-04,29,1,2025,3,q: アイムジャグラーEX-TP,0.72
273,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1124,3509,13,7,-526,269.9,501.3,6.26,175.4,2025-04,29,1,2025,4,q: アイムジャグラーEX-TP,0.0
274,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1125,6645,27,24,1315,246.1,276.9,5.79,130.3,2025-04,29,1,2025,5,q: アイムジャグラーEX-TP,0.71
275,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1126,2637,8,6,-585,329.6,439.5,5.94,188.4,2025-04,29,1,2025,6,q: アイムジャグラーEX-TP,0.0
276,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1127,1832,1,4,-1629,1832.0,458.0,6.09,366.4,2025-04,29,1,2025,7,q: アイムジャグラーEX-TP,0.0
277,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1128,5483,20,19,285,274.2,288.6,5.91,140.6,2025-04,29,1,2025,8,q: アイムジャグラーEX-TP,0.4
278,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1129,1913,4,3,-926,478.2,637.7,5.76,273.3,2025-04,29,1,2025,9,q: アイムジャグラーEX-TP,0.0
279,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1130,3768,13,9,-650,289.8,418.7,6.24,171.3,2025-04,29,1,2025,0,r: アイムジャグラーEX-TP,0.0
280,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1131,4583,15,11,-668,305.5,416.6,5.92,176.3,2025-04,29,1,2025,1,r: アイムジャグラーEX-TP,0.0
281,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1132,2481,7,4,-685,354.4,620.2,5.67,225.5,2025-04,29,1,2025,2,r: アイムジャグラーEX-TP,0.0
282,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1133,4835,22,18,1512,219.8,268.6,5.87,120.9,2025-04,29,1,2025,3,r: アイムジャグラーEX-TP,0.0
283,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1134,1741,7,3,-15,248.7,580.3,5.86,174.1,2025-04,29,1,2025,4,r: アイムジャグラーEX-TP,0.0
284,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1135,1259,2,3,-838,629.5,419.7,6.37,251.8,2025-04,29,1,2025,5,r: アイムジャグラーEX-TP,0.0
285,EXA FIRST,2025-04-29,アイムジャグラーEX-TP,1136,4268,16,5,-344,266.8,853.6,5.66,203.2,2025-04,29,1,2025,6,r: アイムジャグラーEX-TP,0.0
286,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1137,3898,12,12,-818,324.8,324.8,0.0,162.4,2025-04,29,1,2025,7,s: ハッピージャグラーVIII,0.0
287,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1138,3725,15,8,-15,248.3,465.6,0.0,162.0,2025-04,29,1,2025,8,s: ハッピージャグラーVIII,0.0
288,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1139,1326,1,2,-1135,1326.0,663.0,0.0,442.0,2025-04,29,1,2025,9,s: ハッピージャグラーVIII,0.0
289,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1140,4477,18,9,-21,248.7,497.4,0.0,165.8,2025-04,29,1,2025,0,s: ハッピージャグラーVIII,0.0
290,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1141,3264,11,5,-756,296.7,652.8,0.0,204.0,2025-04,29,1,2025,1,s: ハッピージャグラーVIII,0.0
291,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1142,3686,10,7,-1312,368.6,526.6,0.0,216.8,2025-04,29,1,2025,2,s: ハッピージャグラーVIII,0.0
292,EXA FIRST,2025-04-29,ハッピージャグラーVIII,1143,5884,21,18,-126,280.2,326.9,0.0,150.9,2025-04,29,1,2025,3,s: ハッピージャグラーVIII,0.15000000000000002
293,EXA FIRST,2025-04-29,ジャグラーガールズ,1145,4983,26,11,1147,191.7,453.0,0.0,134.7,2025-04,29,1,2025,5,t: ジャグラーガールズ,0.0
294,EXA FIRST,2025-04-29,ジャグラーガールズ,1146,2029,6,1,-932,338.2,2029.0,0.0,289.9,2025-04,29,1,2025,6,t: ジャグラーガールズ,0.0
295,EXA FIRST,2025-04-29,ジャグラーガールズ,1147,2799,6,6,-1488,466.5,466.5,0.0,233.2,2025-04,29,1,2025,7,t: ジャグラーガールズ,0.0
296,EXA FIRST,2025-04-29,ジャグラーガールズ,1148,5224,20,17,191,261.2,307.3,0.0,141.2,2025-04,29,1,2025,8,t: ジャグラーガールズ,0.0
297,EXA FIRST,2025-04-29,ジャグラーガールズ,1149,6577,30,20,1276,219.2,328.8,0.0,131.5,2025-04,29,1,2025,9,t: ジャグラーガールズ,0.0
