,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-12-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00,2024-11-24 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m: マイジャグラーV,1094,16233,-4556,45,42,0.906,386.5,186.6,3308,-950,9,7,0.904,472.6,206.8,753,-574,1,3,0.746,251.0,188.2,5970,-1876,15,16,0.895,373.1,192.6,2568,-368,9,6,0.952,428.0,171.2,1645,-38,6,6,0.992,274.2,137.1,1989,-750,5,4,0.874,497.2,221.0
m: マイジャグラーV,1095,22418,938,86,69,1.014,324.9,144.6,7628,1488,33,22,1.065,346.7,138.7,1423,-503,4,4,0.882,355.8,177.9,3426,-238,14,7,0.977,489.4,163.1,2809,-750,6,7,0.911,401.3,216.1,2238,232,8,10,1.035,223.8,124.3,4894,709,21,19,1.048,257.6,122.4
m: マイジャグラーV,1096,21805,-780,79,54,0.988,403.8,163.9,1232,-1182,0,3,0.68,410.7,410.7,2396,-721,5,7,0.9,342.3,199.7,5469,-732,17,17,0.955,321.7,160.9,4110,700,19,9,1.057,456.7,146.8,2415,-74,9,4,0.99,603.8,185.8,6183,1229,29,14,1.066,441.6,143.8
m: マイジャグラーV,1097,18056,-1756,63,47,0.968,384.2,164.1,1218,-362,4,2,0.901,609.0,203.0,3651,503,15,10,1.046,365.1,146.0,3690,-1018,10,10,0.908,369.0,184.5,4672,-1241,14,12,0.911,389.3,179.7,658,-456,1,1,0.769,658.0,329.0,4167,818,19,12,1.065,347.2,134.4
m: マイジャグラーV,1098,26549,-604,91,73,0.992,363.7,161.9,7543,-474,23,27,0.979,279.4,150.9,1501,-203,5,2,0.955,750.5,214.4,5094,144,19,15,1.009,339.6,149.8,3019,-315,11,5,0.965,603.8,188.7,2790,-150,8,10,0.982,279.0,155.0,6602,394,25,14,1.02,471.6,169.3
m: マイジャグラーV,1099,19324,-2218,68,49,0.962,394.4,165.2,1574,-1300,2,2,0.725,787.0,393.5,2404,-50,9,6,0.993,400.7,160.3,7356,347,31,21,1.016,350.3,141.5,4392,-109,14,15,0.992,292.8,151.4,1658,-285,7,2,0.943,829.0,184.2,1940,-821,5,3,0.859,646.7,242.5
n: アイムジャグラーEX-TP,1100,27865,2952,124,80,1.035,348.3,136.6,5295,250,21,18,1.016,294.2,135.8,5930,229,26,18,1.013,329.4,134.8,5897,441,26,15,1.025,393.1,143.8,4894,1829,26,16,1.125,305.9,116.5,2005,-591,6,4,0.902,501.2,200.5,3844,794,19,9,1.069,427.1,137.3
n: アイムジャグラーEX-TP,1101,9394,-2188,32,22,0.922,427.0,174.0,1658,-550,4,5,0.889,331.6,184.2,1842,-115,8,3,0.979,614.0,167.5,937,-379,3,2,0.865,468.5,187.4,2074,-244,8,6,0.961,345.7,148.1,1552,-250,6,2,0.946,776.0,194.0,1331,-650,3,4,0.837,332.8,190.1
n: アイムジャグラーEX-TP,1102,14558,-2910,50,35,0.933,415.9,171.3,2422,-79,10,4,0.989,605.5,173.0,1032,-509,2,4,0.836,258.0,172.0,4441,-1018,15,12,0.924,370.1,164.5,1961,488,10,3,1.083,653.7,150.8,305,-421,0,0,0.54,,,4397,-1371,13,12,0.896,366.4,175.9
n: アイムジャグラーEX-TP,1103,17932,-1479,63,56,0.973,320.2,150.7,3082,-44,12,9,0.995,342.4,146.8,397,-156,1,0,0.869,,397.0,3551,-971,10,11,0.909,322.8,169.1,1626,-585,4,5,0.88,325.2,180.7,1752,62,7,5,1.012,350.4,146.0,7524,215,29,26,1.01,289.4,136.8
