,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,3,13,23,total
area,,,,
a: アイムジャグラーEX-TP,1.017,0.95,1.01,0.998
b: アイムジャグラーEX-TP,0.982,0.995,0.989,0.988
c: マイジャグラーV,0.965,0.978,1.003,0.982
d: マイジャグラーV,0.987,0.977,1.007,0.992
e: ゴーゴージャグラー3,0.989,0.958,0.951,0.968
f: ファンキージャグラー2,0.988,0.978,0.994,0.987
g: ハッピージャグラーVIII,0.981,0.975,0.964,0.974
h: ジャグラーガールズ,0.981,0.97,1.012,0.99
i: ミスタージャグラー,0.969,0.986,1.009,0.987
その他,0.916,0.999,0.95,0.957
total,0.98,0.98,0.988,0.983
