,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-03-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,903,18008,0,66,51,1.0,353.1,153.9,4094,0,12,14,1.0,292.4,157.5,4049,0,18,7,1.0,578.4,162.0,5071,0,23,15,1.0,338.1,133.4,1833,0,4,7,1.0,261.9,166.6,2961,0,9,8,1.0,370.1,174.2
その他,904,24146,0,79,56,1.0,431.2,178.9,5278,0,22,16,1.0,329.9,138.9,2706,0,5,6,1.0,451.0,246.0,5782,0,16,10,1.0,578.2,222.4,4751,0,11,7,1.0,678.7,263.9,5629,0,25,17,1.0,331.1,134.0
その他,947,27323,0,86,97,1.0,281.7,149.3,4908,0,15,10,1.0,490.8,196.3,7818,0,23,30,1.0,260.6,147.5,7741,0,28,28,1.0,276.5,138.2,1682,0,6,10,1.0,168.2,105.1,5174,0,14,19,1.0,272.3,156.8
その他,948,15117,0,46,46,1.0,328.6,164.3,2000,0,7,1,1.0,2000.0,250.0,2522,0,5,8,1.0,315.2,194.0,4566,0,13,14,1.0,326.1,169.1,5363,0,19,22,1.0,243.8,130.8,666,0,2,1,1.0,666.0,222.0
その他,949,19042,0,64,48,1.0,396.7,170.0,5211,0,18,10,1.0,521.1,186.1,4320,0,14,9,1.0,480.0,187.8,2549,0,8,7,1.0,364.1,169.9,5871,0,20,21,1.0,279.6,143.2,1091,0,4,1,1.0,1091.0,218.2
その他,950,21435,0,90,49,1.0,437.4,154.2,1580,0,4,1,1.0,1580.0,316.0,4267,0,14,8,1.0,533.4,194.0,7255,0,32,19,1.0,381.8,142.3,2830,0,16,10,1.0,283.0,108.8,5503,0,24,11,1.0,500.3,157.2
その他,951,14135,0,44,32,1.0,441.7,186.0,3269,0,11,7,1.0,467.0,181.6,4919,0,15,8,1.0,614.9,213.9,3188,0,13,7,1.0,455.4,159.4,1209,0,4,2,1.0,604.5,201.5,1550,0,1,8,1.0,193.8,172.2
その他,952,19054,0,79,46,1.0,414.2,152.4,4597,0,15,15,1.0,306.5,153.2,4569,0,14,13,1.0,351.5,169.2,2824,0,12,1,1.0,2824.0,217.2,2360,0,7,4,1.0,590.0,214.5,4704,0,31,13,1.0,361.8,106.9
その他,953,11755,0,39,30,1.0,391.8,170.4,2648,0,7,6,1.0,441.3,203.7,2099,0,4,6,1.0,349.8,209.9,4046,0,15,13,1.0,311.2,144.5,2609,0,13,5,1.0,521.8,144.9,353,0,0,0,1.0,,
その他,954,25778,0,103,80,1.0,322.2,140.9,4379,0,17,12,1.0,364.9,151.0,5737,0,24,14,1.0,409.8,151.0,7390,0,28,24,1.0,307.9,142.1,4453,0,15,19,1.0,234.4,131.0,3819,0,19,11,1.0,347.2,127.3
