,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,inf,inf,inf,inf,-inf,inf,inf,-inf,inf,-inf,-inf,-inf,inf,-inf,inf,inf,inf,-inf,-inf,inf,-inf,-inf
ゴーゴージャグラー3,-inf,inf,-inf,-inf,-inf,inf,inf,-inf,inf,-inf,-inf,inf,inf,inf,-inf,-inf,-inf,-inf,-inf,inf,inf,-inf,-inf,-inf,inf,inf,-inf,-inf,-inf,inf,-inf
ジャグラーガールズ,inf,inf,inf,inf,inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,inf,-inf,inf,inf,-inf,-inf,-inf,inf,-inf,-inf,-inf
ハッピージャグラーVIII,-inf,-inf,-inf,-inf,inf,-inf,inf,inf,inf,-inf,inf,-inf,-inf,inf,-inf,inf,-inf,-inf,inf,-inf,inf,inf,-inf,inf,inf,-inf,-inf,inf,-inf,-inf,-inf
ファンキージャグラー2,inf,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,inf,-inf,inf,-inf,inf,-inf,-inf,inf,-inf,-inf,-inf,inf,-inf,-inf
マイジャグラーV,-inf,-inf,inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,inf,inf,inf,-inf,inf,inf,inf,inf,-inf,-inf,inf,inf,-inf,inf,-inf,-inf
total,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,inf,inf,-inf,-inf,inf,-inf,-inf,-inf,-inf,-inf,-inf
