,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,total,total,total,total,total,total,total,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00
unit_no,,,,,,,,,,,,,,,,,,,,,
330,13816,-1712,47,33,0.959,418.7,172.7,7014,-538,25,17,0.974,412.6,167.0,6802,-1174,22,16,0.942,425.1,179.0
331,10807,-1148,41,21,0.965,514.6,174.3,6055,-1029,22,13,0.943,465.8,173.0,4752,-119,19,8,0.992,594.0,176.0
332,10614,-786,41,21,0.975,505.4,171.2,4250,-428,16,9,0.966,472.2,170.0,6364,-358,25,12,0.981,530.3,172.0
333,16580,5800,80,63,1.117,263.2,115.9,8528,4457,45,37,1.174,230.5,104.0,8052,1343,35,26,1.056,309.7,132.0
334,17056,2610,72,60,1.051,284.3,129.2,7493,1743,37,22,1.078,340.6,127.0,9563,867,35,38,1.03,251.7,131.0
335,15917,132,64,45,1.003,353.7,146.0,8777,1352,41,26,1.051,337.6,131.0,7140,-1220,23,19,0.943,375.8,170.0
336,14121,350,60,29,1.008,486.9,158.7,7395,583,32,19,1.026,389.2,145.0,6726,-233,28,10,0.988,672.6,177.0
337,12554,-4045,35,26,0.893,482.8,205.8,6290,-1806,18,16,0.904,393.1,185.0,6264,-2239,17,10,0.881,626.4,232.0
338,14152,-1780,53,29,0.958,488.0,172.6,6142,-258,24,13,0.986,472.5,166.0,8010,-1522,29,16,0.937,500.6,178.0
339,13965,-1553,48,36,0.963,387.9,166.2,7497,270,29,22,1.012,340.8,147.0,6468,-1823,19,14,0.906,462.0,196.0
340,13875,231,58,31,1.006,447.6,155.9,7696,403,32,20,1.017,384.8,148.0,6179,-172,26,11,0.991,561.7,167.0
341,13960,-2305,48,30,0.945,465.3,179.0,6048,-1562,20,12,0.914,504.0,189.0,7912,-743,28,18,0.969,439.6,172.0
342,14318,-898,55,33,0.979,433.9,162.7,5850,-1394,21,9,0.921,650.0,195.0,8468,496,34,24,1.02,352.8,146.0
343,12498,-1097,46,27,0.971,462.9,171.2,5208,-1249,17,11,0.92,473.5,186.0,7290,152,29,16,1.007,455.6,162.0
