,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2025-01-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s: ハッピージャグラーVIII,1141,15642,-1957,51,48,0.958,325.9,158.0,3264,-756,11,5,0.923,652.8,204.0,2331,-203,8,7,0.971,333.0,155.4,6829,-724,20,28,0.965,243.9,142.3,3218,-274,12,8,0.972,402.2,160.9
s: ハッピージャグラーVIII,1142,8667,-1062,30,20,0.959,433.4,173.3,3686,-1312,10,7,0.881,526.6,216.8,1598,-544,4,4,0.887,399.5,199.8,204,-97,0,1,0.842,204.0,204.0,3179,891,16,8,1.093,397.4,132.5
s: ハッピージャグラーVIII,1143,14278,-1861,45,43,0.957,332.0,162.2,5884,-126,21,18,0.993,326.9,150.9,5603,126,19,21,1.007,266.8,140.1,1474,-585,4,3,0.868,491.3,210.6,1317,-1276,1,1,0.677,1317.0,658.5
t: ジャグラーガールズ,1145,17342,2068,75,52,1.04,333.5,136.6,4983,1147,26,11,1.077,453.0,134.7,7782,1226,33,28,1.053,277.9,127.6,909,-579,1,4,0.788,227.2,181.8,3668,274,15,9,1.025,407.6,152.8
t: ジャグラーガールズ,1146,11963,-696,46,28,0.981,427.2,161.7,2029,-932,6,1,0.847,2029.0,289.9,4559,768,20,15,1.056,303.9,130.3,3993,265,18,8,1.022,499.1,153.6,1382,-797,2,4,0.808,345.5,230.3
t: ジャグラーガールズ,1147,11610,-1017,42,34,0.971,341.5,152.8,2799,-1488,6,6,0.823,466.5,233.2,5014,1347,25,15,1.09,334.3,125.4,424,-338,1,0,0.734,,424.0,3373,-538,10,13,0.947,259.5,146.7
t: ジャグラーガールズ,1148,9939,-1295,32,30,0.957,331.3,160.3,5224,191,20,17,1.012,307.3,141.2,708,-256,1,2,0.879,354.0,236.0,897,-368,2,2,0.863,448.5,224.2,3110,-862,9,9,0.908,345.6,172.8
t: ジャグラーガールズ,1149,11043,-953,40,28,0.971,394.4,162.4,6577,1276,30,20,1.065,328.8,131.5,2405,-844,6,6,0.883,400.8,200.4,809,-379,2,1,0.844,809.0,269.7,1252,-1006,2,1,0.732,1252.0,417.3
t: ジャグラーガールズ,1150,13429,-348,54,31,0.991,433.2,158.0,1724,-900,4,3,0.826,574.7,246.3,2279,-703,6,7,0.897,325.6,175.3,5463,226,22,16,1.014,341.4,143.8,3963,1029,22,5,1.087,792.6,146.8
u: アイムジャグラーEX-TP,1151,17590,-3980,56,40,0.925,439.8,183.2,5490,194,24,10,1.012,549.0,161.5,2822,-1932,4,6,0.772,470.3,282.2,3969,79,16,10,1.007,396.9,152.7,5309,-2321,12,14,0.854,379.2,204.2
u: アイムジャグラーEX-TP,1152,17203,744,62,55,1.014,312.8,147.0,6542,806,22,30,1.041,218.1,125.8,3260,738,16,6,1.075,543.3,148.2,1521,-91,5,3,0.98,507.0,190.1,5880,-709,19,16,0.96,367.5,168.0
u: アイムジャグラーEX-TP,1153,12154,747,50,30,1.02,405.1,151.9,4915,2321,27,16,1.157,307.2,114.3,3988,-374,14,6,0.969,664.7,199.4,1022,-662,2,1,0.784,1022.0,340.7,2229,-538,7,7,0.92,318.4,159.2
u: アイムジャグラーEX-TP,1154,9774,-676,35,26,0.977,375.9,160.2,2534,156,10,8,1.021,316.8,140.8,2623,-38,10,5,0.995,524.6,174.9,402,-485,0,1,0.598,402.0,402.0,4215,-309,15,12,0.976,351.2,156.1
u: アイムジャグラーEX-TP,1155,17861,4085,91,31,1.076,576.2,146.4,4352,1688,25,8,1.129,544.0,131.9,3414,150,15,5,1.015,682.8,170.7,3529,1171,18,9,1.111,392.1,130.7,6566,1076,33,9,1.055,729.6,156.3
total,,2366406,-70804,8832,6492,0.99,364.5,154.4,681487,-17837,2578,1785,0.991,381.8,156.2,569540,-13382,2138,1578,0.992,360.9,153.3,475854,-13746,1759,1347,0.99,353.3,153.2,639525,-25839,2357,1782,0.987,358.9,154.5
