,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-03-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2025-02-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-12-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,1859,-538,0.904,1859.0,265.6,,,,,,511.0,61.0,1.04,511.0,170.3,517.0,169.0,1.109,,172.3,527.0,-355.0,0.775,,527.0,,,,,,304.0,-413.0,0.547,,
a: アイムジャグラーEX-TP,664,1068,-203,0.937,356.0,178.0,,,,,,227.0,-180.0,0.736,227.0,227.0,137.0,-157.0,0.618,,,704.0,134.0,1.063,352.0,140.8,,,,,,,,,,
a: アイムジャグラーEX-TP,665,709,459,1.216,236.3,101.3,,,,,,270.0,680.0,1.84,90.0,45.0,103.0,-145.0,0.531,,,336.0,-76.0,0.925,,336.0,,,,,,,,,,
a: アイムジャグラーEX-TP,666,1477,287,1.065,738.5,164.1,,,,,,40.0,-56.0,0.533,,,144.0,-180.0,0.583,,,1293.0,523.0,1.135,646.5,143.7,,,,,,,,,,
b: アイムジャグラーEX-TP,856,14463,1745,1.04,361.6,140.4,,,,,,4824.0,169.0,1.012,402.0,155.6,1871.0,-424.0,0.924,267.3,143.9,378.0,-238.0,0.79,,378.0,5607.0,2907.0,1.173,350.4,116.8,1783.0,-669.0,0.875,356.6,178.3
b: アイムジャグラーEX-TP,857,12256,1250,1.034,383.0,147.7,,,,,,538.0,-564.0,0.651,538.0,538.0,1610.0,-692.0,0.857,536.7,268.3,4475.0,1174.0,1.087,372.9,131.6,4837.0,1477.0,1.102,345.5,127.3,796.0,-145.0,0.939,398.0,199.0
b: アイムジャグラーEX-TP,858,11231,1268,1.038,432.0,151.8,,,,,,2210.0,-227.0,0.966,315.7,157.9,1274.0,-936.0,0.755,424.7,254.8,580.0,-552.0,0.683,,,6436.0,3326.0,1.172,402.2,121.4,731.0,-343.0,0.844,,365.5
b: アイムジャグラーEX-TP,859,13451,2046,1.051,373.6,143.1,,,,,,1766.0,273.0,1.052,588.7,147.2,1861.0,-250.0,0.955,930.5,206.8,2302.0,-599.0,0.913,328.9,177.1,5806.0,2767.0,1.159,305.6,116.1,1716.0,-145.0,0.972,343.2,171.6
c: アイムジャグラーEX-TP,866,10632,-744,0.977,332.2,156.4,,,,,,571.0,-448.0,0.738,571.0,285.5,1873.0,-1058.0,0.812,624.3,267.6,5095.0,1407.0,1.092,299.7,127.4,3093.0,-645.0,0.93,281.2,162.8,,,,,
c: アイムジャグラーEX-TP,867,5353,-1791,0.888,486.6,205.9,,,,,,2055.0,-390.0,0.937,342.5,171.2,589.0,-517.0,0.707,589.0,294.5,1328.0,-76.0,0.981,1328.0,189.7,1381.0,-808.0,0.805,460.3,276.2,,,,,
c: アイムジャグラーEX-TP,868,6554,-187,0.99,409.6,163.8,,,,,,799.0,-215.0,0.91,399.5,199.8,3654.0,-227.0,0.979,304.5,152.2,1417.0,610.0,1.143,1417.0,141.7,684.0,-355.0,0.827,684.0,342.0,,,,,
c: アイムジャグラーEX-TP,869,11102,2727,1.082,411.2,137.1,,,,,,2935.0,1105.0,1.125,489.2,127.6,6124.0,1267.0,1.069,382.8,139.2,2043.0,355.0,1.058,408.6,145.9,,,,,,,,,,
c: アイムジャグラーEX-TP,870,3660,-1238,0.887,610.0,215.3,,,,,,620.0,-517.0,0.722,,620.0,2101.0,17.0,1.003,700.3,175.1,939.0,-738.0,0.738,313.0,234.8,,,,,,,,,,
c: アイムジャグラーEX-TP,871,10416,2146,1.069,359.2,133.5,,,,,,3489.0,1128.0,1.108,268.4,116.3,2201.0,-273.0,0.959,733.7,183.4,4726.0,1291.0,1.091,363.5,131.3,,,,,,,,,,
c: アイムジャグラーEX-TP,872,6086,-2425,0.867,304.3,184.4,,,,,,1239.0,-797.0,0.786,619.5,309.8,4226.0,-959.0,0.924,248.6,150.9,621.0,-669.0,0.641,621.0,621.0,,,,,,,,,,
c: アイムジャグラーEX-TP,873,3541,-830,0.922,590.2,208.3,,,,,,1314.0,-110.0,0.972,1314.0,219.0,1552.0,-110.0,0.976,388.0,172.4,675.0,-610.0,0.699,675.0,337.5,,,,,,,,,,
c: アイムジャグラーEX-TP,874,3957,-593,0.95,565.3,179.9,,,,,,408.0,-331.0,0.73,408.0,408.0,944.0,0.0,1.0,,188.8,2605.0,-262.0,0.966,434.2,162.8,,,,,,,,,,
c: アイムジャグラーEX-TP,875,5916,2034,1.115,845.1,140.9,,,,,,2218.0,738.0,1.111,554.5,138.6,3111.0,1523.0,1.163,1037.0,129.6,587.0,-227.0,0.871,,293.5,,,,,,,,,,
c: アイムジャグラーEX-TP,876,3794,-87,0.992,542.0,180.7,,,,,,1707.0,76.0,1.015,341.4,155.2,1765.0,250.0,1.047,882.5,176.5,322.0,-413.0,0.572,,,,,,,,,,,,
c: アイムジャグラーEX-TP,877,6982,-168,0.992,581.8,170.3,,,,,,882.0,-273.0,0.897,882.0,220.5,661.0,-552.0,0.722,,661.0,5439.0,657.0,1.04,494.5,151.1,,,,,,,,,,
c: アイムジャグラーEX-TP,878,3526,-1401,0.868,587.7,220.4,,,,,,1180.0,-273.0,0.923,393.3,168.6,764.0,-715.0,0.688,,764.0,1582.0,-413.0,0.913,527.3,197.8,,,,,,,,,,
c: アイムジャグラーEX-TP,879,4598,419,1.03,459.8,153.3,,,,,,2210.0,87.0,1.013,442.0,157.9,1360.0,1012.0,1.248,340.0,104.6,1028.0,-680.0,0.78,1028.0,342.7,,,,,,,,,,
c: アイムジャグラーEX-TP,880,3176,75,1.008,794.0,176.4,,,,,,780.0,413.0,1.176,780.0,130.0,700.0,-541.0,0.742,,700.0,1696.0,203.0,1.04,565.3,154.2,,,,,,,,,,
c: アイムジャグラーEX-TP,881,7322,-1041,0.953,523.0,174.3,,,,,,3919.0,-703.0,0.94,435.4,170.4,1771.0,52.0,1.01,590.3,161.0,1632.0,-390.0,0.92,816.0,204.0,,,,,,,,,,
c: アイムジャグラーEX-TP,882,8548,-2221,0.913,356.2,178.1,,,,,,960.0,-680.0,0.764,320.0,240.0,3212.0,285.0,1.03,321.2,139.7,4376.0,-1826.0,0.861,397.8,208.4,,,,,,,,,,
d: マイジャグラーV,789,32348,1792,1.018,333.5,145.7,5810.0,-17.0,0.999,581.0,170.9,7110.0,1174.0,1.055,263.3,129.3,3665.0,192.0,1.017,281.9,130.9,2898.0,-988.0,0.886,724.5,241.5,7341.0,1884.0,1.086,282.3,124.4,5524.0,-453.0,0.973,324.9,162.5
d: マイジャグラーV,790,25191,-570,0.992,434.3,163.6,5593.0,2116.0,1.126,329.0,124.3,7329.0,820.0,1.037,349.0,140.9,1263.0,-924.0,0.756,1263.0,315.8,5747.0,-1663.0,0.904,718.4,221.0,2954.0,-320.0,0.964,590.8,196.9,2305.0,-599.0,0.913,384.2,192.1
d: マイジャグラーV,791,19453,-2116,0.964,498.8,176.8,5568.0,430.0,1.026,506.2,159.1,1922.0,-17.0,0.997,961.0,192.2,3532.0,-1012.0,0.904,706.4,207.8,2002.0,-703.0,0.883,333.7,200.2,4700.0,29.0,1.002,427.3,156.7,1729.0,-843.0,0.837,432.2,216.1
d: マイジャグラーV,792,36472,-121,0.999,388.0,153.9,9503.0,3419.0,1.12,288.0,118.8,7275.0,965.0,1.044,661.4,154.8,3777.0,-663.0,0.941,539.6,188.8,7587.0,-1616.0,0.929,344.9,168.6,2250.0,-110.0,0.984,450.0,160.7,6080.0,-2116.0,0.884,380.0,196.1
d: マイジャグラーV,793,23357,-1436,0.98,440.7,162.2,6427.0,64.0,1.003,401.7,153.0,1021.0,-517.0,0.831,510.5,255.2,3808.0,29.0,1.003,423.1,146.5,3103.0,-1686.0,0.819,1034.3,310.3,5088.0,-314.0,0.979,318.0,149.6,3910.0,988.0,1.084,558.6,139.6
d: マイジャグラーV,794,29720,-2220,0.975,283.0,147.9,6084.0,-407.0,0.978,338.0,156.0,6219.0,-2349.0,0.874,282.7,177.7,2986.0,64.0,1.007,271.5,135.7,2187.0,-1174.0,0.821,2187.0,364.5,6825.0,1012.0,1.049,235.3,124.1,5419.0,634.0,1.039,225.8,123.2
d: マイジャグラーV,795,35145,-2146,0.98,428.6,164.2,7059.0,919.0,1.043,415.2,144.1,6805.0,-576.0,0.972,567.1,179.1,6868.0,-262.0,0.987,286.2,146.1,6552.0,-1198.0,0.939,385.4,168.0,1932.0,-1081.0,0.813,1932.0,322.0,5929.0,52.0,1.003,539.0,169.4
d: マイジャグラーV,796,26218,-2162,0.973,327.7,154.2,7685.0,547.0,1.024,265.0,132.5,4170.0,227.0,1.018,347.5,148.9,5068.0,1267.0,1.083,298.1,123.6,3707.0,-1802.0,0.838,411.9,218.1,3138.0,-2302.0,0.755,392.2,285.3,2450.0,-99.0,0.987,490.0,163.3
d: マイジャグラーV,797,24305,-1209,0.983,392.0,162.0,3461.0,-2302.0,0.778,692.2,346.1,7028.0,2721.0,1.129,260.3,115.2,4089.0,308.0,1.025,408.9,151.4,4090.0,-198.0,0.984,454.4,170.4,4210.0,-610.0,0.952,382.7,168.4,1427.0,-1128.0,0.737,,475.7
d: マイジャグラーV,798,21149,-989,0.984,431.6,161.4,5366.0,-849.0,0.947,357.7,157.8,1378.0,-1198.0,0.71,459.3,344.5,2210.0,1105.0,1.167,1105.0,138.1,2408.0,-983.0,0.864,401.3,218.9,2979.0,110.0,1.012,496.5,149.0,6808.0,826.0,1.04,400.5,148.0
d: マイジャグラーV,799,30633,-1423,0.985,325.9,153.2,7243.0,227.0,1.01,329.2,144.9,7007.0,500.0,1.024,259.5,137.4,7529.0,-1058.0,0.953,313.7,156.9,2876.0,663.0,1.077,479.3,143.8,2947.0,-831.0,0.906,491.2,196.5,3031.0,-924.0,0.898,336.8,189.4
d: マイジャグラーV,800,27584,-2803,0.966,394.1,169.2,7096.0,-855.0,0.96,354.8,173.1,5147.0,1872.0,1.121,343.1,119.7,4859.0,-733.0,0.95,285.8,162.0,4745.0,-413.0,0.971,527.2,175.7,4391.0,-1430.0,0.891,487.9,219.6,1346.0,-1244.0,0.692,,673.0
d: マイジャグラーV,801,15538,-5251,0.887,517.9,210.0,3584.0,-703.0,0.935,896.0,199.1,2583.0,-913.0,0.882,516.6,234.8,1311.0,-378.0,0.904,1311.0,262.2,1201.0,-913.0,0.747,600.5,300.2,1927.0,-1547.0,0.732,963.5,385.4,4932.0,-797.0,0.946,308.2,159.1
d: マイジャグラーV,802,26577,-3622,0.955,340.7,159.1,5497.0,-1651.0,0.9,289.3,171.8,7168.0,-110.0,0.995,325.8,149.3,4488.0,-541.0,0.96,561.0,172.6,6606.0,430.0,1.022,330.3,140.6,1354.0,-645.0,0.841,270.8,169.2,1464.0,-1105.0,0.748,366.0,244.0
d: マイジャグラーV,803,22888,-2760,0.96,387.9,168.3,3021.0,-1360.0,0.85,604.2,274.6,3983.0,-145.0,0.988,306.4,153.2,1919.0,-820.0,0.858,959.5,274.1,3643.0,-552.0,0.949,607.2,173.5,7367.0,1291.0,1.058,334.9,136.4,2955.0,-1174.0,0.868,268.6,173.8
d: マイジャグラーV,804,22426,1174,1.017,373.8,150.5,1455.0,-645.0,0.852,,363.8,6874.0,2116.0,1.103,221.7,116.5,3597.0,-285.0,0.974,719.4,179.8,4136.0,733.0,1.059,689.3,153.2,2635.0,-262.0,0.967,439.2,175.7,3729.0,-483.0,0.957,310.8,155.4
d: マイジャグラーV,805,21297,-4563,0.929,453.1,190.2,7104.0,180.0,1.008,373.9,154.4,2782.0,-523.0,0.937,695.5,198.7,2032.0,-1267.0,0.792,677.3,338.7,1392.0,-610.0,0.854,1392.0,278.4,4438.0,-1523.0,0.886,443.8,211.3,3549.0,-820.0,0.923,354.9,177.4
d: マイジャグラーV,806,28701,-767,0.991,404.2,157.7,5434.0,1919.0,1.118,319.6,120.8,2953.0,-436.0,0.951,984.3,196.9,4546.0,-983.0,0.928,454.6,181.8,6537.0,-1593.0,0.919,326.8,167.6,5371.0,1105.0,1.069,488.3,145.2,3860.0,-779.0,0.933,386.0,183.8
d: マイジャグラーV,807,27415,3989,1.049,365.5,141.3,6946.0,2628.0,1.126,257.3,113.9,3088.0,-64.0,0.993,514.7,162.5,882.0,-355.0,0.866,882.0,294.0,6530.0,1919.0,1.098,435.3,133.3,3922.0,-616.0,0.948,653.7,206.4,6047.0,477.0,1.026,302.4,140.6
d: マイジャグラーV,808,34079,1524,1.015,321.5,142.0,6620.0,1128.0,1.057,300.9,129.8,6652.0,-262.0,0.987,302.4,147.8,3049.0,0.0,1.0,508.2,169.4,5672.0,-424.0,0.975,298.5,145.4,3943.0,-1267.0,0.893,394.3,187.8,8143.0,2349.0,1.096,301.6,123.4
e: ファンキージャグラー2,819,14412,831,1.019,379.3,148.6,3351.0,645.0,1.064,335.1,134.0,2983.0,965.0,1.108,372.9,124.3,4722.0,622.0,1.044,337.3,138.9,2160.0,-564.0,0.913,360.0,196.4,546.0,-715.0,0.563,,,650.0,-122.0,0.937,,216.7
e: ファンキージャグラー2,820,13661,-1175,0.971,359.5,158.8,3979.0,1151.0,1.096,265.3,124.3,767.0,-355.0,0.846,,383.5,1466.0,-785.0,0.822,293.2,183.2,1572.0,-715.0,0.848,524.0,224.6,1604.0,-1151.0,0.761,534.7,320.8,4273.0,680.0,1.053,356.1,133.5
e: ファンキージャグラー2,821,12326,12,1.0,397.6,154.1,2274.0,-529.0,0.922,324.9,162.4,2409.0,-895.0,0.876,401.5,219.0,1047.0,-692.0,0.78,349.0,261.8,935.0,-448.0,0.84,,311.7,3609.0,2721.0,1.251,451.1,103.1,2052.0,-145.0,0.976,293.1,157.8
e: ファンキージャグラー2,822,16031,376,1.008,485.8,157.2,1953.0,-1291.0,0.78,1953.0,390.6,963.0,-762.0,0.736,481.5,321.0,4447.0,1174.0,1.088,370.6,130.8,1254.0,-413.0,0.89,627.0,209.0,2162.0,-541.0,0.917,540.5,196.5,5252.0,2209.0,1.14,437.7,122.1
e: ファンキージャグラー2,823,12327,750,1.02,648.8,166.6,2291.0,-366.0,0.947,763.7,190.9,2340.0,-99.0,0.986,780.0,195.0,842.0,436.0,1.173,842.0,140.3,4946.0,1802.0,1.121,449.6,130.2,1199.0,-645.0,0.821,1199.0,299.8,709.0,-378.0,0.822,,354.5
e: ファンキージャグラー2,824,17423,-1930,0.963,341.6,159.8,3300.0,471.0,1.048,235.7,126.9,2744.0,-215.0,0.974,686.0,182.9,3437.0,-1151.0,0.888,312.5,180.9,1540.0,-529.0,0.885,770.0,220.0,4883.0,360.0,1.025,305.2,139.5,1519.0,-866.0,0.81,379.8,217.0
e: ファンキージャグラー2,825,15334,-2854,0.938,464.7,180.4,3300.0,390.0,1.039,550.0,150.0,2379.0,122.0,1.017,396.5,148.7,2083.0,-680.0,0.891,416.6,208.3,2454.0,-610.0,0.917,490.8,188.8,3511.0,-785.0,0.925,390.1,175.6,1607.0,-1291.0,0.732,803.5,401.8
e: ファンキージャグラー2,826,13995,-2942,0.93,636.1,197.1,2764.0,64.0,1.008,552.8,153.6,2363.0,-634.0,0.911,393.8,181.8,959.0,-808.0,0.719,479.5,319.7,3139.0,-820.0,0.913,627.8,209.3,1238.0,-564.0,0.848,,309.5,3532.0,-180.0,0.983,883.0,196.2
f: ウルトラミラクルジャグラー,860,9804,-2186,0.926,576.7,196.1,,,,,,1464.0,366.0,1.083,1464.0,162.7,1963.0,-250.0,0.958,490.8,178.5,1681.0,-1221.0,0.758,560.3,336.2,4696.0,-1081.0,0.923,521.8,187.8,,,,,
f: ウルトラミラクルジャグラー,861,8949,-24,0.999,358.0,151.7,,,,,,1780.0,-401.0,0.925,593.3,197.8,1195.0,17.0,1.005,597.5,170.7,3336.0,924.0,1.092,278.0,119.1,2638.0,-564.0,0.929,329.8,175.9,,,,,
f: ウルトラミラクルジャグラー,862,13888,-912,0.978,434.0,167.3,,,,,,4117.0,198.0,1.016,514.6,158.3,3154.0,-366.0,0.961,350.4,166.0,1421.0,-831.0,0.805,473.7,284.2,5196.0,87.0,1.006,433.0,157.5,,,,,
f: ウルトラミラクルジャグラー,863,7286,-931,0.957,485.7,173.5,,,,,,1625.0,180.0,1.037,541.7,147.7,1168.0,-355.0,0.899,584.0,194.7,1862.0,-599.0,0.893,465.5,206.9,2631.0,-157.0,0.98,438.5,164.4,,,,,
f: ウルトラミラクルジャグラー,864,13942,-714,0.983,376.8,158.4,,,,,,3904.0,-331.0,0.972,433.8,169.7,1425.0,-87.0,0.98,475.0,178.1,1795.0,-145.0,0.973,448.8,163.2,6818.0,-151.0,0.993,324.7,148.2,,,,,
f: ウルトラミラクルジャグラー,865,11531,-1459,0.958,397.6,169.6,,,,,,973.0,-564.0,0.807,973.0,324.3,1525.0,-227.0,0.95,762.5,217.9,4285.0,-1058.0,0.918,535.6,186.3,4748.0,390.0,1.027,263.8,135.7,,,,,
g: ジャグラーガールズ,816,21324,-197,0.997,367.7,154.5,5792.0,1326.0,1.076,340.7,134.7,2785.0,-64.0,0.992,348.1,154.7,909.0,-273.0,0.9,303.0,181.8,4698.0,413.0,1.029,361.4,142.4,5317.0,-826.0,0.948,443.1,177.2,1823.0,-773.0,0.859,364.6,202.6
g: ジャグラーガールズ,817,21936,-1342,0.98,371.8,155.6,3174.0,448.0,1.047,317.4,132.2,4800.0,-110.0,0.992,342.9,145.5,6749.0,-1384.0,0.932,337.4,164.6,576.0,-273.0,0.842,,288.0,1821.0,-1128.0,0.794,910.5,303.5,4816.0,1105.0,1.076,370.5,137.6
g: ジャグラーガールズ,818,14613,284,1.006,332.1,144.7,1445.0,-76.0,0.982,361.2,160.6,3487.0,1709.0,1.163,348.7,112.5,591.0,-122.0,0.931,591.0,197.0,1907.0,-657.0,0.885,381.4,190.7,5760.0,-41.0,0.998,250.4,134.0,1423.0,-529.0,0.876,1423.0,284.6
h: ハッピージャグラーVIII,849,16813,-4099,0.919,391.0,180.8,,,,,,742.0,-564.0,0.747,742.0,371.0,3322.0,-1523.0,0.847,302.0,184.6,2224.0,-1105.0,0.834,556.0,278.0,3843.0,-826.0,0.928,349.4,174.7,6682.0,-81.0,0.996,417.6,155.4
h: ハッピージャグラーVIII,850,12863,1599,1.041,559.3,151.3,,,,,,4687.0,1221.0,1.087,334.8,123.3,3087.0,523.0,1.056,617.4,154.4,1075.0,-41.0,0.987,537.5,179.2,2996.0,-87.0,0.99,1498.0,187.2,1018.0,-17.0,0.994,,203.6
h: ハッピージャグラーVIII,851,12372,861,1.023,494.9,152.7,,,,,,806.0,-552.0,0.772,806.0,403.0,693.0,41.0,1.02,,231.0,6773.0,808.0,1.04,356.5,135.5,490.0,-448.0,0.695,,490.0,3610.0,1012.0,1.093,722.0,144.4
h: ハッピージャグラーVIII,852,14914,35,1.001,403.1,155.4,,,,,,4269.0,76.0,1.006,304.9,147.2,3640.0,122.0,1.011,330.9,140.0,866.0,-448.0,0.828,866.0,288.7,5228.0,-35.0,0.998,522.8,168.6,911.0,320.0,1.117,911.0,130.1
h: ハッピージャグラーVIII,853,13679,-913,0.978,253.3,141.0,,,,,,4524.0,-1035.0,0.924,282.8,161.6,356.0,-180.0,0.831,,356.0,2519.0,-797.0,0.895,359.9,193.8,860.0,-610.0,0.764,430.0,286.7,5420.0,1709.0,1.105,186.9,104.2
h: ハッピージャグラーVIII,854,8559,-2941,0.885,475.5,208.8,,,,,,1365.0,-587.0,0.857,455.0,227.5,983.0,-494.0,0.832,327.7,196.6,3072.0,-1128.0,0.878,614.4,236.3,2229.0,-215.0,0.968,445.8,171.5,910.0,-517.0,0.811,455.0,227.5
h: ハッピージャグラーVIII,855,4810,-1843,0.872,534.4,229.0,,,,,,920.0,-262.0,0.905,920.0,230.0,1627.0,-366.0,0.925,406.8,203.4,744.0,-552.0,0.753,372.0,248.0,771.0,-541.0,0.766,385.5,257.0,748.0,-122.0,0.946,,249.3
