,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1057,1493,-1312,1,4,0.707,373.2,298.6,1493,-1312,1,4,0.707,373.2,298.6
アイムジャグラーEX-TP,1058,427,-400,0,0,0.688,,,427,-400,0,0,0.688,,
アイムジャグラーEX-TP,1059,4800,681,21,12,1.047,400.0,145.5,4800,681,21,12,1.047,400.0,145.5
アイムジャグラーEX-TP,1060,1218,-42,5,2,0.989,609.0,174.0,1218,-42,5,2,0.989,609.0,174.0
アイムジャグラーEX-TP,1061,2122,-260,8,5,0.959,424.4,163.2,2122,-260,8,5,0.959,424.4,163.2
アイムジャグラーEX-TP,1062,1000,-442,3,2,0.853,500.0,200.0,1000,-442,3,2,0.853,500.0,200.0
アイムジャグラーEX-TP,1063,1210,1046,7,7,1.288,172.9,86.4,1210,1046,7,7,1.288,172.9,86.4
ゴーゴージャグラー3,1082,7652,2874,42,26,1.125,294.3,112.5,7652,2874,42,26,1.125,294.3,112.5
ゴーゴージャグラー3,1083,1042,-70,5,1,0.978,1042.0,173.7,1042,-70,5,1,0.978,1042.0,173.7
ゴーゴージャグラー3,1084,2424,-161,8,9,0.978,269.3,142.6,2424,-161,8,9,0.978,269.3,142.6
ジャグラーガールズ,1079,1365,-316,4,5,0.923,273.0,151.7,1365,-316,4,5,0.923,273.0,151.7
ジャグラーガールズ,1080,212,-84,0,1,0.868,212.0,212.0,212,-84,0,1,0.868,212.0,212.0
ジャグラーガールズ,1081,1420,-91,6,0,0.979,,236.7,1420,-91,6,0,0.979,,236.7
ハッピージャグラーVIII,1074,1981,-204,6,5,0.966,396.2,180.1,1981,-204,6,5,0.966,396.2,180.1
ハッピージャグラーVIII,1075,1924,-386,6,5,0.933,384.8,174.9,1924,-386,6,5,0.933,384.8,174.9
ハッピージャグラーVIII,1076,2459,414,10,7,1.056,351.3,144.6,2459,414,10,7,1.056,351.3,144.6
ファンキージャグラー2,1077,1161,77,5,1,1.022,1161.0,193.5,1161,77,5,1,1.022,1161.0,193.5
ファンキージャグラー2,1078,3583,400,17,5,1.037,716.6,162.9,3583,400,17,5,1.037,716.6,162.9
マイジャグラーV,1064,1779,-779,4,5,0.854,355.8,197.7,1779,-779,4,5,0.854,355.8,197.7
マイジャグラーV,1065,1006,428,6,1,1.142,1006.0,143.7,1006,428,6,1,1.142,1006.0,143.7
マイジャグラーV,1066,6906,905,26,25,1.044,276.2,135.4,6906,905,26,25,1.044,276.2,135.4
マイジャグラーV,1067,1226,358,6,2,1.097,613.0,153.2,1226,358,6,2,1.097,613.0,153.2
マイジャグラーV,1068,2317,-105,6,11,0.985,210.6,136.3,2317,-105,6,11,0.985,210.6,136.3
マイジャグラーV,1069,429,-288,1,0,0.776,,429.0,429,-288,1,0,0.776,,429.0
マイジャグラーV,1070,7010,3569,40,22,1.17,318.6,113.1,7010,3569,40,22,1.17,318.6,113.1
ミスタージャグラー,1071,1142,-498,3,0,0.855,,380.7,1142,-498,3,0,0.855,,380.7
ミスタージャグラー,1072,1963,217,9,3,1.037,654.3,163.6,1963,217,9,3,1.037,654.3,163.6
ミスタージャグラー,1073,347,-372,0,1,0.643,347.0,347.0,347,-372,0,1,0.643,347.0,347.0
total,,61618,5159,255,167,1.028,369.0,146.0,61618,5159,255,167,1.028,369.0,146.0
