,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,875,6663,-616,0.969,555.2,180.1,2003.0,506.0,1.084,400.6,143.1,1223.0,-308.0,0.916,305.8,174.7,715.0,-29.0,0.986,,178.8,2722.0,-785.0,0.904,907.3,226.8,,,,,,,,,,
c: アイムジャグラーEX-TP,876,7314,-512,0.977,487.6,162.5,1373.0,-134.0,0.967,457.7,171.6,2972.0,-634.0,0.929,371.5,165.1,1212.0,-343.0,0.906,606.0,202.0,1757.0,599.0,1.114,878.5,135.2,,,,,,,,,,
c: アイムジャグラーEX-TP,877,4190,-1838,0.854,419.0,209.5,290.0,-355.0,0.592,,,2603.0,-262.0,0.966,325.4,153.1,730.0,-459.0,0.79,365.0,243.3,567.0,-762.0,0.552,,,,,,,,,,,,
c: アイムジャグラーEX-TP,878,6306,-59,0.997,450.4,157.6,1687.0,529.0,1.105,337.4,120.5,1572.0,180.0,1.038,524.0,157.2,2563.0,-262.0,0.966,512.6,170.9,484.0,-506.0,0.652,484.0,484.0,,,,,,,,,,
c: アイムジャグラーEX-TP,879,5238,-244,0.984,523.8,169.0,815.0,99.0,1.04,815.0,163.0,1983.0,-169.0,0.972,661.0,180.3,2172.0,227.0,1.035,362.0,144.8,268.0,-401.0,0.501,,,,,,,,,,,,
c: アイムジャグラーEX-TP,880,1710,-721,0.859,570.0,213.8,219.0,-192.0,0.708,219.0,219.0,392.0,-529.0,0.55,,,617.0,-378.0,0.796,308.5,205.7,482.0,378.0,1.261,,120.5,,,,,,,,,,
c: アイムジャグラーEX-TP,881,6946,2505,1.12,631.5,138.9,4017.0,1314.0,1.109,669.5,138.5,2286.0,1698.0,1.248,457.2,114.3,388.0,-424.0,0.636,,,255.0,-83.0,0.892,,255.0,,,,,,,,,,
c: アイムジャグラーEX-TP,882,12237,1907,1.052,394.7,144.0,1182.0,-657.0,0.815,591.0,236.4,5651.0,1058.0,1.062,513.7,148.7,3735.0,1884.0,1.168,266.8,113.2,1669.0,-378.0,0.925,417.2,185.4,,,,,,,,,,
d: マイジャグラーV,789,27536,-3926,0.952,387.8,167.9,4074.0,-1291.0,0.894,339.5,194.0,6817.0,860.0,1.042,340.8,139.1,1194.0,-1128.0,0.685,1194.0,597.0,4620.0,564.0,1.041,420.0,140.0,6813.0,-1198.0,0.941,486.6,179.3,4018.0,-1733.0,0.856,309.1,191.3
d: マイジャグラーV,790,22106,-680,0.99,340.1,147.4,5536.0,-1965.0,0.882,276.8,173.0,6438.0,3047.0,1.158,459.9,119.2,3503.0,215.0,1.02,218.9,125.1,1135.0,-471.0,0.862,567.5,189.2,3611.0,-1384.0,0.872,601.8,225.7,1883.0,-122.0,0.978,269.0,134.5
d: マイジャグラーV,791,16619,-3565,0.928,395.7,180.6,1919.0,-983.0,0.829,383.8,274.1,4119.0,640.0,1.052,457.7,142.0,720.0,-669.0,0.69,,720.0,3180.0,-1826.0,0.809,289.1,227.1,4284.0,-849.0,0.934,428.4,178.5,2397.0,122.0,1.017,342.4,141.0
d: マイジャグラーV,792,16038,-3360,0.93,486.0,193.2,2072.0,-622.0,0.9,690.7,230.2,2198.0,-1174.0,0.822,439.6,244.2,1675.0,-471.0,0.906,335.0,186.1,3489.0,-157.0,0.985,387.7,158.6,4659.0,-384.0,0.973,582.4,179.2,1945.0,-552.0,0.905,648.3,243.1
d: マイジャグラーV,793,26061,-3632,0.954,357.0,164.9,4195.0,-64.0,0.995,524.4,182.4,7174.0,-802.0,0.963,326.1,152.6,2823.0,-610.0,0.928,282.3,156.8,2425.0,-1709.0,0.765,269.4,220.5,5623.0,-895.0,0.947,374.9,165.4,3821.0,448.0,1.039,424.6,152.8
d: マイジャグラーV,794,25042,-413,0.995,343.0,152.7,7170.0,-169.0,0.992,256.1,137.9,5258.0,-826.0,0.948,525.8,181.3,1401.0,192.0,1.046,700.5,155.7,3693.0,-180.0,0.984,461.6,175.9,5668.0,692.0,1.041,283.4,135.0,1852.0,-122.0,0.978,370.4,168.4
d: マイジャグラーV,795,18915,-1478,0.974,386.0,165.9,5231.0,-1058.0,0.933,307.7,168.7,1594.0,-983.0,0.794,1594.0,318.8,1528.0,-483.0,0.895,382.0,191.0,3982.0,1360.0,1.114,362.0,128.5,5237.0,273.0,1.017,436.4,158.7,1343.0,-587.0,0.854,335.8,223.8
d: マイジャグラーV,796,20017,-1866,0.969,500.4,169.6,1684.0,-773.0,0.847,842.0,280.7,5651.0,314.0,1.019,434.7,148.7,793.0,-343.0,0.856,793.0,264.3,620.0,-471.0,0.747,,620.0,8795.0,-99.0,0.996,439.8,154.3,2474.0,-494.0,0.933,618.5,190.3
