,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,331,21692,119,1.002,471.6,163.1,3800.0,-1209.0,0.894,345.5,181.0,6438.0,1099.0,1.057,495.2,153.3,3600.0,-629.0,0.942,450.0,180.0,4884.0,199.0,1.014,814.0,174.4,2970.0,659.0,1.074,371.2,135.0
アイムジャグラーEX-TP,332,22780,1393,1.02,299.7,140.6,5600.0,-351.0,0.979,430.8,169.7,6600.0,-125.0,0.994,287.0,146.7,6240.0,2326.0,1.124,249.6,113.5,4340.0,-457.0,0.965,289.3,149.7,,,,,
アイムジャグラーEX-TP,379,2340,-109,0.984,260.0,146.2,,,,,,,,,,,,,,,,,,,,,2340.0,-109.0,0.984,260.0,146.2
アイムジャグラーEX-TP,380,19667,830,1.014,307.3,142.5,4512.0,1765.0,1.13,347.1,121.9,5719.0,-497.0,0.971,260.0,139.5,3230.0,-625.0,0.936,293.6,153.8,5500.0,786.0,1.048,305.6,144.7,706.0,-599.0,0.717,,706.0
アイムジャグラーEX-TP,381,21873,3077,1.047,347.2,139.3,4945.0,1122.0,1.076,329.7,130.1,4284.0,387.0,1.03,428.4,153.0,5709.0,2926.0,1.171,335.8,114.2,1740.0,-288.0,0.945,290.0,158.2,5195.0,-1070.0,0.931,346.3,173.2
アイムジャグラーEX-TP,382,15452,-3251,0.93,532.8,190.8,1888.0,-155.0,0.973,944.0,188.8,5436.0,-1661.0,0.898,1087.2,236.3,3692.0,-387.0,0.965,410.2,167.8,3590.0,-925.0,0.914,359.0,179.5,846.0,-123.0,0.952,282.0,141.0
アイムジャグラーEX-TP,383,20117,-1218,0.98,502.9,170.5,3938.0,1197.0,1.101,492.2,131.3,5292.0,-1742.0,0.89,378.0,189.0,4224.0,-535.0,0.958,844.8,201.1,1515.0,-571.0,0.874,,303.0,5148.0,433.0,1.028,396.0,151.4
アイムジャグラーEX-TP,384,13240,-524,0.987,509.2,167.6,685.0,-552.0,0.731,,685.0,5253.0,-1052.0,0.933,477.5,187.6,3630.0,1846.0,1.17,453.8,121.0,2704.0,-1023.0,0.874,450.7,193.1,968.0,257.0,1.088,968.0,161.3
アイムジャグラーEX-TP,385,18103,-893,0.984,441.5,161.6,4431.0,787.0,1.059,443.1,142.9,4452.0,283.0,1.021,636.0,159.0,5643.0,1226.0,1.072,376.2,134.4,970.0,-1261.0,0.567,485.0,485.0,2607.0,-1928.0,0.753,372.4,289.7
アイムジャグラーEX-TP,386,21529,-816,0.987,316.6,150.6,3576.0,-225.0,0.979,298.0,149.0,7805.0,1570.0,1.067,339.3,134.6,5117.0,-594.0,0.961,284.3,146.2,3366.0,-1064.0,0.895,280.5,187.0,1665.0,-503.0,0.899,555.0,208.1
アイムジャグラーEX-TP,387,22080,610,1.009,324.7,147.2,6580.0,3013.0,1.153,313.3,117.5,4260.0,-867.0,0.932,327.7,170.4,7672.0,575.0,1.025,255.7,132.3,2535.0,-1243.0,0.837,633.8,281.7,1033.0,-868.0,0.72,,516.5
アイムジャグラーEX-TP,388,21494,983,1.015,325.7,142.3,5797.0,2626.0,1.151,263.5,109.4,6210.0,84.0,1.005,365.3,155.2,2912.0,-1359.0,0.844,416.0,208.0,3523.0,-251.0,0.976,320.3,146.8,3052.0,-117.0,0.987,339.1,152.6
