,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2025-01-03 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00,2024-11-03 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,3007,378,1.042,429.6,143.2,3007.0,378.0,1.042,429.6,143.2,0.0,0.0,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,563,110,1.065,,187.7,563.0,110.0,1.065,,187.7,0.0,0.0,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,665,673,-285,0.859,,336.5,669.0,-273.0,0.864,,334.5,4.0,-12.0,0.0,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,672,-35,0.983,,224.0,445.0,-76.0,0.943,,222.5,227.0,41.0,1.06,,227.0,,,,,,,,,,
b: アイムジャグラーEX-TP,856,13235,737,1.019,472.7,159.5,3226.0,430.0,1.044,806.5,161.3,575.0,110.0,1.064,,191.7,5382.0,180.0,1.011,489.3,163.1,4052.0,17.0,1.001,311.7,150.1
b: アイムジャグラーEX-TP,857,13237,-1837,0.954,456.4,178.9,5076.0,1012.0,1.066,725.1,158.6,3901.0,-494.0,0.958,433.4,177.3,2572.0,-1733.0,0.775,367.4,257.2,1688.0,-622.0,0.877,281.3,168.8
b: アイムジャグラーEX-TP,858,9032,-1582,0.942,322.6,164.2,3544.0,-959.0,0.91,393.8,186.5,930.0,-134.0,0.952,310.0,155.0,1605.0,-227.0,0.953,229.3,145.9,2953.0,-262.0,0.97,328.1,155.4
b: アイムジャグラーEX-TP,859,11314,-203,0.994,290.1,150.9,1495.0,-517.0,0.885,1495.0,299.0,705.0,-483.0,0.772,705.0,352.5,3778.0,-145.0,0.987,343.5,164.3,5336.0,942.0,1.059,205.2,118.6
